Field,LongName,Description,Levels,Units,TermURL,HED
abcl_scr_adapt_friends_t,,Adaptive Scale: Friends (T-Score),,,,
abcl_scr_prob_thought_nt,,Thought Problems Syndrome Scale (Number Total),,,,
abcl_scr_prob_other_r,,Other Problems (Raw Score),,,,
abcl_q22_p,,Worries about his/her future | 0= Not True (as far as you know)/ No es cierto (por lo que usted sabe); 1=  Somewhat or Sometimes True/ En cierta manera  algunas veces; 2=  Very True or Often True /Muy cierto o cierto a menudo,,,,
abcl_q22_p,,Worries about his/her future | 0= Not True (as far as you know)/ No es cierto (por lo que usted sabe); 1=  Somewhat or Sometimes True/ En cierta manera  algunas veces; 2=  Very True or Often True /Muy cierto o cierto a menudo,0 = Not True (as far as you know)/ No es cierto (por lo que usted sabe) | 1 = Somewhat or Sometimes True/ En cierta manera  algunas veces | 2 = Very True or Often True /Muy cierto o cierto a menudo,,,
abcl_q56d_p,,Problems with eyes (not if corrected by glasses) (describe): | 0= Not True (as far as you know)/ No es cierto (por lo que usted sabe); 1=  Somewhat or Sometimes True/ En cierta manera  algunas veces; 2=  Very True or Often True /Muy cierto o cierto a menudo,,,,
abcl_q56d_p,,Problems with eyes (not if corrected by glasses) (describe): | 0= Not True (as far as you know)/ No es cierto (por lo que usted sabe); 1=  Somewhat or Sometimes True/ En cierta manera  algunas veces; 2=  Very True or Often True /Muy cierto o cierto a menudo,0 = Not True (as far as you know)/ No es cierto (por lo que usted sabe) | 1 = Somewhat or Sometimes True/ En cierta manera  algunas veces | 2 = Very True or Often True /Muy cierto o cierto a menudo,,,
abcl_q90_p,,Drinks too much alcohol or gets drunk | 0= Not True (as far as you know)/ No es cierto (por lo que usted sabe); 1=  Somewhat or Sometimes True/ En cierta manera  algunas veces; 2=  Very True or Often True /Muy cierto o cierto a menudo,,,,
abcl_q90_p,,Drinks too much alcohol or gets drunk | 0= Not True (as far as you know)/ No es cierto (por lo que usted sabe); 1=  Somewhat or Sometimes True/ En cierta manera  algunas veces; 2=  Very True or Often True /Muy cierto o cierto a menudo,0 = Not True (as far as you know)/ No es cierto (por lo que usted sabe) | 1 = Somewhat or Sometimes True/ En cierta manera  algunas veces | 2 = Very True or Often True /Muy cierto o cierto a menudo,,,
eventname,,The event name for which the data was collected,,,,
anthro_weight_a_location,,Location of Cast or Medical Prosthesis,,,,
anthro_waist_cm,,"Measured circumference (in inches): | If necessary, Please adjust or unfold your pants to remove any additional thickness or bunching. 1. Now I'd like you to take your thumbs and find the two pointy bones on the front of your body where a belt might go. Once you find them, trace that bone all the way up to its highest point. (Demonstrate the desired position of the arms. RA can do this to their own body as they're talking, so the participant has more guidance.) 2. Once you find the top part of the bone, keep your fingers there while I place the tape measure across your stomach so it's in line with those points. (RA touches the hip area OVER t-shirt to ensure accuracy of location and places tape measure across stomach in line with participant's fingers.) 3. Please cross your arms, and place your hands on opposite shoulders. Think of giving yourself a hug. I'm now going to reach around you to grab the other end of the tape measure, so that I can get a full measurement of your waist. (Extend the measuring tape around the waist. Take the measurement to the nearest 0.1 cm.)",,,,
asr_scr_somatic_nm,,Somatic Complaints ASR Syndrome Scale (number of dependent raw scores missing),,,,
asr_scr_internal_t,,"Interalizing Problems ASR Syndrome Scale (t-score) |  T-scores in relation to norms for each gender at ages 18-35 and 36-59, based on national probability samples.",,,,
asr_scr_somaticpr_total,,Somatic Problems ASR DSM-5-Oriented Scale (number of dependent raw scores),,,,
visit,,Visit name,,,,
apqc_fmri_fov_cutoff_dorsal,,Maximum dorsal cutoff score in fMRI FM images,,,,
apqc_fmri_inter_tsnr,,Interrscan temporal signal to noise ratio averaged within brain mask,,,,
rsfmri_c_ngd_ca_ngd_ca,,Average correlation between cingulo-parietal network and cingulo-parietal network,,,,
rsfmri_c_ngd_fo_ngd_sa,,Average correlation between fronto-parietal network and salience network,,,,
rsfmri_c_ngd_smm_ngd_fo,,Average correlation between sensorimotor mouth network and fronto-parietal network,,,,
