"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"eventname","String","60","Required","The event name for which the data was collected","","",""
"bisbas1_y","Integer","","Recommended","I usually get very tense when I think something unpleasant is going to happen.","0 ; 1 ; 2 ; 3","0 = Not true; 1 = Somewhat true; 2 = True; 3 = Very true","bisbas_1"
"bisbas2_y","Integer","","Recommended","I worry about making mistakes.","0 ; 1 ; 2 ; 3","0 = Not true; 1 = Somewhat true; 2 = True; 3 = Very true","bisbas_2"
"bisbas3_y","Integer","","Recommended","I am hurt when people scold me or tell me that I do something wrong.","0 ; 1 ; 2 ; 3","0 = Not true; 1 = Somewhat true; 2 = True; 3 = Very true","bisbas_3"
"bisbas4_y","Integer","","Recommended","I feel pretty upset when I think that someone is angry with me.","0 ; 1 ; 2 ; 3","0 = Not true; 1 = Somewhat true; 2 = True; 3 = Very true","bisbas_4"
"bisbas5_y","Integer","","Recommended","I do not become fearful or nervous, even when something bad happens to me.","0 ; 1 ; 2 ; 3","0 = Not true; 1 = Somewhat true; 2 = True; 3 = Very true","bisbas_5"
"bisbas6_y","Integer","","Recommended","I feel worried when I have done poorly at something.","0 ; 1 ; 2 ; 3","0 = Not true; 1 = Somewhat true; 2 = True; 3 = Very true","bisbas_6"
"bisbas7_y","Integer","","Recommended","I am very fearful compared to my friends.","0;1;2;3","0 = Not true; 1 = Somewhat true; 2 = True; 3 = Very true","bisbas_7"
"bisbas8_y","Integer","","Recommended","I feel excited and full of energy when I get something that I want.","0 ; 1 ; 2 ; 3","0 = Not true; 1 = Somewhat true; 2 = True; 3 = Very true","bisbas_8"
"bisbas10_y","Integer","","Recommended","I get thrilled when good things happen to me.","0 ; 1 ; 2 ; 3","0 = Not true; 1 = Somewhat true; 2 = True; 3 = Very true","bisbas_10"
"bisbas9_y","Integer","","Recommended","When I am doing well at something, I like to keep doing this.","0 ; 1 ; 2 ; 3","0 = Not true; 1 = Somewhat true; 2 = True; 3 = Very true","bisbas_9"
"bisbas11_y","Integer","","Recommended","It would excite me to win a contest.","0 ; 1 ; 2 ; 3","0 = Not true; 1 = Somewhat true; 2 = True; 3 = Very true","bisbas_11"
"bisbas12_y","Integer","","Recommended","I get really excited when I see an opportunity to get something I like.","0 ; 1 ; 2 ; 3","0 = Not true; 1 = Somewhat true; 2 = True; 3 = Very true","bisbas_12"
"bisbas13_y","Integer","","Recommended","When I want something, I usually go all the way to get it.","0 ; 1 ; 2 ; 3","0 = Not true; 1 = Somewhat true; 2 = True; 3 = Very true","bisbas_13"
"bisbas14_y","Integer","","Recommended","I do everything to get the things that I want.","0 ; 1 ; 2 ; 3","0 = Not true; 1 = Somewhat true; 2 = True; 3 = Very true","bisbas_14"
"bisbas15_y","Integer","","Recommended","When I see an opportunity to get something I want, I go for it right away.","0 ; 1 ; 2 ; 3","0 = Not true; 1 = Somewhat true; 2 = True; 3 = Very true","bisbas_15"
"bisbas16_y","Integer","","Recommended","Nobody can stop me when I want something.","0 ; 1 ; 2 ; 3","0 = Not true; 1 = Somewhat true; 2 = True; 3 = Very true","bisbas_16"
"bisbas17_y","Integer","","Recommended","I often do things for no other reason than they might be fun.","0 ; 1 ; 2 ; 3","0 = Not true; 1 = Somewhat true; 2 = True; 3 = Very true","bisbas_17"
"bisbas18_y","Integer","","Recommended","I crave excitement and new sensations.","0 ; 1 ; 2 ; 3","0 = Not true; 1 = Somewhat true; 2 = True; 3 = Very true","bisbas_18"
"bisbas19_y","Integer","","Recommended","I am always willing to try something new, when I think it will be fun.","0 ; 1 ; 2 ; 3","0 = Not true; 1 = Somewhat true; 2 = True; 3 = Very true","bisbas_19"
"bisbas20_y","Integer","","Recommended","I often do things on the spur of the moment.","0 ; 1 ; 2 ; 3","0 = Not true; 1 = Somewhat true; 2 = True; 3 = Very true","bisbas_20"
"bisbas5r_y","Integer","","Recommended","I do not become fearful or nervous, even when something bad happens to me.","0;1;2;3","0=Not true; 1=Somewhat true; 2=True; 3=Very true","bisbas_5r"
