"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"eventname","String","60","Required","The event name for which the data was collected","","",""
"bpmt_q1","Integer","","Recommended","Acts too young for his/her age.","0 ; 1 ; 2","0 = Not True (as far as you know); 1 = Somewhat True; 2 = Very True",""
"bpmt_q2","Integer","","Recommended","Argues a lot.","0 ; 1 ; 2","0 = Not True (as far as you know); 1 = Somewhat True; 2 = Very True",""
"bpmt_q3","Integer","","Recommended","Fails to finish things he/she starts.","0 ; 1 ; 2","0 = Not True (as far as you know); 1 = Somewhat True; 2 = Very True",""
"bpmt_q4","Integer","","Recommended","Can't concentrate, can't pay attention for long.","0 ; 1 ; 2","0 = Not True (as far as you know); 1 = Somewhat True; 2 = Very True",""
"bpmt_q5","Integer","","Recommended","Can't sit still, restless, or hyperactive.","0 ; 1 ; 2","0 = Not True (as far as you know); 1 = Somewhat True; 2 = Very True",""
"bpmt_q6","Integer","","Recommended","Destroys property belonging to others.","0 ; 1 ; 2","0 = Not True (as far as you know); 1 = Somewhat True; 2 = Very True",""
"bpmt_q7","Integer","","Recommended","Disobedient at school.","0 ; 1 ; 2","0 = Not True (as far as you know); 1 = Somewhat True; 2 = Very True",""
"bpmt_q8","Integer","","Recommended","Feels worthless or inferior.","0 ; 1 ; 2","0 = Not True (as far as you know); 1 = Somewhat True; 2 = Very True",""
"bpmt_q9","Integer","","Recommended","Impulsive or acts without thinking.","0 ; 1 ; 2","0 = Not True (as far as you know); 1 = Somewhat True; 2 = Very True",""
"bpmt_q10","Integer","","Recommended","Too fearful or anxious.","0 ; 1 ; 2","0 = Not True (as far as you know); 1 = Somewhat True; 2 = Very True",""
"bpmt_q11","Integer","","Recommended","Feels too guilty.","0 ; 1 ; 2","0 = Not True (as far as you know); 1 = Somewhat True; 2 = Very True",""
"bpmt_q12","Integer","","Recommended","Self-conscious or easily embarrassed.","0 ; 1 ; 2","0 = Not True (as far as you know); 1 = Somewhat True; 2 = Very True",""
"bpmt_q13","Integer","","Recommended","Inattentive or easily distracted.","0 ; 1 ; 2","0 = Not True (as far as you know); 1 = Somewhat True; 2 = Very True",""
"bpmt_q14","Integer","","Recommended","Stubborn, sullen, or irritable.","0 ; 1 ; 2","0 = Not True (as far as you know); 1 = Somewhat True; 2 = Very True",""
"bpmt_q15","Integer","","Recommended","Temper tantrums or hot temper.","0 ; 1 ; 2","0 = Not True (as far as you know); 1 = Somewhat True; 2 = Very True",""
"bpmt_q16","Integer","","Recommended","Threatens people.","0 ; 1 ; 2","0 = Not True (as far as you know); 1 = Somewhat True; 2 = Very True",""
"bpmt_q17","Integer","","Recommended","Unhappy, sad, or depressed.","0 ; 1 ; 2","0 = Not True (as far as you know); 1 = Somewhat True; 2 = Very True",""
"bpmt_q18","Integer","","Recommended","Worries.","0 ; 1 ; 2","0 = Not True (as far as you know); 1 = Somewhat True; 2 = Very True",""
"bpmt_dte_last","Date","","Recommended","Last date sent","","",""
"bpmt_dte_sent1","Date","","Recommended","Date sent 1","","",""
"bpmt_dte_sent2","Date","","Recommended","Date sent 2","","",""
"bpmt_dte_sent3","Date","","Recommended","Date sent 3","","",""
"bpmt_sent_count","Integer","","Recommended","Number of times sent","","",""
"bpmt_status","String","30","Recommended","Status","","",""
