"ElementName","DataType","Size","Required","Condition","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"eventname","String","60","Required","","The event name for which the data was collected","","",""
"cybb_phenx_harm","Integer","","Recommended","","Have you ever been cyberbullied, where someone was trying on purpose to harm you or be mean to you online, in texts, or group texts, or on social media (like Instagram or Snapchat)?","1;0;777","1=Yes; 0=No; 777=Refuse To Answer","cyberbully_harm"
"cybb_phenx_harm_12mo","Integer","","Recommended","cybb_phenx_harm == 1","Has this happened to you in the past 12 months?","1;0","1=Yes; 0=No","cyberbully_harm_12mo"
"cybb_phenx_harm_often","Integer","","Recommended","cybb_phenx_harm_12mo == 1","How often in the past 12 months?","1::8","1=1 time; 2=2 times; 3=3 times; 4=4-9 times; 5=10-19 times; 6=20-39 times; 7=40-49 times; 8=50+ times","cyberbully_harm_often"
"cybb_phenx_power","Integer","","Recommended","cybb_phenx_harm == 1","Did they have more power, strength, or social influence than you? This could be because they were bigger, had more friends, were more popular, or had more power than you in another way?","1;0;999","1=Yes; 0=No; 999=Don't Know","cyberbully_power"
"cybb_phenx_harm2","Integer","","Recommended","","Have you ever cyberbullied someone, where you purposefully tried to harm another person or be mean to them online, in texts or group texts, or on social media (like Instagram or Snapchat)?","1;0;777","1=Yes; 0=No; 777=Refuse To Answer","cyberbully_harm2"
"cybb_phenx_harm2_12mo","Integer","","Recommended","cybb_phenx_harm2 == 1","Have you done this in the past 12 months?","1;0","1=Yes; 0=No","cyberbully_harm2_12mo"
"cybb_phenx_harm2_often","Integer","","Recommended","cybb_phenx_harm2_12mo == 1","How often in the past 12 months?","1::8","1=1 time; 2=2 times; 3=3 times; 4=4-9 times; 5=10-19 times; 6=20-39 times; 7=40-49 times; 8=50+ times","cyberbully_harm2_often"
"cybb_phenx_power2","Integer","","Recommended","cybb_phenx_harm2 == 1","Did you have more power, strength, or social influence than the person you were cyberbullying?
This could be because you were bigger than this person, had more friends, were more popular, or had more power than that person in another way?","1;0;999","1=Yes; 0=No; 999=Don't Know","cyberbully_power2"
"cybb_admin","Integer","","Recommended","","Please indicate how instrument was administered:","1::3","1=RA-Administered ; 2=Youth Self-Administered ; 3=Combination [sched_delay] = '7'",""
"cybb_device","Integer","","Recommended","","Youth's Device:","1::3","1=Phone Screen ; 2=Tablet/iPad Screen ; 3=Computer Screen  [cybb_remote(2)] = ''1'' or [cybb_remote(3)] = ''1''",""
