"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"cbcl_select_language___1","Integer","","Recommended","¿Español? (1, Sí)","0 ; 1","0 = No; 1 = Yes","cbcl_select_language_p"
"cbcl_q01_p","Integer","","Recommended","Acts too young for their age","0 ; 1 ; 2","0 = Not True /No es cierto (que sepa usted); 1 = Somewhat/Sometimes True  /En cierta manera; 2 = Very True/Often True/ Muy cierto o cierto con frecuencia// Below is a list of items that describe children and youths. For each item that describes your child now or within the past 6 months",""
"cbcl_q02_p","Integer","","Recommended","Drinks alcohol without parents' approval Toma bebidas alcohólicas sin permiso de los padres","0 ; 1 ; 2","0 = Not True /No es cierto (que sepa usted); 1 = Somewhat/Sometimes True  /En cierta manera; 2 = Very True/Often True/ Muy cierto o cierto con frecuencia// Below is a list of items that describe children and youths. For each item that describes your child now or within the past 6 months",""
"cbcl_q03_p","Integer","","Recommended","Argues a lot Discute mucho","0 ; 1 ; 2","0 = Not True /No es cierto (que sepa usted); 1 = Somewhat/Sometimes True  /En cierta manera; 2 = Very True/Often True/ Muy cierto o cierto con frecuencia// Below is a list of items that describe children and youths. For each item that describes your child now or within the past 6 months",""
"cbcl_q04_p","Integer","","Recommended","Fails to finish things they start","0 ; 1 ; 2","0 = Not True /No es cierto (que sepa usted); 1 = Somewhat/Sometimes True  /En cierta manera; 2 = Very True/Often True/ Muy cierto o cierto con frecuencia// Below is a list of items that describe children and youths. For each item that describes your child now or within the past 6 months",""
"cbcl_q05_p","Integer","","Recommended","There is very little they enjoy","0 ; 1 ; 2","0 = Not True /No es cierto (que sepa usted); 1 = Somewhat/Sometimes True  /En cierta manera; 2 = Very True/Often True/ Muy cierto o cierto con frecuencia// Below is a list of items that describe children and youths. For each item that describes your child now or within the past 6 months",""
"cbcl_q06_p","Integer","","Recommended","Bowel movements outside toilet Hace sus necesidades en la ropa o en lugares inadecuados","0 ; 1 ; 2","0 = Not True /No es cierto (que sepa usted); 1 = Somewhat/Sometimes True  /En cierta manera; 2 = Very True/Often True/ Muy cierto o cierto con frecuencia// Below is a list of items that describe children and youths. For each item that describes your child now or within the past 6 months",""
"cbcl_q07_p","Integer","","Recommended","Bragging, boasting  Es engreído(a), presumido(a)","0 ; 1 ; 2","0 = Not True /No es cierto (que sepa usted); 1 = Somewhat/Sometimes True  /En cierta manera; 2 = Very True/Often True/ Muy cierto o cierto con frecuencia// Below is a list of items that describe children and youths. For each item that describes your child now or within the past 6 months",""
"cbcl_q08_p","Integer","","Recommended","Can't concentrate, can't pay attention for long No puede concentrarse o prestar atención por mucho tiempo","0 ; 1 ; 2","0 = Not True /No es cierto (que sepa usted); 1 = Somewhat/Sometimes True  /En cierta manera; 2 = Very True/Often True/ Muy cierto o cierto con frecuencia// Below is a list of items that describe children and youths. For each item that describes your child now or within the past 6 months",""
"cbcl_q09_p","Integer","","Recommended","Can't get their mind off certain thoughts; obsessions","0 ; 1 ; 2","0 = Not True /No es cierto (que sepa usted); 1 = Somewhat/Sometimes True  /En cierta manera; 2 = Very True/Often True/ Muy cierto o cierto con frecuencia// Below is a list of items that describe children and youths. For each item that describes your child now or within the past 6 months",""
"cbcl_q10_p","Integer","","Recommended","Can't sit still, restless, or hyperactive No puede quedarse quieto(a); es inquieto(a) o hiperactivo(a)","0 ; 1 ; 2","0 = Not True /No es cierto (que sepa usted); 1 = Somewhat/Sometimes True  /En cierta manera; 2 = Very True/Often True/ Muy cierto o cierto con frecuencia// Below is a list of items that describe children and youths. For each item that describes your child now or within the past 6 months",""
"cbcl_q11_p","Integer","","Recommended","Clings to adults or too dependent Es demasiado dependiente o apegado(a) a los adultos","0 ; 1 ; 2","0 = Not True /No es cierto (que sepa usted); 1 = Somewhat/Sometimes True  /En cierta manera; 2 = Very True/Often True/ Muy cierto o cierto con frecuencia// Below is a list of items that describe children and youths. For each item that describes your child now or within the past 6 months",""
"cbcl_q12_p","Integer","","Recommended","Complains of loneliness Se queja de que se siente solo(a)","0 ; 1 ; 2","0 = Not True /No es cierto (que sepa usted); 1 = Somewhat/Sometimes True  /En cierta manera; 2 = Very True/Often True/ Muy cierto o cierto con frecuencia// Below is a list of items that describe children and youths. For each item that describes your child now or within the past 6 months",""
"cbcl_q13_p","Integer","","Recommended","Confused or seems to be in a fog Está confundido(a) o parece como si estuviera en las nubes","0 ; 1 ; 2","0 = Not True /No es cierto (que sepa usted); 1 = Somewhat/Sometimes True  /En cierta manera; 2 = Very True/Often True/ Muy cierto o cierto con frecuencia// Below is a list of items that describe children and youths. For each item that describes your child now or within the past 6 months",""
"cbcl_q14_p","Integer","","Recommended","Cries a lot Llora mucho","0 ; 1 ; 2","0 = Not True /No es cierto (que sepa usted); 1 = Somewhat/Sometimes True  /En cierta manera; 2 = Very True/Often True/ Muy cierto o cierto con frecuencia// Below is a list of items that describe children and youths. For each item that describes your child now or within the past 6 months",""
"cbcl_q15_p","Integer","","Recommended","Cruel to animals Es cruel con los animales","0 ; 1 ; 2","0 = Not True /No es cierto (que sepa usted); 1 = Somewhat/Sometimes True  /En cierta manera; 2 = Very True/Often True/ Muy cierto o cierto con frecuencia// Below is a list of items that describe children and youths. For each item that describes your child now or within the past 6 months",""
"cbcl_q16_p","Integer","","Recommended","Cruelty, bullying, or meanness to others Es cruel, abusador(a), y malo(a) con los demás","0 ; 1 ; 2","0 = Not True /No es cierto (que sepa usted); 1 = Somewhat/Sometimes True  /En cierta manera; 2 = Very True/Often True/ Muy cierto o cierto con frecuencia// Below is a list of items that describe children and youths. For each item that describes your child now or within the past 6 months",""
"cbcl_q17_p","Integer","","Recommended","Daydreams or gets lost in their thoughts","0 ; 1 ; 2","0 = Not True /No es cierto (que sepa usted); 1 = Somewhat/Sometimes True  /En cierta manera; 2 = Very True/Often True/ Muy cierto o cierto con frecuencia// Below is a list of items that describe children and youths. For each item that describes your child now or within the past 6 months",""
"cbcl_q18_p","Integer","","Recommended","Deliberately harms self or attempts suicide Se hace daño a sí mismo(a) deliberadamente o ha intentado suicidarse","0 ; 1 ; 2","0 = Not True /No es cierto (que sepa usted); 1 = Somewhat/Sometimes True  /En cierta manera; 2 = Very True/Often True/ Muy cierto o cierto con frecuencia// Below is a list of items that describe children and youths. For each item that describes your child now or within the past 6 months",""
"cbcl_q19_p","Integer","","Recommended","Demands a lot of attention Exige mucha atención","0 ; 1 ; 2","0 = Not True /No es cierto (que sepa usted); 1 = Somewhat/Sometimes True  /En cierta manera; 2 = Very True/Often True/ Muy cierto o cierto con frecuencia// Below is a list of items that describe children and youths. For each item that describes your child now or within the past 6 months",""
