"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"eventname","String","60","Recommended","The event name for which the data was collected","","",""
"cna_p_select_language___1","Integer","","Recommended","¿Español? (1, Sí)","0 ; 1","0 = No; 1 = Yes","child_nutrition_select_language_p"
"cna_1_p","Integer","","Recommended","Think about what your child eats in a typical week, during this past year since we last saw you.  In a typical week, does your child eat Piense en lo que su niño(a) come durante una semana  típica, durante el último año; desde la última vez que lo vimos.  En una semana típica, su niño(a) come: Whole grains 3 or more times per day Granos integrales 3 o más veces por día.","1 ; 0 ; 999","1 = Yes Si; 0 = No No; 999 = Don't Know No Recuerdo","child_nutrition_1_p"
"cna_2_p","Integer","","Recommended","Think about what your child eats in a typical week, during this past year since we last saw you.  In a typical week, does your child eat Piense en lo que su niño(a) come durante una semana  típica, durante el último año; desde la última vez que lo vimos.  En una semana típica, su niño(a) come: Green leafy vegetables 6 or more times per week Vegetales de hojas verdes 6 veces o más por semana.","1 ; 0 ; 999","1 = Yes Si; 0 = No No; 999 = Don't Know No Recuerdo","child_nutrition_2_p"
"cna_3_p","Integer","","Recommended","Think about what your child eats in a typical week, during this past year since we last saw you.  In a typical week, does your child eat Piense en lo que su niño(a) come durante una semana  típica, durante el último año; desde la última vez que lo vimos.  En una semana típica, su niño(a) come: Other vegetables 1 or more time per day Otros vegetales 1 o más veces por día.","1 ; 0 ; 999","1 = Yes Si; 0 = No No; 999 = Don't Know No Recuerdo","child_nutrition_3_p"
"cna_4_p","Integer","","Recommended","Think about what your child eats in a typical week, during this past year since we last saw you.  In a typical week, does your child eat Piense en lo que su niño(a) come durante una semana  típica, durante el último año; desde la última vez que lo vimos.  En una semana típica, su niño(a) come: Berries 2 or more times per week Bayas (ej. frutas como fresas, moras, arándanos, y frambuesas) 2 veces o más por semana.","1 ; 0 ; 999","1 = Yes Si; 0 = No No; 999 = Don't Know No Recuerdo","child_nutrition_4_p"
"cna_5_p","Integer","","Recommended","Think about what your child eats in a typical week, during this past year since we last saw you.  In a typical week, does your child eat Piense en lo que su niño(a) come durante una semana  típica, durante el último año; desde la última vez que lo vimos.  En una semana típica, su niño(a) come: Red meats and meat products less than 4 times per week Carnes rojas y productos de carne menos de 4 veces por semana.","1 ; 0 ; 999","1 = Yes Si; 0 = No No; 999 = Don't Know No Recuerdo","child_nutrition_5_p"
"cna_6_p","Integer","","Recommended","Think about what your child eats in a typical week, during this past year since we last saw you.  In a typical week, does your child eat Piense en lo que su niño(a) come durante una semana  típica, durante el último año; desde la última vez que lo vimos.  En una semana típica, su niño(a) come: Fish 1 or more time per week Pescado 1 vez o menos por semana.","1 ; 0 ; 999","1 = Yes Si; 0 = No No; 999 = Don't Know No Recuerdo","child_nutrition_6_p"
"cna_7_p","Integer","","Recommended","Think about what your child eats in a typical week, during this past year since we last saw you.  In a typical week, does your child eat Piense en lo que su niño(a) come durante una semana  típica, durante el último año; desde la última vez que lo vimos.  En una semana típica, su niño(a) come: Poultry 2 or more times per week Carne de aves (ej. pollo o pavo) o huevos 2 o más veces por semana.","1 ; 0 ; 999","1 = Yes Si; 0 = No No; 999 = Don't Know No Recuerdo","child_nutrition_7_p"
"cna_8_p","Integer","","Recommended","Think about what your child eats in a typical week, during this past year since we last saw you.  In a typical week, does your child eat Piense en lo que su niño(a) come durante una semana  típica, durante el último año; desde la última vez que lo vimos.  En una semana típica, su niño(a) come: Beans 4 or more times per week Frijoles 4 o más veces por semana.","1 ; 0 ; 999","1 = Yes Si; 0 = No No; 999 = Don't Know No Recuerdo","child_nutrition_8_p"
"cna_9_p","Integer","","Recommended","Think about what your child eats in a typical week, during this past year since we last saw you.  In a typical week, does your child eat Piense en lo que su niño(a) come durante una semana  típica, durante el último año; desde la última vez que lo vimos.  En una semana típica, su niño(a) come: Nuts 5 or more times per week Nueces 5 o más veces por semana.","1 ; 0 ; 999","1 = Yes Si; 0 = No No; 999 = Don't Know No Recuerdo","child_nutrition_9_p"
"cna_10_p","Integer","","Recommended","Think about what your child eats in a typical week, during this past year since we last saw you.  In a typical week, does your child eat Piense en lo que su niño(a) come durante una semana  típica, durante el último año; desde la última vez que lo vimos.  En una semana típica, su niño(a) come: Fast food or fried food less than 1 time per week Comida rápida o frita menos de 1 una vez por semana.","1 ; 0 ; 999","1 = Yes Si; 0 = No No; 999 = Don't Know No Recuerdo","child_nutrition_10_p"
"cna_11_p","Integer","","Recommended","Think about what your child eats in a typical week, during this past year since we last saw you.  In a typical week, does your child eat Piense en lo que su niño(a) come durante una semana  típica, durante el último año; desde la última vez que lo vimos.  En una semana típica, su niño(a) come: Olive oil is used as the primary oil Aceite de oliva es utilizado como el aceite primario.","1 ; 0 ; 999","1 = Yes Si; 0 = No No; 999 = Don't Know No Recuerdo","child_nutrition_11_p"
"cna_12_p","Integer","","Recommended","Think about what your child eats in a typical week, during this past year since we last saw you.  In a typical week, does your child eat Piense en lo que su niño(a) come durante una semana  típica, durante el último año; desde la última vez que lo vimos.  En una semana típica, su niño(a) come: Butter or margarine is used less than 1 Tablespoon per day Mantequilla o margarina es utilizado menos de una cucharada por día.","1 ; 0 ; 999","1 = Yes Si; 0 = No No; 999 = Don't Know No Recuerdo","child_nutrition_12_p"
"cna_13_p","Integer","","Recommended","Think about what your child eats in a typical week, during this past year since we last saw you.  In a typical week, does your child eat Piense en lo que su niño(a) come durante una semana  típica, durante el último año; desde la última vez que lo vimos.  En una semana típica, su niño(a) come: Cheese less than 1 time per week Queso menos de 1 vez por día.","1 ; 0 ; 999","1 = Yes Si; 0 = No No; 999 = Don't Know No Recuerdo","child_nutrition_13_p"
"cna_14_p","Integer","","Recommended","Think about what your child eats in a typical week, during this past year since we last saw you.  In a typical week, does your child eat Piense en lo que su niño(a) come durante una semana  típica, durante el último año; desde la última vez que lo vimos.  En una semana típica, su niño(a) come: Pastries or sweets less than 5 times per week Postres o dulces menos de 5 veces por semana.","1 ; 0 ; 999","1 = Yes Si; 0 = No No; 999 = Don't Know No Recuerdo","child_nutrition_14_p"
"cna_15_p","Integer","","Recommended","Were you/biological mother taking daily prenatal vitamins or folic acid supplements before you/she became pregnant? ¿Tomo usted o la madre biológica vitaminas prenatales diarias o acido fólico antes de quedar embarazada?","1 ; 0 ; 999","1 = Yes Si; 0 = No No; 999 = Don't Know No Recuerdo","child_nutrition_15_p"
