"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"eventname","String","60","Required","The event name for which the data was collected","","",""
"ehi1b","Integer","","Recommended","Writing","100 ; 50 ; 0 ; -50 ; -100","100 = Always Right; 50 = Usually Right; 0 = Both Equally; -50 = Usually Left; -100 = Always Left","ehi_1b"
"ehi2b","Integer","","Recommended","Throwing","100 ; 50 ; 0 ; -50 ; -100","100 = Always Right; 50 = Usually Right; 0 = Both Equally; -50 = Usually Left; -100 = Always Left","ehi_2b"
"ehi3b","Integer","","Recommended","Toothbrush","100 ; 50 ; 0 ; -50 ; -100","100 = Always Right; 50 = Usually Right; 0 = Both Equally; -50 = Usually Left; -100 = Always Left","ehi_3b"
"ehi4b","Integer","","Recommended","Spoon","100 ; 50 ; 0 ; -50 ; -100","100 = Always Right; 50 = Usually Right; 0 = Both Equally; -50 = Usually Left; -100 = Always Left","ehi_4b"
"ehi_time","String","30","Recommended","Current Time:","","",""
"ehi_y_ss_scoreb","Float","","Recommended","Handedness score rating","1::3","1=right handed; 2=left handed; 3=mixed handed//Calculation: if ((mean([ehi1b], [ehi2b], [ehi3b],[ehi4b]) < -60),2, if ((mean([ehi1b], [ehi2b], [ehi3b],[ehi4b]) > 60),1,3)); 1.  Veale, J. F. (2014) Edinburgh Handedness Inventory - Short Form: a revised version based on confirmatory factor analysis. Laterality 19(2):164-77.  //If mixed handed, use the hand that the child writes with for NeuroCog and fMRI tasks.","ehi_handedness,ehi_ss_score"
