"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"eventname","String","60","Required","The event name for which the data was collected","","",""
"fit_ss_sleepdate","Date","","Recommended","Date of the night (PM portion of sleep period) of sleep being considered","","","fitbit_ss_sleepdate"
"fit_ss_wkno","Integer","","Recommended","Week number since start of protocol","","Only first 3 weeks will be included in weekly aggregation (protocol length of wear)","fitbit_ss_wkno"
"fit_ss_weekday","Integer","","Recommended","Day of the week","1::7","1=Sunday, 2=Monday, 3=Tuesday, 4=Wednesday, 5=Thursday, 6=Friday, 7=Saturday","fitbit_ss_weekday"
"fit_ss_weekend_ind","Integer","","Recommended","Is this day a weekend (Saturday or Sunday)","0;1","0=no; 1=yes","fitbit_ss_weekend_ind"
"fit_ss_protocol_date","String","30","Recommended","First day of (expected) wear by 3 week protocol","","","fitbit_ss_protocol_date"
"fit_ss_protocol_wear","Integer","","Recommended","Is this day during the 3 week protocol period?","0;1","0=no; 1=yes","fitbit_ss_protocol_wear"
"fit_ss_first_inbed_minutes","String","30","Recommended","First Minute that the participant was identified as being in-bed (but not necessarily asleep)","","All data is offset by 12 hours so that 00:00= noon;  23:59=11:59A","fitbit_ss_first_inbed_minutes"
"fit_ss_first_sleep_minutes","String","30","Recommended","First Minute that the participant was identified as being asleep","","All data is offset by 12 hours so that 00:00= noon;  23:59=11:59A","fitbit_ss_first_sleep_minutes"
"fit_ss_outbed_minutes","String","30","Recommended","First Minute that the participant was identified as being out-bed (but may have woken up prior to this)","","All data is offset by 12 hours so that 00:00= noon;  23:59=11:59A","fitbit_ss_outbed_minutes"
"fit_ss_wakeup_minutes","String","30","Recommended","First Minute that the participant was identified as being awake","","All data is offset by 12 hours so that 00:00= noon;  23:59=11:59A","fitbit_ss_wakeup_minutes"
"fit_ss_total_sleep_minutes","Integer","","Recommended","Total time within the sleep window (including wake periods) as calculated by 30 second sleep record","","","fitbit_ss_total_sleep_minutes"
"fit_ss_sleepperiod_minutes","Float","","Recommended","Total time in sleep (light plus deep plusREM)","","","fitbit_ss_sleepperiod_minutes"
"fit_ss_wake_minutes","Float","","Recommended","Total number of Minutes (in 30 second increments) identified as being awake during the sleep window","","Does not include any Minutes anotated as awake prior to the first Minute of sleep (i.e. does not count latency)","fitbit_ss_wake_minutes"
"fit_ss_light_minutes","Float","","Recommended","Total number of Minutes (in 30 second increments) identified as being in ""light"" sleep stage during the sleep window","","","fitbit_ss_light_minutes"
"fit_ss_deep_minutes","Float","","Recommended","Total number of Minutes (in 30 second increments) identified as being in ""deep"" sleep stage during the sleep window","","","fitbit_ss_deep_minutes"
"fit_ss_rem_minutes","Float","","Recommended","Total number of Minutes (in 30 second increments) identified as being in ""REM"" sleep stage during the sleep window","","","fitbit_ss_rem_minutes"
"fit_ss_wake_count","Integer","","Recommended","Total number of unique awakenings during the sleep period (excludes final awakening)","","","fitbit_ss_wake_count"
"fit_ss_avg_hr_wake","Integer","","Recommended","Average heart rate during Minutes that were classified as awake","","In the event that the two (2) 30-second epochs within the Minute under review did not agree regarding sleep stage the HR for that Minute was not included.","fitbit_ss_avg_hr_wake"
"fit_ss_avg_hr_light","Integer","","Recommended","Average heart rate during Minutes that were classified as light sleep stage","","In the event that the two (2) 30-second epochs within the Minute under review did not agree regarding sleep stage the HR for that Minute was not included.","fitbit_ss_avg_hr_light"
"fit_ss_avg_hr_deep","Integer","","Recommended","Average heart rate during Minutes that were classified as deep sleep stage","","In the event that the two (2) 30-second epochs within the Minute under review did not agree regarding sleep stage the HR for that Minute was not included.","fitbit_ss_avg_hr_deep"
"fit_ss_avg_hr_rem","Integer","","Recommended","Average heart rate during Minutes that were classified as REM sleep stage","","In the event that the two (2) 30-second epochs within the Minute under review did not agree regarding sleep stage the HR for that Minute was not included.","fitbit_ss_avg_hr_rem"
