"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"eventname","String","60","Required","The event name for which the data was collected","","",""
"fit_ss_protocol_date","String","30","Recommended","First day of (expected) wear by 3 week protocol","","","fitbit_ss_protocol_date"
"fit_ss_wkno","Integer","","Recommended","Week number since start of protocol","","Only first 3 weeks will be included in weekly aggregation (protocol length of wear)","fitbit_ss_day_wkno,fitbit_ss_wkno"
"fit_ss_datatype","Integer","","Recommended","0=weekdays only, 1=weekend only, 2=weekday and weekend","0::2","","fitbit_ss_datatype"
"fit_ss_day_count","Integer","","Recommended","Number of days included for averages","","Only days that have a 30 second sleep record are included","fitbit_ss_day_count"
"fit_ss_avg_first_inbed_hour","String","30","Recommended","First Minute that the participant was identified as being in-bed (but not necessarily asleep)","","All data is offset by 12 hours so that 00:00= noon,  23:59=11:59A","fitbit_ss_avg_first_inbed_hour"
"fit_ss_avg_first_sleep_hour","String","30","Recommended","First Minute that the participant was identified as being asleep","","All data is offset by 12 hours so that 00:00= noon,  23:59=11:59A","fitbit_ss_avg_first_sleep_hour"
"fit_ss_avg_outbed_hour","String","30","Recommended","First Minute that the participant was identified as being out-bed (but may have woken up prior to this)","","All data is offset by 12 hours so that 00:00= noon,  23:59=11:59A","fitbit_ss_avg_outbed_hour"
"fit_ss_avg_wakeup_hour","String","30","Recommended","First Minute that the participant was identified as being awake","","All data is offset by 12 hours so that 00:00= noon,  23:59=11:59A","fitbit_ss_avg_wakeup_hour"
"fit_ss_sleep_period_minutes","Integer","","Recommended","Sum of all Minutes classifed as being any kind of sleep (i.e. light+deep+REM) for all included days","","","fitbit_ss_sleep_period_minutes"
"fit_ss_sleep_sum_wake_minutes","Integer","","Recommended","Sum of Minutes classified as being awake through all sleep periods","","","fitbit_ss_sleep_sum_wake_minutes"
"fit_ss_sleep_sum_light_minutes","Integer","","Recommended","Sum of Minutes classified as being light sleep staging through all sleep periods","","","fitbit_ss_sleep_sum_light_minutes"
"fit_ss_sleep_sum_deep_minutes","Integer","","Recommended","Sum of Minutes classified as being deep sleep staging through all sleep periods","","","fitbit_ss_sleep_sum_deep_minutes"
"fit_ss_sleep_sum_rem_minutes","Integer","","Recommended","Sum of Minutes classified as being REM sleep staging through all sleep periods","","","fitbit_ss_sleep_sum_rem_minutes"
"fit_ss_sleep_sum_wake_count","Integer","","Recommended","Total number of unique awakenings during the sleep period","","","fitbit_ss_sleep_sum_wake_count"
"fit_ss_avg_sleep_period_min","Integer","","Recommended","Average of all Minutes classifed as being any kind of sleep (i.e. light+deep+REM) for all included days","","","fitbit_ss_avg_sleep_period_minutes"
"fit_ss_sleep_avg_wake_minutes","Integer","","Recommended","Average per day of Minutes classified as being awake through all sleep periods","","","fitbit_ss_sleep_avg_wake_minutes"
"fit_ss_sleep_avg_light_minutes","Integer","","Recommended","Average per day of Minutes classified as being awake through all sleep periods","","","fitbit_ss_sleep_avg_light_minutes"
"fit_ss_sleep_avg_deep_minutes","Integer","","Recommended","Average per day of Minutes classified as being awake through all sleep periods","","","fitbit_ss_sleep_avg_deep_minutes"
"fit_ss_sleep_avg_rem_minutes","Integer","","Recommended","Average per day of Minutes classified as being awake through all sleep periods","","","fitbit_ss_sleep_avg_rem_minutes"
"fit_ss_sleep_avg_wake_count","Integer","","Recommended","Total number of unique awakenings during the sleep period","","Does not include any Minutes anotated as awake prior to the first Minute of sleep (i.e. does not count latency)","fitbit_ss_sleep_avg_wake_count"
"fit_ss_sleep_avg_hr_wake","Integer","","Recommended","Average heart rate during Minutes that were classified as awake","","In the event that the two (2) 30-second epochs within the Minute under review did not agree regarding sleep stage the HR for that Minute was not included.","fitbit_ss_sleep_avg_hr_wake"
"fit_ss_sleep_avg_hr_light","Integer","","Recommended","Average heart rate during Minutes that were classified as light sleep stage","","In the event that the two (2) 30-second epochs within the Minute under review did not agree regarding sleep stage the HR for that Minute was not included.","fitbit_ss_sleep_avg_hr_light"
"fit_ss_sleep_avg_hr_deep","Integer","","Recommended","Average heart rate during Minutes that were classified as deep sleep stage","","In the event that the two (2) 30-second epochs within the Minute under review did not agree regarding sleep stage the HR for that Minute was not included.","fitbit_ss_sleep_avg_hr_deep"
"fit_ss_sleep_avg_hr_rem","Integer","","Recommended","Average heart rate during Minutes that were classified as REM sleep stage","","In the event that the two (2) 30-second epochs within the Minute under review did not agree regarding sleep stage the HR for that Minute was not included.","fitbit_ss_sleep_avg_hr_rem"
