"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"fes_youth_q1","Integer","","Recommended","We fight a lot in our family.","1 ; 0","1 = True; 0 = False","fes_q1"
"fes_youth_q2","Integer","","Recommended","Family members rarely become openly angry.","0 ; 1","0 = True; 1 = False","fes_q2"
"fes_youth_q3","Integer","","Recommended","Family members sometimes get so angry they throw things.","1 ; 0","1 = True; 0 = False","fes_q3"
"fes_youth_q4","Integer","","Recommended","Family members hardly ever lose their tempers.","0 ; 1","0 = True; 1 = False","fes_q4"
"fes_youth_q5","Integer","","Recommended","Family members often criticize each other.","1 ; 0","1 = True; 0 = False","fes_q5"
"fes_youth_q6","Integer","","Recommended","Family members sometimes hit each other.","1 ; 0","1 = True; 0 = False","fes_q6"
"fes_youth_q7","Integer","","Recommended","If there's a disagreement in our family, we try hard to smooth things over and keep the peace.","0 ; 1","0 = True; 1 = False","fes_q7"
"fes_youth_q8","Integer","","Recommended","Family members often try to one-up or outdo each other.","1 ; 0","1 = True; 0 = False","fes_q8"
"fes_youth_q9","Integer","","Recommended","In our family, we believe you don't ever get anywhere by raising your voice.","0 ; 1","0 = True; 1 = False","fes_q9"
"eventname","String","60","Recommended","The event name for which the data was collected","","",""
"fes_admin","Integer","","Recommended","Please indicate how instrument was administered:","1::3","1=RA-Administered ; 2=Youth Self-Administered ; 3=Combination [event_name_number] > '21' AND [sched_delay] = '7'",""
