"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"eventname","String","60","Required","The event name for which the data was collected","","",""
"famhx_ss_fath_prob_alc_p","Integer","","Recommended","father alcohol problem","0;1","0=no problem endorsed; 1=problem endorsed",""
"famhx_ss_patgf_prob_alc_p","Integer","","Recommended","paternal grandfather alcohol problem","0;1","0=no problem endorsed; 1=problem endorsed",""
"famhx_ss_patgm_prob_alc_p","Integer","","Recommended","paternal grandmother alcohol problem","0;1","0=no problem endorsed; 1=problem endorsed",""
"famhx_ss_moth_prob_alc_p","Integer","","Recommended","mother alcohol problem","0;1","0=no problem endorsed; 1=problem endorsed",""
"famhx_ss_matgf_prob_alc_p","Integer","","Recommended","maternal grandfather alcohol problem","0;1","0=no problem endorsed; 1=problem endorsed",""
"famhx_ss_matgm_prob_alc_p","Integer","","Recommended","maternal grandmother alcohol problem","0;1","0=no problem endorsed; 1=problem endorsed",""
"famhx_ss_patunc1_prob_alc_p","Integer","","Recommended","paternal uncle 1 alcohol problem","0;1","0=no problem endorsed; 1=problem endorsed",""
"famhx_ss_patunc2_prob_alc_p","Integer","","Recommended","paternal uncle 2 alcohol problem","0;1","0=no problem endorsed; 1=problem endorsed",""
"famhx_ss_patunc3_prob_alc_p","Integer","","Recommended","paternal uncle 3 alcohol problem","0;1","0=no problem endorsed; 1=problem endorsed",""
"famhx_ss_patunc4_prob_alc_p","Integer","","Recommended","paternal uncle 4 alcohol problem","0;1","0=no problem endorsed; 1=problem endorsed",""
"famhx_ss_patunc5_prob_alc_p","Integer","","Recommended","paternal uncle 5 alcohol problem","0;1","0=no problem endorsed; 1=problem endorsed",""
"famhx_ss_patant1_prob_alc_p","Integer","","Recommended","paternal aunt 1 alcohol problem","0;1","0=no problem endorsed; 1=problem endorsed",""
"famhx_ss_patant2_prob_alc_p","Integer","","Recommended","paternal aunt 2 alcohol problem","0;1","0=no problem endorsed; 1=problem endorsed",""
"famhx_ss_patant3_prob_alc_p","Integer","","Recommended","paternal aunt 3 alcohol problem","0;1","0=no problem endorsed; 1=problem endorsed",""
"famhx_ss_patant4_prob_alc_p","Integer","","Recommended","paternal aunt 4 alcohol problem","0;1","0=no problem endorsed; 1=problem endorsed",""
"famhx_ss_patant5_prob_alc_p","Integer","","Recommended","paternal aunt 5 alcohol problem","0;1","0=no problem endorsed; 1=problem endorsed",""
"famhx_ss_matunc1_prob_alc_p","Integer","","Recommended","maternal uncle 1 alcohol problem","0;1","0=no problem endorsed; 1=problem endorsed",""
"famhx_ss_matunc2_prob_alc_p","Integer","","Recommended","maternal uncle 2 alcohol problem","0;1","0=no problem endorsed; 1=problem endorsed",""
"famhx_ss_matunc3_prob_alc_p","Integer","","Recommended","maternal uncle 3 alcohol problem","0;1","0=no problem endorsed; 1=problem endorsed",""
"famhx_ss_matunc4_prob_alc_p","Integer","","Recommended","maternal uncle 4 alcohol problem","0;1","0=no problem endorsed; 1=problem endorsed",""
"famhx_ss_matunc5_prob_alc_p","Integer","","Recommended","maternal uncle 5 alcohol problem","0;1","0=no problem endorsed; 1=problem endorsed",""
"famhx_ss_matant1_prob_alc_p","Integer","","Recommended","maternal aunt 1 alcohol problem","0;1","0=no problem endorsed; 1=problem endorsed",""
"famhx_ss_matant2_prob_alc_p","Integer","","Recommended","maternal aunt 2 alcohol problem","0;1","0=no problem endorsed; 1=problem endorsed",""
"famhx_ss_matant3_prob_alc_p","Integer","","Recommended","maternal aunt 3 alcohol problem","0;1","0=no problem endorsed; 1=problem endorsed",""
"famhx_ss_matant4_prob_alc_p","Integer","","Recommended","maternal aunt 4 alcohol problem","0;1","0=no problem endorsed; 1=problem endorsed",""
"famhx_ss_matant5_prob_alc_p","Integer","","Recommended","maternal aunt 5 alcohol problem","0;1","0=no problem endorsed; 1=problem endorsed",""
"famhx_ss_fulsiby1_prob_alc_p","Integer","","Recommended","full sibling younger 1 alcohol problem","0;1","0=no problem endorsed; 1=problem endorsed",""
"famhx_ss_fulsiby2_prob_alc_p","Integer","","Recommended","full sibling younger 2 alcohol problem","0;1","0=no problem endorsed; 1=problem endorsed",""
"famhx_ss_fulsiby3_prob_alc_p","Integer","","Recommended","full sibling younger 3 alcohol problem","0;1","0=no problem endorsed; 1=problem endorsed",""
"famhx_ss_fulsiby4_prob_alc_p","Integer","","Recommended","full sibling younger 4 alcohol problem","0;1","0=no problem endorsed; 1=problem endorsed",""
"famhx_ss_fulsiby5_prob_alc_p","Integer","","Recommended","full sibling younger 5 alcohol problem","0;1","0=no problem endorsed; 1=problem endorsed",""
"famhx_ss_fulsibo1_prob_alc_p","Integer","","Recommended","full sibling older 1 alcohol problem","0;1","0=no problem endorsed; 1=problem endorsed",""
"famhx_ss_fulsibo2_prob_alc_p","Integer","","Recommended","full sibling older 2 alcohol problem","0;1","0=no problem endorsed; 1=problem endorsed",""
"famhx_ss_fulsibo3_prob_alc_p","Integer","","Recommended","full sibling older 3 alcohol problem","0;1","0=no problem endorsed; 1=problem endorsed",""
"famhx_ss_fulsibo4_prob_alc_p","Integer","","Recommended","full sibling older 4 alcohol problem","0;1","0=no problem endorsed; 1=problem endorsed",""
"famhx_ss_fulsibo5_prob_alc_p","Integer","","Recommended","full sibling older 5 alcohol problem","0;1","0=no problem endorsed; 1=problem endorsed",""
"famhx_ss_hlfsiby1_prob_alc_p","Integer","","Recommended","half sibling younger 1 alcohol problem","0;1","0=no problem endorsed; 1=problem endorsed",""
"famhx_ss_hlfsiby2_prob_alc_p","Integer","","Recommended","half sibling younger 2 alcohol problem","0;1","0=no problem endorsed; 1=problem endorsed",""
"famhx_ss_hlfsiby3_prob_alc_p","Integer","","Recommended","half sibling younger 3 alcohol problem","0;1","0=no problem endorsed; 1=problem endorsed",""
"famhx_ss_hlfsiby4_prob_alc_p","Integer","","Recommended","half sibling younger 4 alcohol problem","0;1","0=no problem endorsed; 1=problem endorsed",""
"famhx_ss_hlfsiby5_prob_alc_p","Integer","","Recommended","half sibling younger 5 alcohol problem","0;1","0=no problem endorsed; 1=problem endorsed",""
"famhx_ss_hlfsibo1_prob_alc_p","Integer","","Recommended","half sibling older 1 alcohol problem","0;1","0=no problem endorsed; 1=problem endorsed",""
"famhx_ss_hlfsibo2_prob_alc_p","Integer","","Recommended","half sibling older 2 alcohol problem","0;1","0=no problem endorsed; 1=problem endorsed",""
"famhx_ss_hlfsibo3_prob_alc_p","Integer","","Recommended","half sibling older 3 alcohol problem","0;1","0=no problem endorsed; 1=problem endorsed",""
