"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"eventname","String","60","Required","The event name for which the data was collected","","",""
"visit","String","60","Recommended","Visit name","","","fmri_manu_postqc_visitid"
"fmri_postqc_containertype","String","30","Recommended","Container type","","","fmri_manu_postqc_containertype"
"fmri_postqc_stype","String","30","Recommended","Series type","","","fmri_manu_postqc_stype"
"fmri_postqc_nrev","Integer","","Recommended","Number of reviews","0 :: 4","","fmri_manu_postqc_nrev"
"fmri_postqc_revdisp","Integer","","Recommended","Disparity between reviewers","0;1","0 = reject; 1 = accept","fmri_manu_postqc_revdisp"
"fmri_postqc_qc","Float","","Recommended","Overall QC score","0;1","0 = no disparity; 1 = disparity between raters","fmri_manu_postqc_qc"
"fmri_postqc_regt1","Float","","Recommended","Registration error score (0=good registration, 1=mild rotation or translation, 2=moderate rotation or translation, 3=severe rotation or translation)","0 :: 3","0 = absent; 1 = mild; 2 = moderate; 3 = severe","fmri_manu_postqc_regt1"
"fmri_postqc_b0warp","Float","","Recommended","Residual distortion score (0=no distortion, 1=mild distortion, 2=moderate distortion, 3=severe distortion)","0 :: 3","0 = absent; 1 = mild; 2 = moderate; 3 = severe","fmri_manu_postqc_b0warp"
"fmri_postqc_imgqual","Float","","Recommended","Image quality score (0=good image quality, 1=mild artifact, 2=moderate artifact, 3=severe artifact)","0 :: 3","0 = absent; 1 = mild; 2 = moderate; 3 = severe","fmri_manu_postqc_imgqual"
"fmri_postqc_cutoff","Float","","Recommended","Cutoff score (0=no cutoff, 1=mild cutoff, 2=moderate cutoff, 3=severe cutoff)","0 :: 3","0 = absent; 1 = mild; 2 = moderate; 3 = severe","fmri_manu_postqc_cutoff"
"fmri_postqc_notes","String","1000","Recommended","fMRI postprocessing QC Notes","","","fmri_manu_postqc_notes"
