"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"eventname","String","60","Required","The event name for which the data was collected","","",""
"gdt_scr_script_subjectid","String","128","Recommended","script.subjectid: 

Subject ID Number","","","gdt_subjectid"
"gdt_scr_event","String","60","Recommended","Event selected by RA if not 2-year follow-up (HIDEFROMCOMPLETION)","","","gdt_event"
"gdt_scr_session","Integer","","Recommended","Session number (01,02,03)","","","gdt_session"
"gdt_scr_script_startdate","String","30","Recommended","script.startdate:

Date script was run","","","gdt_startdate"
"gdt_scr_script_starttime","String","30","Recommended","script.starttime:

Time script was started","","","gdt_starttime"
"gdt_scr_script_elapsedtime","Integer","","Recommended","script.elapsedtime:

Time it took to run script (in ms)","","","gdt_elapsedtime"
"gdt_scr_parameters_gdtversion","Integer","","Recommended","parameters.GDTversion:
1 = original version with feedback (default); 
2 = version without feedback","1;2","1=Original Version with Feedback (Default); 2=Version without Feedback","gdt_version"
"gdt_scr_values_account_balance","Integer","","Recommended","values.account_balance:

Amount participant owns at the end","","","gdt_account_balance"
"gdt_scr_values_single","Integer","","Recommended","values.single:

Counts how many times participant has bet on 1 specific dice face","","","gdt_values_single"
"gdt_scr_values_double","Integer","","Recommended","values.double:

Counts how many times participant has bet on 2 specific dice face","","","gdt_values_double"
"gdt_scr_values_triple","Integer","","Recommended","values.triple:

Counts how many times participant has bet on 3 specific dice face","","","gdt_values_triple"
"gdt_scr_values_quadruple","Integer","","Recommended","values.quadruple:

Counts how many times participant has bet on 4 possible dice faces","","","gdt_values_quadruple"
"gdt_scr_values_safe","Integer","","Recommended","values.safe:

Counts how many times participants selected a safe bet (bets on 3 or 4 dice faces)","","","gdt_values_safe"
"gdt_scr_values_risky","Integer","","Recommended","values.risky:

Counts how many times participants selected a risky bet (bets on 1 or 2 dice faces)","","","gdt_values_risky"
"gdt_scr_expressions_net_score","Integer","","Recommended","expressions.net_score:

Reflects the number of safe (bets on 3 or 4 numbers) vs. risky (bets on 1 or 2 numbers) choices. It is computed as number of safe bets minus number of risky bets.","","","gdt_ss_netscore"
"gdt_scr_values_wins","Integer","","Recommended","values.wins:

Adds the number of winning bets","","","gdt_values_wins"
"gdt_scr_values_losses","Integer","","Recommended","values.losses:

Adds the number of losing bets","","","gdt_values_losses"
