"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"eventname","String","60","Required","The event name for which the data was collected","","",""
"gish2_had_bf_gf","Integer","","Recommended","Have you ever had a boyfriend or girlfriend?","1;0;777","1=Yes; 0=No; 777=Refuse to Answer","gish2_had_boy_girl_friends"
"gish2_want_bf_gf","Integer","","Recommended","Have you ever wanted to have a boyfriend or girlfriend?","1;0;777","1=Yes; 0=No; 777=Refuse to Answer","gish2_want_boy_girl_friends"
"gish2_nr_kiss","Integer","","Recommended","Have you ever kissed a boy or girl on the mouth?","1;0;777","1=Yes; 0=No; 777=Refuse to answer","gish2_not_related_kiss"
"gish2_nr_hands","Integer","","Recommended","Has a boy or girl ever put their hands under your clothes?","1;0;777","1=Yes; 0=No; 777=Refuse to answer","gish2_not_related_hands"
"gish2_nr_self_hands","Integer","","Recommended","Have you ever put your hands under a boy's or girl's clothes?","1;0;777","1=Yes; 0=No; 777=Refuse to answer","gish2_not_related_self_hands"
"gish2_cf_have_bf_gf","Integer","","Recommended","Having a boyfriend or girlfriend","1;2;3;999;777","1=Approve; 2=Neither Approve / Disapprove; 3=Disapprove; 999=Don't Know; 777=Refuse to Answer","gish2_close_friends_have_boy_girl_friend"
"gish2_cf_kiss","Integer","","Recommended","Kissing a boy or girl on the mouth","1;2;3;999;777","1=Approve; 2=Neither Approve / Disapprove; 3=Disapprove; 999=Don't Know; 777=Refuse to Answer","gish2_close_friends_kiss"
"gish2_cf_hands","Integer","","Recommended","A boy or girl putting their hands under your clothes","1;2;3;999;777","1=Approve; 2=Neither Approve / Disapprove; 3=Disapprove; 999=Don't Know; 777=Refuse to Answer","gish2_close_friends_hands"
"gish2_cf_self_hands","Integer","","Recommended","Putting your hands under a boy's or girl's clothes?","1;2;3;999;777","1=Approve; 2=Neither Approve / Disapprove; 3=Disapprove; 999=Don't Know; 777=Refuse to Answer","gish2_close_friends_self_hands"
"gish2_f_had_bf_gf","Integer","","Recommended","Had a boyfriend/girlfriend","1;2;3;4;999;777","1=None; 2=A Few; 3=Most; 4=All; 999=Don't Know; 777=Refuse to Answer","gish2_friends_had_boy_girl_friend"
"gish2_f_kiss","Integer","","Recommended","Kissed a boy or a girl on the mouth","1;2;3;4;999;777","1=None; 2=A Few; 3=Most; 4=All; 999=Don't Know; 777=Refuse to Answer","gish2_friends_kiss"
"gish2_f_hands","Integer","","Recommended","Had a boy or girl put their hands under your friend's clothes.","1;2;3;4;999;777","1=None; 2=A Few; 3=Most; 4=All; 999=Don't Know; 777=Refuse to Answer","gish2_friends_hands"
"gish2_f_self_hands","Integer","","Recommended","Put their hands under a boy's or girl's clothes","1;2;3;4;999;777","1=None; 2=A Few; 3=Most; 4=All; 999=Don't Know; 777=Refuse to Answer","gish2_friends_self_hands"
"gish2_device","Integer","","Recommended","Youth's Device:","1::3","1=Phone Screen ; 2=Tablet/iPad Screen ; 3=Computer Screen  [gish2_remote(2)] = ''1'' or [gish2_remote(3)] = ''1''",""
