"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"eventname","String","60","Required","The event name for which the data was collected","","",""
"hormone_scr_dhea_mean","String","30","Recommended","Salimetrics hormone test DHEA mean of measures (pg/mL)","","",""
"hormone_scr_dhea_rep1","String","30","Recommended","Salimetrics hormone test DHEA repetition 1 (pg/mL)","","",""
"hormone_scr_dhea_rep1_ll","String","30","Recommended","Salimetrics hormone test DHEA below lower limit of sensitivity (repetition 1)","","",""
"hormone_scr_dhea_rep1_qns","String","30","Recommended","Salimetrics hormone test DHEA quantity not sufficient (repetition 1)","","",""
"hormone_scr_dhea_rep1_nd","String","30","Recommended","Salimetrics hormone test DHEA none detected (repetition 1)","","",""
"hormone_scr_dhea_rep2","Float","30","Recommended","Salimetrics hormone test DHEA repetition 2 (pg/mL)","","",""
"hormone_scr_dhea_rep2_ll","String","30","Recommended","Salimetrics hormone test DHEA below lower limit of sensitivity (repetition 2)","","",""
"hormone_scr_dhea_rep2_qns","String","30","Recommended","Salimetrics hormone test DHEA quantity not sufficient (repetition 2)","","",""
"hormone_scr_dhea_rep2_nd","String","30","Recommended","Salimetrics hormone test DHEA none detected (repetition 2)","","",""
"hormone_scr_hse_mean","Float","","Recommended","Salimetrics hormone test estradiol (HSE) mean of measures (pg/mL)","","",""
"hormone_scr_hse_rep1","Float","","Recommended","Salimetrics hormone test estradiol (HSE) repetition 1 (pg/mL)","","",""
"hormone_scr_hse_rep1_ll","String","30","Recommended","Salimetrics hormone test estradiol (HSE) below lower limit of sensitivity (repetition 1)","","",""
"hormone_scr_hse_rep1_qns","String","30","Recommended","Salimetrics hormone test estradiol (HSE)  quantity not sufficient (repetition 1)","","",""
"hormone_scr_hse_rep1_nd","String","30","Recommended","Salimetrics hormone test estradiol (HSE) none detected (repetition 1)","","",""
"hormone_scr_hse_rep2","Float","","Recommended","Salimetrics hormone test estradiol (HSE) repetition 2 (pg/mL)","","",""
"hormone_scr_hse_rep2_ll","String","30","Recommended","Salimetrics hormone test estradiol (HSE)  below lower limit of sensitivity (repetition 2)","","",""
"hormone_scr_hse_rep2_qns","String","30","Recommended","Salimetrics hormone test estradiol (HSE)  quantity not sufficient (repetition 2)","","",""
"hormone_scr_hse_rep2_nd","String","30","Recommended","Salimetrics hormone test estradiol (HSE)  none detected (repetition 2)","","",""
"hormone_scr_ert_mean","Float","","Recommended","Salimetrics hormone test testosterone (ERT) mean of measures (pg/mL)","","",""
"hormone_scr_ert_rep1","Float","","Recommended","Salimetrics hormone test testosterone (ERT) repetition 1 (pg/mL)","","",""
"hormone_scr_ert_rep1_ll","String","30","Recommended","Salimetrics hormone test testosterone (ERT) below lower limit of sensitivity (repetition 1)","","",""
"hormone_scr_ert_rep1_qns","String","30","Recommended","Salimetrics hormone test testosterone (ERT)  quantity not sufficient (repetition 1)","","",""
"hormone_scr_ert_rep1_nd","String","30","Recommended","Salimetrics hormone test testosterone (ERT) none detected (repetition 1)","","",""
"hormone_scr_ert_rep2","Float","","Recommended","Salimetrics hormone test testosterone (ERT) repetition 2 (pg/mL)","","",""
"hormone_scr_ert_rep2_ll","String","30","Recommended","Salimetrics hormone test testosterone (ERT) below lower limit of sensitivity (repetition 2)","","",""
"hormone_scr_ert_rep2_qns","String","30","Recommended","Salimetrics hormone test testosterone (ERT)  quantity not sufficient (repetition 2)","","",""
"hormone_scr_ert_rep2_nd","String","30","Recommended","Salimetrics hormone test Salimetrics hormone test testosterone (ERT)  quantity not sufficient (repetition 2) none detected (repetition 2)","","",""
