"ElementName","DataType","Size","Required","Condition","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","","Subject ID how it's defined in lab/project","","",""
"interview_age","Integer","","Required","","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"interview_date","Date","","Required","","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"sex","String","20","Required","","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"eventname","String","60","Recommended","","The event name for which the data was collected","","",""
"kbi_l_p_select_language___1","Integer","","Recommended","","¿Español? (1, Sí)","0 ; 1","0 = No; 1 = Yes","kbi_select_p_language_p_l,ksads_back_select_language_p_l"
"kbi_p_c_live_full_time_l","Integer","","Recommended","","Since we last saw you on [asnt_timestamp_c], has your child lived with you full time? Desde la última vez que nos vimos en [asnt_timestamp_c], ¿su niño(a) ha vivido con usted todo el tiempo?","1 ; 0 ; -1","1 = Yes Sí; 0 = No No; -1 = Not applicable No aplica","kbi_c_p_live_full_time_p_l,ksads_back_c_live_full_time_p_l"
"kbi_p_c_guard_l___1","Integer","","Recommended"," kbi_p_c_live_full_time_l   == '0'","Since we last saw you, who else has your child lived with at least part of the time? Desde la última vez que nos vimos, ¿Con quién más pasa tiempo su niño(a)? (1, Biological Mother Madre biológica)","0 ; 1","0 = No; 1 = Yes","kbi_c_guard_p_l___1,ksads_back_c_guard_p_l___1"
"kbi_p_c_guard_l___2","Integer","","Recommended"," kbi_p_c_live_full_time_l   == '0'","Since we last saw you, who else has your child lived with at least part of the time? Desde la última vez que nos vimos, ¿Con quién más pasa tiempo su niño(a)? (2, Biological Father Padre biológico)","0 ; 1","0 = No; 1 = Yes","kbi_c_guard_p_l___2,ksads_back_c_guard_p_l___2"
"kbi_p_c_guard_l___3","Integer","","Recommended"," kbi_p_c_live_full_time_l   == '0'","Since we last saw you, who else has your child lived with at least part of the time? Desde la última vez que nos vimos, ¿Con quién más pasa tiempo su niño(a)? (3, Stepmother Madrastra)","0 ; 1","0 = No; 1 = Yes","kbi_c_guard_p_l___3,ksads_back_c_guard_p_l___3"
"kbi_p_c_guard_l___4","Integer","","Recommended"," kbi_p_c_live_full_time_l   == '0'","Since we last saw you, who else has your child lived with at least part of the time? Desde la última vez que nos vimos, ¿Con quién más pasa tiempo su niño(a)? (4, Stepfather Padrastro)","0 ; 1","0 = No; 1 = Yes","kbi_c_guard_p_l___4,ksads_back_c_guard_p_l___4"
"kbi_p_c_guard_l___5","Integer","","Recommended"," kbi_p_c_live_full_time_l   == '0'","Since we last saw you, who else has your child lived with at least part of the time? Desde la última vez que nos vimos, ¿Con quién más pasa tiempo su niño(a)? (5, Adopted Mother Madre adoptiva)","0 ; 1","0 = No; 1 = Yes","kbi_c_guard_p_l___5,ksads_back_c_guard_p_l___5"
"kbi_p_c_guard_l___6","Integer","","Recommended"," kbi_p_c_live_full_time_l   == '0'","Since we last saw you, who else has your child lived with at least part of the time? Desde la última vez que nos vimos, ¿Con quién más pasa tiempo su niño(a)? (6, Adopted Father Padre adoptivo)","0 ; 1","0 = No; 1 = Yes","kbi_c_guard_p_l___6,ksads_back_c_guard_p_l___6"
"kbi_p_c_guard_l___7","Integer","","Recommended"," kbi_p_c_live_full_time_l   == '0'","Since we last saw you, who else has your child lived with at least part of the time? Desde la última vez que nos vimos, ¿Con quién más pasa tiempo su niño(a)? (7, Foster Parent Padre o madre de crianza temporal)","0 ; 1","0 = No; 1 = Yes","kbi_c_guard_p_l___7,ksads_back_c_guard_p_l___7"
"kbi_p_c_guard_l___8","Integer","","Recommended"," kbi_p_c_live_full_time_l   == '0'","Since we last saw you, who else has your child lived with at least part of the time? Desde la última vez que nos vimos, ¿Con quién más pasa tiempo su niño(a)? (8, Grandmother Abuela)","0 ; 1","0 = No; 1 = Yes","kbi_c_guard_p_l___8,ksads_back_c_guard_p_l___8"
"kbi_p_c_guard_l___9","Integer","","Recommended"," kbi_p_c_live_full_time_l   == '0'","Since we last saw you, who else has your child lived with at least part of the time? Desde la última vez que nos vimos, ¿Con quién más pasa tiempo su niño(a)? (9, Grandfather Abuelo)","0 ; 1","0 = No; 1 = Yes","kbi_c_guard_p_l___9,ksads_back_c_guard_p_l___9"
"kbi_p_c_guard_l___10","Integer","","Recommended"," kbi_p_c_live_full_time_l   == '0'","Since we last saw you, who else has your child lived with at least part of the time? Desde la última vez que nos vimos, ¿Con quién más pasa tiempo su niño(a)? (10, Aunt Tía)","0 ; 1","0 = No; 1 = Yes","kbi_c_guard_p_l___10,ksads_back_c_guard_p_l___10"
"kbi_p_c_guard_l___11","Integer","","Recommended"," kbi_p_c_live_full_time_l   == '0'","Since we last saw you, who else has your child lived with at least part of the time? Desde la última vez que nos vimos, ¿Con quién más pasa tiempo su niño(a)? (11, Uncle Tío)","0 ; 1","0 = No; 1 = Yes","kbi_c_guard_p_l___11,ksads_back_c_guard_p_l___11"
"kbi_p_c_guard_l___12","Integer","","Recommended"," kbi_p_c_live_full_time_l   == '0'","Since we last saw you, who else has your child lived with at least part of the time? Desde la última vez que nos vimos, ¿Con quién más pasa tiempo su niño(a)? (12, Other Otra)","0 ; 1","0 = No; 1 = Yes","kbi_c_guard_p_l___12,ksads_back_c_guard_p_l___12"
"kbi_p_c_guard_l___0","Integer","","Recommended"," kbi_p_c_live_full_time_l   == '0'","Since we last saw you, who else has your child lived with at least part of the time? Desde la última vez que nos vimos, ¿Con quién más pasa tiempo su niño(a)? (0, Not applicable No aplica)","0 ; 1","0 = No; 1 = Yes","kbi_c_guard_p_l___0,ksads_back_c_guard_p_l___0"
"kbi_p_conflict_l","Integer","","Recommended","","In general, how do you and your child get along? En general, ¿cómo se llevan usted y su niño(a)?","1 ; 2 ; 3 ; -1","1 = Very well Muy bien; 2 = Some conflict Con algo de conflicto; 3 = A lot of conflict Con mucho conflicto; -1 = Not Applicable No aplica","kbi_conflict_p_l,ksads_back_conflict_p_l"
"kbi_p_conflict_causes_l___1","Integer","","Recommended"," kbi_p_conflict_l   == '2' ||  kbi_p_conflict_l   == '3'","Click the things that cause conflict between you and your child: A continuación, seleccione aquello que causa conflicto entre usted y su niño(a): (1, Chores Quehaceres)","0 ; 1","0 = No; 1 = Yes","kbi_conflict_causes_p_l___1,ksads_back_conflict_causes_p_l___1"
"kbi_p_conflict_causes_l___2","Integer","","Recommended"," kbi_p_conflict_l   == '2' ||  kbi_p_conflict_l   == '3'","Click the things that cause conflict between you and your child: A continuación, seleccione aquello que causa conflicto entre usted y su niño(a): (2, Messy Room Habitación desordenada)","0 ; 1","0 = No; 1 = Yes","kbi_conflict_causes_p_l___2,ksads_back_conflict_causes_p_l___2"
