"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"eventname","String","60","Required","The event name for which the data was collected","","",""
"tfmri_mid_all_sem_visitid","String","60","Recommended","Visit name","","",""
"tfmri_mid_all_sem_tr","Float","","Recommended","Pulse repetition time in seconds","","",""
"tfmri_mid_all_sem_numtrs","Integer","","Recommended","Number of frames in acquisition","","","tfmri_mid_all_sem_num.trs"
"tfmri_mid_all_sem_dof","Integer","","Recommended","Degrees of freedom","","",""
"tfmri_mid_all_sem_nvols","Integer","","Recommended","Number of frames after removing dummy frames","","",""
"tfmri_mid_all_sem_stnvols","Integer","","Recommended","Number of frames with FD < 0.2","","","tfmri_mid_all_sem_subthresh.nvols,tfmri_mid_all_sem_subthreshnvols"
"tfmri_mid_all_sem_meanmotion","Float","","Recommended","Average framewise displacement in mm","","","tfmri_mid_all_sem_mean.motion"
"tfmri_mid_all_sem_maxmotion","Float","","Recommended","Maximum framewise displacement in mm","","","tfmri_mid_all_sem_max.motion"
"tfmri_mid_all_sem_meantrans","Float","","Recommended","Average framewise translation in mm","","","tfmri_mid_all_sem_mean.trans"
"tfmri_mid_all_sem_maxtrans","Float","","Recommended","Maximum framewise translation in mm","","","tfmri_mid_all_sem_max.trans"
"tfmri_mid_all_sem_meanrot","Float","","Recommended","Average framewise rotation in radians","","","tfmri_mid_all_sem_mean.rot"
"tfmri_mid_all_sem_maxrot","Float","","Recommended","Maximum framewise rotation in radians","","","tfmri_mid_all_sem_max.rot"
"tfmri_ma_arvn_smscs_cbwmlh","Float","","Recommended","Standard error of the mean for MID all anticipation of reward versus neutral contrast in ASEG ROI left-cerebral-white-matter","","","tfmri_mid_all_antic.reward.vs.neutral_sem_subcort.aseg_cerebral.white.matter.lh,tfmri_mid_all_anticrewardvsneutral_sem_subcortaseg_cerebralwhitematterlh"
"tfmri_ma_arvn_smscs_lcelh","Float","","Recommended","Standard error of the mean for MID all anticipation of reward versus neutral contrast in ASEG ROI left-lateral-ventricle","","","tfmri_mid_all_antic.reward.vs.neutral_sem_subcort.aseg_lateral.ventricle.lh,tfmri_mid_all_anticrewardvsneutral_sem_subcortaseg_lateralventriclelh"
"tfmri_ma_arvn_smscs_inflatvlh","Float","","Recommended","Standard error of the mean for MID all anticipation of reward versus neutral contrast in ASEG ROI left-inf-lat-vent","","","tfmri_mid_all_antic.reward.vs.neutral_sem_subcort.aseg_inf.lat.vent.lh,tfmri_mid_all_anticrewardvsneutral_sem_subcortaseg_inflatventlh"
"tfmri_ma_arvn_smscs_crbwmlh","Float","","Recommended","Standard error of the mean for MID all anticipation of reward versus neutral contrast in ASEG ROI left-cerebellum-white-matter","","","tfmri_mid_all_antic.reward.vs.neutral_sem_subcort.aseg_cerebellum.white.matter.lh,tfmri_mid_all_anticrewardvsneutral_sem_subcortaseg_cerebellumwhitematterlh"
"tfmri_ma_arvn_smscs_crbcxlh","Float","","Recommended","Standard error of the mean for MID all anticipation of reward versus neutral contrast in ASEG ROI left-cerebellum-cortex","","","tfmri_mid_all_antic.reward.vs.neutral_sem_subcort.aseg_cerebellum.cortex.lh,tfmri_mid_all_anticrewardvsneutral_sem_subcortaseg_cerebellumcortexlh"
"tfmri_ma_arvn_smscs_tplh","Float","","Recommended","Standard error of the mean for MID all anticipation of reward versus neutral contrast in ASEG ROI left-thalamus-proper","","","tfmri_mid_all_antic.reward.vs.neutral_sem_subcort.aseg_thalamus.proper.lh,tfmri_mid_all_anticrewardvsneutral_sem_subcortaseg_thalamusproperlh"
"tfmri_ma_arvn_smscs_celh","Float","","Recommended","Standard error of the mean for MID all anticipation of reward versus neutral contrast in ASEG ROI left-caudate","","","tfmri_mid_all_antic.reward.vs.neutral_sem_subcort.aseg_caudate.lh,tfmri_mid_all_anticrewardvsneutral_sem_subcortaseg_caudatelh"
"tfmri_ma_arvn_smscs_ptlh","Float","","Recommended","Standard error of the mean for MID all anticipation of reward versus neutral contrast in ASEG ROI left-putamen","","","tfmri_mid_all_antic.reward.vs.neutral_sem_subcort.aseg_putamen.lh,tfmri_mid_all_anticrewardvsneutral_sem_subcortaseg_putamenlh"
"tfmri_ma_arvn_smscs_pdlh","Float","","Recommended","Standard error of the mean for MID all anticipation of reward versus neutral contrast in ASEG ROI left-pallidum","","","tfmri_mid_all_antic.reward.vs.neutral_sem_subcort.aseg_pallidum.lh,tfmri_mid_all_anticrewardvsneutral_sem_subcortaseg_pallidumlh"
"tfmri_ma_arvn_smscs_3rdvicle","Float","","Recommended","Standard error of the mean for MID all anticipation of reward versus neutral contrast in ASEG ROI 3rd-ventricle","","","tfmri_mid_all_antic.reward.vs.neutral_sem_subcort.aseg_3rd.ventricle,tfmri_mid_all_anticrewardvsneutral_sem_subcortaseg_3rdventricle"
"tfmri_ma_arvn_smscs_4thvicle","Float","","Recommended","Standard error of the mean for MID all anticipation of reward versus neutral contrast in ASEG ROI 4th-ventricle","","","tfmri_mid_all_antic.reward.vs.neutral_sem_subcort.aseg_4th.ventricle,tfmri_mid_all_anticrewardvsneutral_sem_subcortaseg_4thventricle"
"tfmri_ma_arvn_smscs_bs","Float","","Recommended","Standard error of the mean for MID all anticipation of reward versus neutral contrast in ASEG ROI brain-stem","","","tfmri_mid_all_antic.reward.vs.neutral_sem_subcort.aseg_brain.stem,tfmri_mid_all_anticrewardvsneutral_sem_subcortaseg_brainstem"
"tfmri_ma_arvn_smscs_hpuslh","Float","","Recommended","Standard error of the mean for MID all anticipation of reward versus neutral contrast in ASEG ROI left-hippocampus","","","tfmri_mid_all_antic.reward.vs.neutral_sem_subcort.aseg_hippocampus.lh,tfmri_mid_all_anticrewardvsneutral_sem_subcortaseg_hippocampuslh"
"tfmri_ma_arvn_smscs_aylh","Float","","Recommended","Standard error of the mean for MID all anticipation of reward versus neutral contrast in ASEG ROI left-amygdala","","","tfmri_mid_all_antic.reward.vs.neutral_sem_subcort.aseg_amygdala.lh,tfmri_mid_all_anticrewardvsneutral_sem_subcortaseg_amygdalalh"
"tfmri_ma_arvn_smscs_csf","Float","","Recommended","Standard error of the mean for MID all anticipation of reward versus neutral contrast in ASEG ROI csf","","","tfmri_mid_all_antic.reward.vs.neutral_sem_subcort.aseg_csf,tfmri_mid_all_anticrewardvsneutral_sem_subcortaseg_csf"
"tfmri_ma_arvn_smscs_aalh","Float","","Recommended","Standard error of the mean for MID all anticipation of reward versus neutral contrast in ASEG ROI left-accumbens-area","","","tfmri_mid_all_antic.reward.vs.neutral_sem_subcort.aseg_accumbens.area.lh,tfmri_mid_all_anticrewardvsneutral_sem_subcortaseg_accumbensarealh"
