"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"eventname","String","60","Required","The event name for which the data was collected","","",""
"tfmri_mid_run1_beta_visitid","String","60","Recommended","Visit name","","",""
"tfmri_mid_run1_beta_tr","Float","","Recommended","Pulse repetition time in seconds","","",""
"tfmri_mid_run1_beta_numtrs","Integer","","Recommended","Number of frames in acquisition","","","tfmri_mid_run1_beta_num.trs"
"tfmri_mid_run1_beta_dof","Integer","","Recommended","Degrees of freedom","","",""
"tfmri_mid_run1_beta_nvols","Integer","","Recommended","Number of frames after removing dummy frames","","",""
"tfmri_mr1_beta_stnvols","Integer","","Recommended","Number of frames with FD < 0.2","","","tfmri_mid_run1_beta_subthresh.nvols,tfmri_mid_run1_beta_subthreshnvols"
"tfmri_mr1_beta_mm","Float","","Recommended","Average framewise displacement in mm","","","tfmri_mid_run1_beta_mean.motion,tfmri_mid_run1_beta_meanmotion"
"tfmri_mr1_beta_maxmotion","Float","","Recommended","Maximum framewise displacement in mm","","","tfmri_mid_run1_beta_max.motion,tfmri_mid_run1_beta_maxmotion"
"tfmri_mr1_beta_meantrans","Float","","Recommended","Average framewise translation in mm","","","tfmri_mid_run1_beta_mean.trans,tfmri_mid_run1_beta_meantrans"
"tfmri_mid_run1_beta_maxtrans","Float","","Recommended","Maximum framewise translation in mm","","","tfmri_mid_run1_beta_max.trans"
"tfmri_mid_run1_beta_meanrot","Float","","Recommended","Average framewise rotation in radians","","","tfmri_mid_run1_beta_mean.rot"
"tfmri_mid_run1_beta_maxrot","Float","","Recommended","Maximum framewise rotation in radians","","","tfmri_mid_run1_beta_max.rot"
"tfmri_mr1_arvn_bscs_cbwmlh","Float","","Recommended","Beta weight for MID run1 anticipation of reward versus neutral contrast in ASEG ROI left-cerebral-white-matter","","","tfmri_mid_run1_antic.reward.vs.neutral_beta_subcort.aseg_cerebral.white.matter.lh,tfmri_mid_run1_anticrewardvsneutral_beta_subcortaseg_cerebralwhitematterlh"
"tfmri_mr1_arvn_bscs_lvelh","Float","","Recommended","Beta weight for MID run1 anticipation of reward versus neutral contrast in ASEG ROI left-lateral-ventricle","","","tfmri_mid_run1_antic.reward.vs.neutral_beta_subcort.aseg_lateral.ventricle.lh,tfmri_mid_run1_anticrewardvsneutral_beta_subcortaseg_lateralventriclelh"
"tfmri_mr1_arvn_bscs_iftvlh","Float","","Recommended","Beta weight for MID run1 anticipation of reward versus neutral contrast in ASEG ROI left-inf-lat-vent","","","tfmri_mid_run1_antic.reward.vs.neutral_beta_subcort.aseg_inf.lat.vent.lh,tfmri_mid_run1_anticrewardvsneutral_beta_subcortaseg_inflatventlh"
"tfmri_mr1_arvn_bscs_crbwmlh","Float","","Recommended","Beta weight for MID run1 anticipation of reward versus neutral contrast in ASEG ROI left-cerebellum-white-matter","","","tfmri_mid_run1_antic.reward.vs.neutral_beta_subcort.aseg_cerebellum.white.matter.lh,tfmri_mid_run1_anticrewardvsneutral_beta_subcortaseg_cerebellumwhitematterlh"
"tfmri_mr1_arvn_bscs_crbcxlh","Float","","Recommended","Beta weight for MID run1 anticipation of reward versus neutral contrast in ASEG ROI left-cerebellum-cortex","","","tfmri_mid_run1_antic.reward.vs.neutral_beta_subcort.aseg_cerebellum.cortex.lh,tfmri_mid_run1_anticrewardvsneutral_beta_subcortaseg_cerebellumcortexlh"
"tfmri_mr1_arvn_bscs_tplh","Float","","Recommended","Beta weight for MID run1 anticipation of reward versus neutral contrast in ASEG ROI left-thalamus-proper","","","tfmri_mid_run1_antic.reward.vs.neutral_beta_subcort.aseg_thalamus.proper.lh,tfmri_mid_run1_anticrewardvsneutral_beta_subcortaseg_thalamusproperlh"
"tfmri_mr1_arvn_bscs_ctelh","Float","","Recommended","Beta weight for MID run1 anticipation of reward versus neutral contrast in ASEG ROI left-caudate","","","tfmri_mid_run1_antic.reward.vs.neutral_beta_subcort.aseg_caudate.lh,tfmri_mid_run1_anticrewardvsneutral_beta_subcortaseg_caudatelh"
"tfmri_mr1_arvn_bscs_pulh","Float","","Recommended","Beta weight for MID run1 anticipation of reward versus neutral contrast in ASEG ROI left-putamen","","","tfmri_mid_run1_antic.reward.vs.neutral_beta_subcort.aseg_putamen.lh,tfmri_mid_run1_anticrewardvsneutral_beta_subcortaseg_putamenlh"
"tfmri_mr1_arvn_bscs_pdlh","Float","","Recommended","Beta weight for MID run1 anticipation of reward versus neutral contrast in ASEG ROI left-pallidum","","","tfmri_mid_run1_antic.reward.vs.neutral_beta_subcort.aseg_pallidum.lh,tfmri_mid_run1_anticrewardvsneutral_beta_subcortaseg_pallidumlh"
"tfmri_mr1_arvn_bscs_3rdvicle","Float","","Recommended","Beta weight for MID run1 anticipation of reward versus neutral contrast in ASEG ROI 3rd-ventricle","","","tfmri_mid_run1_antic.reward.vs.neutral_beta_subcort.aseg_3rd.ventricle,tfmri_mid_run1_anticrewardvsneutral_beta_subcortaseg_3rdventricle"
"tfmri_mr1_arvn_bscs_4thvicle","Float","","Recommended","Beta weight for MID run1 anticipation of reward versus neutral contrast in ASEG ROI 4th-ventricle","","","tfmri_mid_run1_antic.reward.vs.neutral_beta_subcort.aseg_4th.ventricle,tfmri_mid_run1_anticrewardvsneutral_beta_subcortaseg_4thventricle"
"tfmri_mr1_arvn_bscs_bs","Float","","Recommended","Beta weight for MID run1 anticipation of reward versus neutral contrast in ASEG ROI brain-stem","","","tfmri_mid_run1_antic.reward.vs.neutral_beta_subcort.aseg_brain.stem,tfmri_mid_run1_anticrewardvsneutral_beta_subcortaseg_brainstem"
"tfmri_mr1_arvn_bscs_hpuslh","Float","","Recommended","Beta weight for MID run1 anticipation of reward versus neutral contrast in ASEG ROI left-hippocampus","","","tfmri_mid_run1_antic.reward.vs.neutral_beta_subcort.aseg_hippocampus.lh,tfmri_mid_run1_anticrewardvsneutral_beta_subcortaseg_hippocampuslh"
"tfmri_mr1_arvn_bscs_aylh","Float","","Recommended","Beta weight for MID run1 anticipation of reward versus neutral contrast in ASEG ROI left-amygdala","","","tfmri_mid_run1_antic.reward.vs.neutral_beta_subcort.aseg_amygdala.lh,tfmri_mid_run1_anticrewardvsneutral_beta_subcortaseg_amygdalalh"
"tfmri_mr1_arvn_bscs_csf","Float","","Recommended","Beta weight for MID run1 anticipation of reward versus neutral contrast in ASEG ROI csf","","","tfmri_mid_run1_antic.reward.vs.neutral_beta_subcort.aseg_csf,tfmri_mid_run1_anticrewardvsneutral_beta_subcortaseg_csf"
