"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"eventname","String","60","Required","The event name for which the data was collected","","",""
"tfmri_mid_run2_sem_visitid","String","60","Recommended","Visit name","","",""
"tfmri_mid_run2_sem_tr","Float","","Recommended","Pulse repetition time in seconds","","",""
"tfmri_mid_run2_sem_numtrs","Integer","","Recommended","Number of frames in acquisition","","","tfmri_mid_run2_sem_num.trs"
"tfmri_mid_run2_sem_dof","Integer","","Recommended","Degrees of freedom","","",""
"tfmri_mid_run2_sem_nvols","Integer","","Recommended","Number of frames after removing dummy frames","","",""
"tfmri_mid_run2_sem_sthvols","Integer","","Recommended","Number of frames with FD < 0.2","","","tfmri_mid_run2_sem_subthresh.nvols,tfmri_mid_run2_sem_subthreshnvols"
"tfmri_mid_run2_sem_mm","Float","","Recommended","Average framewise displacement in mm","","","tfmri_mid_run2_sem_mean.motion,tfmri_mid_run2_sem_meanmotion"
"tfmri_mid_run2_sem_maxmotion","Float","","Recommended","Maximum framewise displacement in mm","","","tfmri_mid_run2_sem_max.motion"
"tfmri_mid_run2_sem_meantrans","Float","","Recommended","Average framewise translation in mm","","","tfmri_mid_run2_sem_mean.trans"
"tfmri_mid_run2_sem_maxtrans","Float","","Recommended","Maximum framewise translation in mm","","","tfmri_mid_run2_sem_max.trans"
"tfmri_mid_run2_sem_meanrot","Float","","Recommended","Average framewise rotation in radians","","","tfmri_mid_run2_sem_mean.rot"
"tfmri_mid_run2_sem_maxrot","Float","","Recommended","Maximum framewise rotation in radians","","","tfmri_mid_run2_sem_max.rot"
"tfmrimr2_1","Float","","Recommended","Standard error of the mean for MID run2 anticipation of reward versus neutral contrast in ASEG ROI left-cerebral-white-matter","","","tfmri_mid_run2_antic.reward.vs.neutral_sem_subcort.aseg_cerebral.white.matter.lh,tfmri_mid_run2_anticrewardvsneutral_sem_subcortaseg_cerebralwhitematterlh"
"tfmrimr2_2","Float","","Recommended","Standard error of the mean for MID run2 anticipation of reward versus neutral contrast in ASEG ROI left-lateral-ventricle","","","tfmri_mid_run2_antic.reward.vs.neutral_sem_subcort.aseg_lateral.ventricle.lh,tfmri_mid_run2_anticrewardvsneutral_sem_subcortaseg_lateralventriclelh"
"tfmrimr2_3","Float","","Recommended","Standard error of the mean for MID run2 anticipation of reward versus neutral contrast in ASEG ROI left-inf-lat-vent","","","tfmri_mid_run2_antic.reward.vs.neutral_sem_subcort.aseg_inf.lat.vent.lh,tfmri_mid_run2_anticrewardvsneutral_sem_subcortaseg_inflatventlh"
"tfmrimr2_4","Float","","Recommended","Standard error of the mean for MID run2 anticipation of reward versus neutral contrast in ASEG ROI left-cerebellum-white-matter","","","tfmri_mid_run2_antic.reward.vs.neutral_sem_subcort.aseg_cerebellum.white.matter.lh,tfmri_mid_run2_anticrewardvsneutral_sem_subcortaseg_cerebellumwhitematterlh"
"tfmrimr2_5","Float","","Recommended","Standard error of the mean for MID run2 anticipation of reward versus neutral contrast in ASEG ROI left-cerebellum-cortex","","","tfmri_mid_run2_antic.reward.vs.neutral_sem_subcort.aseg_cerebellum.cortex.lh,tfmri_mid_run2_anticrewardvsneutral_sem_subcortaseg_cerebellumcortexlh"
"tfmrimr2_6","Float","","Recommended","Standard error of the mean for MID run2 anticipation of reward versus neutral contrast in ASEG ROI left-thalamus-proper","","","tfmri_mid_run2_antic.reward.vs.neutral_sem_subcort.aseg_thalamus.proper.lh,tfmri_mid_run2_anticrewardvsneutral_sem_subcortaseg_thalamusproperlh"
"tfmrimr2_7","Float","","Recommended","Standard error of the mean for MID run2 anticipation of reward versus neutral contrast in ASEG ROI left-caudate","","","tfmri_mid_run2_antic.reward.vs.neutral_sem_subcort.aseg_caudate.lh,tfmri_mid_run2_anticrewardvsneutral_sem_subcortaseg_caudatelh"
"tfmrimr2_8","Float","","Recommended","Standard error of the mean for MID run2 anticipation of reward versus neutral contrast in ASEG ROI left-putamen","","","tfmri_mid_run2_antic.reward.vs.neutral_sem_subcort.aseg_putamen.lh,tfmri_mid_run2_anticrewardvsneutral_sem_subcortaseg_putamenlh"
"tfmrimr2_9","Float","","Recommended","Standard error of the mean for MID run2 anticipation of reward versus neutral contrast in ASEG ROI left-pallidum","","","tfmri_mid_run2_antic.reward.vs.neutral_sem_subcort.aseg_pallidum.lh,tfmri_mid_run2_anticrewardvsneutral_sem_subcortaseg_pallidumlh"
"tfmrimr2_10","Float","","Recommended","Standard error of the mean for MID run2 anticipation of reward versus neutral contrast in ASEG ROI 3rd-ventricle","","","tfmri_mid_run2_antic.reward.vs.neutral_sem_subcort.aseg_3rd.ventricle,tfmri_mid_run2_anticrewardvsneutral_sem_subcortaseg_3rdventricle"
"tfmrimr2_11","Float","","Recommended","Standard error of the mean for MID run2 anticipation of reward versus neutral contrast in ASEG ROI 4th-ventricle","","","tfmri_mid_run2_antic.reward.vs.neutral_sem_subcort.aseg_4th.ventricle,tfmri_mid_run2_anticrewardvsneutral_sem_subcortaseg_4thventricle"
"tfmrimr2_12","Float","","Recommended","Standard error of the mean for MID run2 anticipation of reward versus neutral contrast in ASEG ROI brain-stem","","","tfmri_mid_run2_antic.reward.vs.neutral_sem_subcort.aseg_brain.stem,tfmri_mid_run2_anticrewardvsneutral_sem_subcortaseg_brainstem"
"tfmrimr2_13","Float","","Recommended","Standard error of the mean for MID run2 anticipation of reward versus neutral contrast in ASEG ROI left-hippocampus","","","tfmri_mid_run2_antic.reward.vs.neutral_sem_subcort.aseg_hippocampus.lh,tfmri_mid_run2_anticrewardvsneutral_sem_subcortaseg_hippocampuslh"
"tfmrimr2_14","Float","","Recommended","Standard error of the mean for MID run2 anticipation of reward versus neutral contrast in ASEG ROI left-amygdala","","","tfmri_mid_run2_antic.reward.vs.neutral_sem_subcort.aseg_amygdala.lh,tfmri_mid_run2_anticrewardvsneutral_sem_subcortaseg_amygdalalh"
"tfmrimr2_15","Float","","Recommended","Standard error of the mean for MID run2 anticipation of reward versus neutral contrast in ASEG ROI csf","","","tfmri_mid_run2_antic.reward.vs.neutral_sem_subcort.aseg_csf,tfmri_mid_run2_anticrewardvsneutral_sem_subcortaseg_csf"
"tfmrimr2_16","Float","","Recommended","Standard error of the mean for MID run2 anticipation of reward versus neutral contrast in ASEG ROI left-accumbens-area","","","tfmri_mid_run2_antic.reward.vs.neutral_sem_subcort.aseg_accumbens.area.lh,tfmri_mid_run2_anticrewardvsneutral_sem_subcortaseg_accumbensarealh"
