"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"eventname","String","60","Required","The event name for which the data was collected","","",""
"mri_info_visitid","String","60","Recommended","Visit name","","",""
"mri_info_manufacturer","String","60","Recommended","Imaging device manufacturer","","",""
"mri_info_manufacturersmn","String","60","Recommended","Imaging device manufacturer's model name","","","mri_info_manufacturers.model.name,mri_info_manufacturersmodelname"
"mri_info_deviceserialnumber","String","60","Recommended","Hashed version of imaging device serial number","","","mri_info_device.serial.number"
"mri_info_magneticfieldstrength","Float","","Recommended","Magnetic field strength of imaging device in teslas","","","mri_info_magnetic.field.strength"
"mri_info_softwareversion","String","200","Recommended","Imaging device software version","","","mri_info_software.version"
"mri_info_studydate","Date","","Recommended","Date associated with MRI scans","","",""
