"ElementName","DataType","Size","Required","Condition","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"eventname","String","60","Required","","The event name for which the data was collected","","",""
"mtpo_start_time","Date","","Recommended","","Time of page loads","","","mobil_pilot_post_start_time"
"mtpo_1_wkdy","String","250","Recommended","","On a typical WEEKDAY (Monday- Friday), how much TIME per day do you spend in TOTAL on a computer, cell phone, tablet, iPod, or other electronic device? 

Please do NOT include time spent on school related work, but do include watching TV, shows or videos, texting or chatting, playing games, or visiting social networking sites (Facebook, Twitter, Instagram).

For example, if on a typical weekday, total screen time equals 2 hours/day, you would enter 2"" for hours and ""0"" for minutes.""","","","mobil_pilot_post_1_wkdy"
"mtpo_1_wkdy_hrs","Integer","","Recommended","","Hours:","0 :: 23","0=0; 1=1; 2=2; 3=3; 4=4; 5=5; 6=6; 7=7; 8=8; 9=9; 10=10; 11=11; 12=12; 13=13; 14=14; 15=15; 16=16; 17=17; 18=18; 19=19; 20=20; 21=21; 22=22; 23=23","mobil_pilot_post_1_wkdy_hrs"
"mtpo_1_wkdy_mins","Integer","","Recommended","","Minutes:","0 ; 15 ; 30 ; 45","0=0; 15=15; 30=30; 45=45","mobil_pilot_post_1_wkdy_mins"
"mtpo_2_wknd","String","250","Recommended","","On a typical WEEKEND DAY (Saturday-Sunday), how much TIME per day do you spend in TOTAL on a computer, cellphone, tablet, iPod, or other electronic device?

Please do NOT include time spent on school related work, but do include watching TV, shows or videos, texting or chatting, playing games, or visiting social networking sites (Facebook, Twitter, Instagram).","","","mobil_pilot_post_2_wknd"
"mtpo_2_wknd_hrs","Integer","","Recommended","","Hours:","0 :: 23","0=0; 1=1; 2=2; 3=3; 4=4; 5=5; 6=6; 7=7; 8=8; 9=9; 10=10; 11=11; 12=12; 13=13; 14=14; 15=15; 16=16; 17=17; 18=18; 19=19; 20=20; 21=21; 22=22; 23=23","mobil_pilot_post_2_wknd_hrs"
"mtpo_2_wknd_mins","Integer","","Recommended","","Minutes:","0 ; 15 ; 30 ; 45","0=0; 15=15; 30=30; 45=45","mobil_pilot_post_2_wknd_mins"
"mtpo_3_wkdy","String","250","Recommended","","How much of ___ (total time estimate for weekday) do you spend on a mobile device specifically?","","","mobil_pilot_post_3_wkdy"
"mtpo_3_wkdy_hrs","Integer","","Recommended","","Hours:","0 :: 23","0=0; 1=1; 2=2; 3=3; 4=4; 5=5; 6=6; 7=7; 8=8; 9=9; 10=10; 11=11; 12=12; 13=13; 14=14; 15=15; 16=16; 17=17; 18=18; 19=19; 20=20; 21=21; 22=22; 23=23","mobil_pilot_post_3_wkdy_hrs"
"mtpo_3_wkdy_mins","Integer","","Recommended","","Minutes:","0 ; 15 ; 30 ; 45","0=0; 15=15; 30=30; 45=45","mobil_pilot_post_3_wkdy_mins"
"mtpo_4_total_wknd","String","250","Recommended","","How much of ___ (total time estimate for weekend) do you spend on a mobile device specifically?","","","mobil_pilot_post_4_total_wknd"
"mtpo_4_total_wknd_hrs","Integer","","Recommended","","Hours:","0 :: 23","0=0; 1=1; 2=2; 3=3; 4=4; 5=5; 6=6; 7=7; 8=8; 9=9; 10=10; 11=11; 12=12; 13=13; 14=14; 15=15; 16=16; 17=17; 18=18; 19=19; 20=20; 21=21; 22=22; 23=23","mobil_pilot_post_4_total_wknd_hrs"
"mtpo_4_total_wknd_mins","Integer","","Recommended","","Minutes:","0 ; 15 ; 30 ; 45","0=0; 15=15; 30=30; 45=45","mobil_pilot_post_4_total_wknd_mins"
"mtpo_5","Integer","","Recommended","","In your opinion, compared to other boys/girls your age, how much do you use your mobile device?","1 :: 5","1=Much less; 2=A little less; 3=About the same; 4=A little more; 5=Much more","mobil_pilot_post_5"
"mtpo_6","Integer","","Recommended","","In your opinion, do you do think the amount of time you spend on your device is healthy?","1 ; 0","1=Yes; 0=No","mobil_pilot_post_6"
"mtpo_peer_percept_1","Integer","","Recommended","","Did you tell your friends about the device monitoring applications?","1 ; 0 ; 999 ; 777","1=Yes; 0=No; 999=Don't Know; 777=Refuse to Answer","mobil_pilot_post_peer_percept_1"
"mtpo_peer_percept_2","Integer","","Recommended","mtpo_peer_percept_1 == 1","How comfortable were you discussing the applications in front of your friends?","1 ; 2 ; 3 ; 999 ; 777","1=Not comfortable; 2=Kind of comfortable; 3=Very comfortable; 999=Don't Know; 777=Refuse to Answer","mobil_pilot_post_peer_percept_2"
"mtpo_peer_percept_3","Integer","","Recommended","mtpo_peer_percept_1 == 1","How interested were your friends in the applications?","1::3; 777; 999","1=Not interested; 2=Kind of interested; 3=Very interested; 999=Don't Know; 777=Refuse to Answer","mobil_pilot_post_peer_percept_3"
"mtpo_peer_percept_4","Integer","","Recommended","mtpo_peer_percept_1 == 1","How good or bad were their comments about the applications?","1 ; 2 ; 3 ; 999 ; 777","1=Negative; 2=Not negative or positive; 3=Positive; 999=Don't Know; 777=Refuse to Answer","mobil_pilot_post_peer_percept_4"
"mtpo_study_1","Integer","","Recommended","","Were there any days during the past 4 weeks that you did not use your mobile device?","1 ; 0","1=Yes; 0=No","mobil_pilot_post_study_1"
"mtpo_study_2","Integer","","Recommended","mtpo_study_1 == 1","How many?","","","mobil_pilot_post_study_2"
"mtpo_study_3","Integer","","Recommended","","Did anyone else use your mobile device over the past 4 weeks?","1 ; 0","1=Yes; 0=No","mobil_pilot_post_study_3"
"mtpo_study_4","Integer","","Recommended","mtpo_study_3 == 1","What percentage of time did someone else use your device?","0 :: 3","0=10% or less; 1=10-25%; 2=25-50%; 3=Greater than 50%","mobil_pilot_post_study_4"
"mtpo_study_5","Integer","","Recommended","","How much did you change how you used your mobile device while having the applications on your device?","0 :: 2","0=A lot; 1=A little; 2=Not at all","mobil_pilot_post_study_5"
"mtpo_iua_1","Integer","","Recommended","","I thought the applications were too obvious on my device","1 :: 5","1=Strongly agree; 2=Somewhat Agree; 3=Neutral; 4=Somewhat Disagree; 5=Strongly Disagree","mobil_pilot_post_iua_1"
"mtpo_iua_2","Integer","","Recommended","","I forgot the applications were on my device","1 :: 5","1=Strongly agree; 2=Somewhat Agree; 3=Neutral; 4=Somewhat Disagree; 5=Strongly Disagree","mobil_pilot_post_iua_2"
"mtpo_iua_3","Integer","","Recommended","","I think the applications made my battery drain faster","1 :: 5","1=Strongly agree; 2=Somewhat Agree; 3=Neutral; 4=Somewhat Disagree; 5=Strongly Disagree","mobil_pilot_post_iua_3"
"mtpo_iua_4","Integer","","Recommended","","I think the applications used up too much of my data","1 :: 5","1=Strongly agree; 2=Somewhat Agree; 3=Neutral; 4=Somewhat Disagree; 5=Strongly Disagree","mobil_pilot_post_iua_4"
