"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"eventname","String","60","Required","The event name for which the data was collected","","",""
"mt_pilot_vib_pguid","String","20","Recommended","Participant ID","","","mobil_pilot_vibrent_pguid"
"mt_pilot_vib_device","String","60","Recommended","Type of device","","","mobil_pilot_vibrent_device"
"mt_pilot_vib_os","String","30","Recommended","Device operating system","","","mobil_pilot_vibrent_os"
"mt_pilot_vib_phonecall_total","Integer","","Recommended","Total time (minutes) used for a standard phone call","","","mobil_pilot_vibrent_phonecall_total"
"mt_pilot_vib_usage_tot","Integer","","Recommended","Total time (minutes) applications in use","","","mobil_pilot_vibrent_appusage_total"
"mt_pilot_vib_usage_wkday_tot","Integer","","Recommended","Total time (minutes) applications in use on a weekday","","","mobil_pilot_vibrent_appusage_wkday_total"
"mt_pilot_vib_usage_wkend_tot","Integer","","Recommended","Total time (minutes) applications in use on a weekend","","","mobil_pilot_vibrent_appusage_wkend_total"
"mt_pilot_vib_screenon_total","Integer","","Recommended","Total time (minutes) the screen is on","","","mobil_pilot_vibrent_screenon_total"
"mt_pilot_vib_lengthdays","Integer","","Recommended","Total number of days of data collected","","","mobil_pilot_vibrent_lengthdays"
"mt_pilot_vib_lastupload_date","String","60","Recommended","Last Uploaded (yyyy:mm:dd ::hh:mm)","","","mobil_pilot_vibrent_lastupload_date"
"mt_pilot_vib_dataused_mb","Float","","Recommended","Data used by Vibrent app","","","mobil_pilot_vibrent_dataused_mb"
"mt_pilot_vib_inccalls","Integer","","Recommended","Amount of time (minutes) used on calls that were received","","","mobil_pilot_vibrent_inccalls"
"mt_pilot_vib_outgocalls","Integer","","Recommended","Amount of time (minutes) used on calls the participant made","","","mobil_pilot_vibrent_outgocalls"
"mt_pilot_vib_youtube","Integer","","Recommended","Total minutes using Youtube","","","mobil_pilot_vibrent_youtube"
"mt_pilot_vib_game","Integer","","Recommended","App category: Gaming (a composite of gaming categories (e.g., Action; Arcade) compiled by Vibrent). Total minutes","","","mobil_pilot_vibrent_game"
"mt_pilot_vib_socialcomm","Integer","","Recommended","App category: social & communication (as labeled by Google Playstore). Total minutes","","","mobil_pilot_vibrent_socialcomm"
"mt_pilot_vib_streaming","Integer","","Recommended","App category: streaming (as labeled by Google Playstore). Total minutes","","","mobil_pilot_vibrent_streaming"
"mt_pilot_vib_productivity","Integer","","Recommended","App category: productivity (as labeled by Google Playstore). Total minutes","","","mobil_pilot_vibrent_productivity"
"mt_pilot_vib_weather","Integer","","Recommended","App category: weather (as labeled by Google Playstore). Total minutes","","","mobil_pilot_vibrent_weather"
"mt_pilot_vib_daydream","Integer","","Recommended","App category: daydream (as labeled by Google Playstore). Total minutes","","","mobil_pilot_vibrent_daydream"
"mt_pilot_vib_artdesign","Integer","","Recommended","App category: art & design (as labeled by Google Playstore). Total minutes","","","mobil_pilot_vibrent_artdesign"
"mt_pilot_vib_vehicles","Integer","","Recommended","App category: auto & vehicles (as labeled by Google Playstore). Total minutes","","","mobil_pilot_vibrent_vehicles"
"mt_pilot_vib_beauty","Integer","","Recommended","App category: beauty (as labeled by Google Playstore). Total minutes","","","mobil_pilot_vibrent_beauty"
"mt_pilot_vib_books","Integer","","Recommended","App category: books & reference (as labeled by Google Playstore). Total minutes","","","mobil_pilot_vibrent_books"
"mt_pilot_vib_business","Integer","","Recommended","App category: business (as labeled by Google Playstore). Total minutes","","","mobil_pilot_vibrent_business"
"mt_pilot_vib_comics","Integer","","Recommended","App category: comics (as labeled by Google Playstore). Total minutes","","","mobil_pilot_vibrent_comics"
"mt_pilot_vib_communication","Integer","","Recommended","App category: communication (as labeled by Google Playstore). Total minutes","","","mobil_pilot_vibrent_communication"
"mt_pilot_vib_dating","Integer","","Recommended","App category: dating (as labeled by Google Playstore). Total minutes","","","mobil_pilot_vibrent_dating"
"mt_pilot_vib_education","Integer","","Recommended","App category: education (as labeled by Google Playstore). Total minutes","","","mobil_pilot_vibrent_education"
"mt_pilot_vib_entertainment","Integer","","Recommended","App category: entertainment (as labeled by Google Playstore). Total minutes","","","mobil_pilot_vibrent_entertainment"
"mt_pilot_vib_events","Integer","","Recommended","App category: events (as labeled by Google Playstore). Total minutes","","","mobil_pilot_vibrent_events"
"mt_pilot_vib_finance","Integer","","Recommended","App category: finance (as labeled by Google Playstore). Total minutes","","","mobil_pilot_vibrent_finance"
"mt_pilot_vib_food","Integer","","Recommended","App category: food & drink (as labeled by Google Playstore). Total minutes","","","mobil_pilot_vibrent_food"
"mt_pilot_vib_healthfitness","Integer","","Recommended","App category: health & fitness (as labeled by Google Playstore). Total minutes","","","mobil_pilot_vibrent_healthfitness"
"mt_pilot_vib_house","Integer","","Recommended","App category: house & home (as labeled by Google Playstore). Total minutes","","","mobil_pilot_vibrent_house"
"mt_pilot_vib_libraries","Integer","","Recommended","App category: libraries & demo (as labeled by Google Playstore). Total minutes","","","mobil_pilot_vibrent_libraries"
"mt_pilot_vib_lifestyle","Integer","","Recommended","App category: lifestyle (as labeled by Google Playstore). Total minutes","","","mobil_pilot_vibrent_lifestyle"
"mt_pilot_vib_maps","Integer","","Recommended","App category: maps & navigation (as labeled by Google Playstore). Total minutes","","","mobil_pilot_vibrent_maps"
"mt_pilot_vib_medical","Integer","","Recommended","App category: medical (as labeled by Google Playstore). Total minutes","","","mobil_pilot_vibrent_medical"
"mt_pilot_vib_musicaudio","Integer","","Recommended","App category: music & audio (as labeled by Google Playstore). Total minutes","","","mobil_pilot_vibrent_musicaudio"
"mt_pilot_vib_news","Integer","","Recommended","App category: news & magazine (as labeled by Google Playstore). Total minutes","","","mobil_pilot_vibrent_news"
"mt_pilot_vib_parenting","Integer","","Recommended","App category: parenting (as labeled by Google Playstore). Total minutes","","","mobil_pilot_vibrent_parenting"
"mt_pilot_vib_personalisation","Integer","","Recommended","App category: personalisation (as labeled by Google Playstore). Total minutes","","","mobil_pilot_vibrent_personalisation"
"mt_pilot_vib_photo","Integer","","Recommended","App category: photography (as labeled by Google Playstore). Total minutes","","","mobil_pilot_vibrent_photo"
"mt_pilot_vib_shopping","Integer","","Recommended","App category: shopping (as labeled by Google Playstore). Total minutes","","","mobil_pilot_vibrent_shopping"
"mt_pilot_vib_social","Integer","","Recommended","App category: social (as labeled by Google Playstore). Total minutes","","","mobil_pilot_vibrent_social"
"mt_pilot_vib_sports","Integer","","Recommended","App category: sports (as labeled by Google Playstore). Total minutes","","","mobil_pilot_vibrent_sports"
"mt_pilot_vib_tools","Integer","","Recommended","App category: tool (as labeled by Google Playstore). Total minutes","","","mobil_pilot_vibrent_tools"
