"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"eventname","String","60","Required","The event name for which the data was collected","","",""
"pbp_athletes","Integer","","Recommended","Are athletes","1::5;999","1=None or almost none;  2=A few;  3=Half;  4=Most;  5=All or almost all;  999=Don't know","peer_behav_athletes"
"pbp_skip_school","Integer","","Recommended","Have skipped school","1::5;999","1=None or almost none;  2=A few;  3=Half;  4=Most;  5=All or almost all;  999=Don't know","peer_behav_skip_school"
"pbp_church","Integer","","Recommended","Go to church once a month or more often","1::5;999","1=None or almost none;  2=A few;  3=Half;  4=Most;  5=All or almost all;  999=Don't know","peer_behav_church"
"pbp_suspended","Integer","","Recommended","Have been suspended from school","1::5;999","1=None or almost none;  2=A few;  3=Half;  4=Most;  5=All or almost all;  999=Don't know","peer_behav_suspended"
"pbp_good_student","Integer","","Recommended","Are excellent students (GPA 3.5 [B+] or higher)","1::5;999","1=None or almost none;  2=A few;  3=Half;  4=Most;  5=All or almost all;  999=Don't know","peer_behav_good_student"
"pbp_shoplifted","Integer","","Recommended","Have shoplifted occasionally","1::5;999","1=None or almost none;  2=A few;  3=Half;  4=Most;  5=All or almost all;  999=Don't know","peer_behav_shoplifted"
"pbp_admin","Integer","","Recommended","Please indicate how instrument was administered:","1::3","1=RA-Administered ; 2=Youth Self-Administered ; 3=Combination [event_name_number] > '21'",""
