"ElementName","DataType","Size","Required","Condition","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","","Subject ID how it's defined in lab/project","","",""
"interview_age","Integer","","Required","","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"interview_date","Date","","Required","","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"sex","String","20","Required","","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"eventname","String","60","Recommended","","The event name for which the data was collected","","",""
"ple_p_select_language___1","Integer","","Recommended","","¿Español? (1, Sí)","0 ; 1","0 = No; 1 = Yes","life_events_phenx_select_language,life_events_phenx_select_language_p,ple_p_select_language_p___1"
"ple_died_p","Integer","","Recommended","","Someone in family died? ¿Alguien en la familia murió?","1 ; 0","1 = Yes Si; 0 = No No","life_events_phenx_died_p"
"ple_died_past_yr_p","Integer","","Recommended"," ple_died_p   == '1'","Did this happen in the past year? ¿Esto ha sucedido en el último año?","1 ; 0","1 = Yes Si; 0 = No No","life_events_phenx_died_past_yr_p"
"ple_died_fu_p","Integer","","Recommended"," ple_died_p   == '1'","Was this a good or bad experience for your child? ¿Esto fue una buena o mala experiencia para su niño(a)?","1 ; 2 ; 6 ; 7","1 = Mostly good Principalmente bueno; 2 = Mostly bad Principalmente malo; 6 = Not applicable No aplicable; 7 = Don't know No sé","life_events_phenx_died_fu_p"
"ple_died_fu2_p","Integer","","Recommended"," ple_died_p   == '1'","How much did the event affect your child? ¿Cuánto afectó el evento a su niño(a)?","0 ; 1 ; 2 ; 3","0 = Not at All Para nada; 1 = A Little Un poco; 2 = Some Algo; 3 = A lot Mucho","life_events_phenx_died_fu2_p"
"ple_injured_p","Integer","","Recommended","","Family member was seriously injured? ¿Un miembro de la familia ha sido gravemente herido?","1 ; 0","1 = Yes Si; 0 = No No","life_events_phenx_injured_p"
"ple_injur_p_p","Integer","","Recommended"," ple_injured_p   == '1'","Did this happen in the past year? ¿Esto ha sucedido en el último año?","1 ; 0","1 = Yes Si; 0 = No No","life_events_injured_past_yr_p,life_events_phenx_injured_past_yr_p"
"ple_injured_fu_p","Integer","","Recommended"," ple_injured_p   == '1'","Was this a good or bad experience for your child? ¿Esto fue una buena o mala experiencia para su niño(a)?","1 ; 2 ; 6 ; 7","1 = Mostly good Principalmente bueno; 2 = Mostly bad Principalmente malo; 6 = Not applicable No aplicable; 7 = Don't know No sé","life_events_phenx_injured_fu_p"
"ple_injured_fu2_p","Integer","","Recommended"," ple_injured_p   == '1'","How much did the event affect your child? ¿Cuánto afectó el evento a su niño(a)?","0 ; 1 ; 2 ; 3","0 = Not at All Para nada; 1 = A Little Un poco; 2 = Some Algo; 3 = A lot Mucho","life_events_phenx_injured_fu2_p"
"ple_crime_p","Integer","","Recommended","","Saw crime or accident? ¿Vió un crimen o un accidente?","1 ; 0","1 = Yes Si; 0 = No No","life_events_phenx_crime_p"
"ple_crime_past_yr_p","Integer","","Recommended"," ple_crime_p   == '1'","Did this happen in the past year? ¿Esto ha sucedido en el último año?","1 ; 0","1 = Yes Si; 0 = No No","life_events_phenx_crime_past_yr_p"
"ple_crime_fu_p","Integer","","Recommended"," ple_crime_p   == '1'","Was this a good or bad experience for your child? ¿Esto fue una buena o mala experiencia para su niño(a)?","1 ; 2 ; 6 ; 7","1 = Mostly good Principalmente bueno; 2 = Mostly bad Principalmente malo; 6 = Not applicable No aplicable; 7 = Don't know No sé","life_events_phenx_crime_fu_p"
"ple_crime_fu2_p","Integer","","Recommended"," ple_crime_p   == '1'","How much did the event affect your child? ¿Cuánto afectó el evento a su niño(a)?","0 ; 1 ; 2 ; 3","0 = Not at All Para nada; 1 = A Little Un poco; 2 = Some Algo; 3 = A lot Mucho","life_events_phenx_crime_fu2_p"
"ple_friend_p","Integer","","Recommended","","Lost a close friend? ¿Perdió a un amigo cercano?","1 ; 0","1 = Yes Si; 0 = No No","life_events_phenx_friend_p"
"ple_friend_past_yr_p","Integer","","Recommended"," ple_friend_p   == '1'","Did this happen in the past year? ¿Esto ha sucedido en el último año?","1 ; 0","1 = Yes Si; 0 = No No","life_events_phenx_friend_past_yr_p"
"ple_friend_fu_p","Integer","","Recommended"," ple_friend_p   == '1'","Was this a good or bad experience for your child? ¿Esto fue una buena o mala experiencia para su niño(a)?","1 ; 2 ; 6 ; 7","1 = Mostly good Principalmente bueno; 2 = Mostly bad Principalmente malo; 6 = Not applicable No aplicable; 7 = Don't know No sé","life_events_phenx_friend_fu_p"
"ple_friend_fu2_p","Integer","","Recommended"," ple_friend_p   == '1'","How much did the event affect your child? ¿Cuánto afectó el evento a su niño(a)?","0 ; 1 ; 2 ; 3","0 = Not at All Para nada; 1 = A Little Un poco; 2 = Some Algo; 3 = A lot Mucho","life_events_phenx_friend_fu2_p"
"ple_friend_injur_p","Integer","","Recommended","","Close friend was seriously sick/injured? ¿Un amigo cercano estaba gravemente enfermo / herido?","1 ; 0","1 = Yes Si; 0 = No No","life_events_phenx_friend_injur_p"
"ple_friend_injur_past_yr_p","Integer","","Recommended"," ple_friend_injur_p   == '1'","Did this happen in the past year? ¿Esto ha sucedido en el último año?","1 ; 0","1 = Yes Si; 0 = No No","life_events_phenx_friend_injur_past_yr_p"
"ple_friend_injur_fu_p","Integer","","Recommended"," ple_friend_injur_p   == '1'","Was this a good or bad experience for your child? ¿Esto fue una buena o mala experiencia para su niño(a)?","1 ; 2 ; 6 ; 7","1 = Mostly good Principalmente bueno; 2 = Mostly bad Principalmente malo; 6 = Not applicable No aplicable; 7 = Don't know No sé","life_events_phenx_friend_injur_fu_p"
"ple_friend_injur_fu2_p","Integer","","Recommended"," ple_friend_injur_p   == '1'","How much did the event affect your child? ¿Cuánto afectó el evento a su niño(a)?","0 ; 1 ; 2 ; 3","0 = Not at All Para nada; 1 = A Little Un poco; 2 = Some Algo; 3 = A lot Mucho","life_events_phenx_friend_injur_fu2_p"
"ple_financial_p","Integer","","Recommended","","Negative change in parent's financial situation? ¿Un cambio negativo en la situación financiera de los padres?","1 ; 0","1 = Yes Si; 0 = No No","life_events_phenx_financial_p"
"ple_financial_past_yr_p","Integer","","Recommended"," ple_financial_p   == '1'","Did this happen in the past year? ¿Esto ha sucedido en el último año?","1 ; 0","1 = Yes Si; 0 = No No","life_events_phenx_financial_past_yr_p"
"ple_financial_fu_p","Integer","","Recommended"," ple_financial_p   == '1'","Was this a good or bad experience for your child? ¿Esto fue una buena o mala experiencia para su niño(a)?","1 ; 2 ; 6 ; 7","1 = Mostly good Principalmente bueno; 2 = Mostly bad Principalmente malo; 6 = Not applicable No aplicable; 7 = Don't know No sé","life_events_phenx_financial_fu_p"
"ple_financial_fu2_p","Integer","","Recommended"," ple_financial_p   == '1'","How much did the event affect your child? ¿Cuánto afectó el evento a su niño(a)?","0 ; 1 ; 2 ; 3","0 = Not at All Para nada; 1 = A Little Un poco; 2 = Some Algo; 3 = A lot Mucho","life_events_phenx_financial_fu2_p"
