"ElementName","DataType","Size","Required","Condition","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"eventname","String","60","Required","","The event name for which the data was collected","","",""
"pls1_sess","Integer","","Recommended","","Have participant complete right before the final NP or MRI session. Which session was this given at?","0::4","0 = NP Session 1; 1 = NP Session 2; 2 = MRI Session 1; 3 = MRI Session 2; 4 = Other","su_pls1_sess"
"pls1_sess_date_time","Date","","Recommended","","Enter current date and time","","","su_pls1_sess_date_time"
"pls1_otc_rx_y","Integer","","Recommended","","Have you used any over-the-counter or prescription medications in the last 24 hours?","0 ; 1","1 = Yes; 0 = No","su_pls1_otc_rx"
"pls1_med1_rxnorm","String","200","Recommended"," pls1_otc_rx_y   == 1","Medication Name (please choose the formulation that most closely matches the medication you took; no need to include dosage) If medication name was not listed in the drop-down menu (with the exception of multivitamins), scroll down to Comments section and enter information there. For multivitamins, please choose  ""Vitamin"" from the drop-down menu.","","This variable may include all variants available in the Bioportal RxNorm database (https://bioportal.bioontology.org). Please refer to this database for additional information on trade/generic names and formulations.","su_pls1_med1_rxnorm"
"pls1_otc2_rx_days_y","Integer","","Recommended"," notNull(pls1_med1_rxnorm)","Is the medication extended-release (XR)?","1 ; 0","1 = Yes; 0 = No","su_pls1_otc2_rx_days"
"pls1_youth_ago","Float","30","Recommended"," notNull(pls1_med1_rxnorm)","How long ago did you take the medication?","","(in hours; 30 mins=0.5, max hours = 24)","su_pls1_youth_ago"
"pls1_med2_rxnorm","String","200","Recommended"," notNull(pls1_med1_rxnorm)","Medication Name (please choose the formulation that most closely matches the medication you took; no need to include dosage)","","This variable may include all variants available in the Bioportal RxNorm database (https://bioportal.bioontology.org). Please refer to this database for additional information on trade/generic names and formulations.","su_pls1_med2_rxnorm"
"pls1_otc2_rx_days_y_2","Integer","","Recommended"," notNull(pls1_med2_rxnorm)","Is the medication extended-release (XR)?","1 ; 0","1 = Yes; 0 = No","su_pls1_xr_2"
"pls1_youth_ago_2","Float","30","Recommended"," notNull(pls1_med2_rxnorm)","How long ago did you take the medication?","","(in hours; 30 mins=0.5, max hours = 24)","su_pls1_youth_ago_2"
"pls1_med3_rxnorm","String","200","Recommended"," notNull(pls1_med2_rxnorm)","Medication Name (please choose the formulation that most closely matches the medication you took; no need to include dosage)","","This variable may include all variants available in the Bioportal RxNorm database (https://bioportal.bioontology.org). Please refer to this database for additional information on trade/generic names and formulations.","su_pls1_med3_rxnorm"
"pls1_otc2_rx_days_y_3","Integer","","Recommended"," notNull(pls1_med3_rxnorm)","Is the medication extended-release (XR)?","1 ; 0","1 = Yes; 0 = No","su_pls1_otc2_rx_days_3"
"pls1_youth_ago_3","Float","30","Recommended"," notNull(pls1_med3_rxnorm)","How long ago did you take the medication?","","(in hours; 30 mins=0.5, max hours = 24)","su_pls1_youth_ago_3"
"pls1_med4_rxnorm","String","200","Recommended"," notNull(pls1_med3_rxnorm)","Medication Name (please choose the formulation that most closely matches the medication you took; no need to include dosage)","","This variable may include all variants available in the Bioportal RxNorm database (https://bioportal.bioontology.org). Please refer to this database for additional information on trade/generic names and formulations.","su_pls1_med4_rxnorm"
"pls1_otc2_rx_days_y_4","Integer","","Recommended"," notNull(pls1_med4_rxnorm)","Is the medication extended-release (XR)?","1 ; 0","1 = Yes; 0 = No","su_pls1_xr_4"
"pls1_youth_ago_4","Float","30","Recommended"," notNull(pls1_med4_rxnorm)","How long ago did you take the medication?","","(in hours; 30 mins=0.5, max hours = 24)","su_pls1_youth_ago_4"
"pls1_med5_rxnorm","String","200","Recommended"," notNull(pls1_med4_rxnorm)","Medication Name (please choose the formulation that most closely matches the medication you took; no need to include dosage)","","This variable may include all variants available in the Bioportal RxNorm database (https://bioportal.bioontology.org). Please refer to this database for additional information on trade/generic names and formulations.","su_pls1_med5_rxnorm"
"pls1_otc2_rx_days_y_5","Integer","","Recommended"," notNull(pls1_med5_rxnorm)","Is the medication extended-release (XR)?","1 ; 0","1 = Yes; 0 = No","su_pls1_xr_5"
"pls1_youth_ago_5","Float","30","Recommended"," notNull(pls1_med5_rxnorm)","How long ago did you take the medication?","","(in hours; 30 mins=0.5, max hours = 24)","su_pls1_ago_5"
"pls1_y_caf","Integer","","Recommended","","Have you consumed a caffeinated beverage (such as Mountain Dew, Coke, Pepsi, Barq's root beer, energy drink like Red Bull or Monster, coffee or espresso, or green tea, black tea, or sweet tea) in the last 24 hours?","0 ; 1","1 = Yes; 0 = No","su_pls1_caf"
"pls1_youth_caffeine_t","Float","30","Recommended"," pls1_y_caf   == 1","How long ago did you last consume a caffeinated beverage?","","(in hours; 30 mins=0.5, max hours = 24)","su_pls1_caffeine_t"
"pls1_y_nic_tlfb","Integer","","Recommended","","Was Nicotine use indicated on TLFB?","0 ; 1","1 = Yes; 0 = No","su_pls1_nic_tlfb"
"pls1_y_nic_use","Integer","","Recommended"," pls1_y_nic_tlfb   == 1","Have you used nicotine (such as cigarettes, electronic cigarettes/vape pen/e-hookah, hookah, chewing tobacco, or cigar) in the last 24 hours?","0 ; 1","1 = Yes; 0 = No","su_pls1_nic_use"
"pls1_youth_tobacco_t","Float","30","Recommended"," pls1_y_nic_use   == 1","How long ago did you last use nicotine?","","(in hours; 30 mins=0.5)","su_pls1_tobacco_t"
"pls2_need","Integer","","Recommended","","Is NeuroCog and/or MRI being done on session #2?","0 ; 1","1 = Yes; 0 = No","su_pls2_need"
"pls2_sess","Integer","","Recommended"," pls2_need   == 1","Administrator: have participant complete right before the final NP or MRI session. Which session was this given at?","0 ; 1 ; 2 ; 3 ; 4","0 = NP Session 1; 1 = NP Session 2; 2 = MRI Session 1; 3 = MRI Session 2; 4 = Other: (Insert)","su_pls2_sess"
"pls2_date_time","Date","","Recommended"," pls2_need   == 1","Enter current date and time","","","su_pls2_date_time"
"pls2_otc_rx_y","Integer","","Recommended"," pls2_need   == 1","Have you used any over-the-counter or prescription medications in the last 24 hours?","0 ; 1","1 = Yes; 0 = No","su_pls2_otc_rx"
"pls2_med1_rxnorm","String","200","Recommended"," pls2_otc_rx_y   == 1 &&  pls2_need   == 1","Medication Name (please choose the formulation that most closely matches the medication you took; no need to include dosage)","","This variable may include all variants available in the Bioportal RxNorm database (https://bioportal.bioontology.org). Please refer to this database for additional information on trade/generic names and formulations.","su_pls2_med1_rxnorm"
"pls2_otc2_rx_days_y","Integer","","Recommended"," pls2_need   == 1 &&  notNull(pls2_med1_rxnorm)","Is the medication extended-release (XR)?","1 ; 0","1 = Yes; 0 = No","su_pls2_xr"
