"ElementName","DataType","Size","Required","Condition","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"eventname","String","60","Required","","The event name for which the data was collected","","",""
"su_des_start_time_p","String","20","Recommended","","Start time","","",""
"su_des_select_language","Integer","","Recommended","","Espanol?","0 ; 1","0 = No; 1 = Yes","su_famuse_2hand_select_language"
"su_des_same_household","Integer","","Recommended","","Has the child stayed or spent a significant amount of time at your household? El nio ha permanecido o ha pasado una cantidad significativa de tiempo en su hogar?","1;0;-1","1 =  Yes /   Si ; 0 = No  /  No ; -1 =  Not applicable (for example  you lived in a shelter or were homeless most of the past year) /   No aplicable (por ejemplo  usted vivio en un refugio o estuvo sin hogar la mayor parte del ao pasado)","su_famuse_2hand_same_household"
"su_des_alc_adult_p","Integer","","Recommended","su_des_same_household==1","Alcohol such as beer, wine or liquor (for example  rum, vodka, gin, whiskey)? Alcohol  como cerveza  vino o licor (por ejemplo  ron  vodka  ginebra  whisky)?","0::20","","su_famuse_2hand_alc_adult_p"
"su_des_alc_youth_p","Integer","","Recommended","su_des_same_household==1","Alcohol such as beer, wine or liquor (for example  rum, vodka, gin, whiskey)? Alcohol  como cerveza  vino o licor (por ejemplo  ron  vodka  ginebra  whisky)?","0::20","","su_famuse_2hand_alc_youth_p"
"su_des_tob_adult_p","Integer","","Recommended","su_des_same_household==1","Cigarettes  Cigarrillos de tabaco","0::20","","su_famuse_2hand_tob_adult_p"
"su_des_tob_youth_p","Integer","","Recommended","su_des_same_household==1","Cigarettes  Cigarrillos de tabaco","0::20","","su_famuse_2hand_tob_youth_p"
"su_des_tob_inside_p","Integer","","Recommended","su_des_tob_adult_p > 0 || su_des_tob_youth_p > 0","Did anyone smoke cigarettes inside the house when your child was home or in a vehicle your child was in? Fumo alguien cigarrillos dentro de su hogar cuando su hijo/a estaba en casa o en un vehiculo en el que estaba su hijo/a?","1;0","1 = Yes  /  Si ; 0  = No /   No","su_famuse_2hand_tob_inside_p"
"su_des_tob_inside_days_p","String","20","Recommended","su_des_tob_inside_p == 1 && su_des_tob_inside_days_dk_p == ","In a typical week  how many days did someone smoke cigarettes inside your home while your child was home or in a vehicle your child was in?  En una semana tipica cuantos dias fumo alguien cigarrillos dentro de su hogar cuando su hijo/a estaba en casa o en un vehiculo en el que estaba su hijo/a?","","","su_famuse_2hand_tob_inside_days_p"
"su_des_tob_inside_days_dk_p","Integer","","Recommended","su_des_tob_inside_p == 1 && su_des_tob_inside_days_p == ","In a typical week  how many days did someone smoke cigarettes inside your home while your child was home or in a vehicle your child was in?  En una semana tipica cuantos dias fumo alguien cigarrillos dentro de su hogar cuando su hijo/a estaba en casa o en un vehiculo en el que estaba su hijo/a?","999","999 = Don't Know  /  No se","su_famuse_2hand_tob_inside_days_dk_p"
"su_des_tob_inside_hrs_p","String","20","Recommended","su_des_tob_inside_p == 1 && su_des_tob_inside_hrs_dk_p == ","How many hours in a typical day did someone smoke cigarettes inside your home while your child was home or in a vehicle your child was in? Cuantas horas de un dia normal fumo alguien cigarrillos dentro de su hogar cuando su hijo/a estaba en casa o en un vehiculo en el que estaba su hijo/a?","","","su_famuse_2hand_tob_inside_hrs_p"
"su_des_tob_inside_hrs_dk_p","Integer","","Recommended","su_des_tob_inside_p == 1 && su_des_tob_inside_hrs_p == ","How many hours in a typical day did someone smoke cigarettes inside your home while your child was home or in a vehicle your child was in? Cuantas horas de un dia normal fumo alguien cigarrillos dentro de su hogar cuando su hijo/a estaba en casa o en un vehiculo en el que estaba su hijo/a?","999","999 = Don't Know  /  No se","su_famuse_2hand_tob_inside_hrs_dk_p"
"su_des_ecig_adult_p","Integer","","Recommended","su_des_same_household==1","Electronic nicotine or vaping products such as e-cigarettes, vape pens or Juuls? Productos electronicos de nicotina o de vapeo  como cigarrillos electronicos  plumas de vapeo o Juuls?","0::20","","su_famuse_2hand_ecig_adult_p"
"su_des_ecig_youth_p","Integer","","Recommended","su_des_same_household==1","Electronic nicotine or vaping products such as e-cigarettes, vape pens or Juuls? Productos electronicos de nicotina o de vapeo  como cigarrillos electronicos  plumas de vapeo o Juuls?","0::20","","su_famuse_2hand_ecig_youth_p"
"su_des_ecig_inside_p","Integer","","Recommended","su_des_ecig_adult_p > 0 || su_des_ecig_youth_p > 0","Did anyone use electronic nicotine or vaping products such as e-cigarettes, vape pens  or Juuls inside the house when you child was home or in a vehicle you child was in? Uso alguien cigarrillos electronicos  cigarrillos de vapor o e-hookah dentro de su hogar cuando su hijo/a estaba en casa o en un vehiculo en el que estaba su hijo/a?","1;0","1 = Yes  /  Si ; 0  = No /   No","su_famuse_2hand_ecig_inside_p"
"su_des_ecig_inside_days_p","String","20","Recommended","su_des_ecig_inside_p == 1 && su_des_ecig_inside_days_dk_p == ","In a typical week how many days did someone use electronic nicotine or vaping products such as e-cigarettes, vape pens  or Juuls inside your home while your child was home or in a vehicle your child was in?  En una semana tipica cuantos dias fumo alguien cigarrillos electronicos  cigarrillos de vapor o e-hookah dentro de su hogar cuando su hijo/a estaba en casa o en un vehiculo en el que estaba su hijo/a?","","","su_famuse_2hand_ecig_inside_days_p"
"su_des_ecig_inside_days_dk_p","Integer","","Recommended","su_des_ecig_inside_p == 1 && su_des_ecig_inside_days_p == ","In a typical week how many days did someone use electronic nicotine or vaping products such as e-cigarettes, vape pens  or Juuls inside your home while your child was home or in a vehicle your child was in?  En una semana tipica cuantos dias fumo alguien cigarrillos electronicos  cigarrillos de vapor o e-hookah dentro de su hogar cuando su hijo/a estaba en casa o en un vehiculo en el que estaba su hijo/a?","999","999 = Don't Know  /  No se","su_famuse_2hand_ecig_inside_days_dk_p"
"su_des_ecig_inside_hrs_p","String","20","Recommended","su_des_ecig_inside_p == 1 && su_des_ecig_inside_hrs_dk_p == ","How many hours in a typical day did someone use electronic nicotine or vaping products  such as e-cigarettes, vape pens or Juuls inside your home while your child was home or in a vehicle your child was in? Cuantas horas en un dia tipico uso alguien productos electronicos de nicotina o de vapeo  como cigarrillos electronicos  plumas de vapeo o Juuls dentro de su hogar cuando su nio/a estaba en casa o en un vehiculo en el que estaba su nio/a?","","","su_famuse_2hand_ecig_inside_hrs_p"
