"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"eventname","String","60","Required","The event name for which the data was collected","","",""
"comc_phenx_select_language","Integer","","Recommended","¿Español?","0 ; 1","0 = No; 1 = Yes","comc_phenx_select_language___1,community_cohesion_phenx_select_language_p"
"comc_phenx_close_knit_p","Integer","","Recommended","This is a close-knit neighborhood. / Este es un vecindario muy unido.","5;4;3;2;1;999;777","5= Strongly Agree / Totalmente de acuerdo;4=  Agree / De acuerdo; 3= Neither Agree Nor Disagree / Ni de acuerdo ni en desacuerdo; 2=  Disagree / En desacuerdo; 1 = Strongly Disagree / Totalmente en desacuerdo; 999 = Don't Know / No sÃ©; 777=  Refused / niego a contestar""","community_cohesion_phenx_close_knit_p"
"comc_phenx_help_p","Integer","","Recommended","People around here are willing to help their neighbors. / La gente de por aquÃ­ estÃ¡ dispuesta a ayudar a sus vecinos.","5;4;3;2;1;999;777","5= Strongly Agree / Totalmente de acuerdo;4=  Agree / De acuerdo; 3= Neither Agree Nor Disagree / Ni de acuerdo ni en desacuerdo; 2=  Disagree / En desacuerdo; 1 = Strongly Disagree / Totalmente en desacuerdo; 999 = Don't Know / No sÃ©; 777=  Refused / niego a contestar""","community_cohesion_phenx_help_p"
"comc_phenx_get_along_p","Integer","","Recommended","People in this neighborhood generally don't get along with each other. / La gente en este vecindario por lo general no se lleva bien.","1;2;3;4;5;999;777","1= Strongly Agree / Totalmente de acuerdo; 2=  Agree / De acuerdo; 3= Neither Agree Nor Disagree / Ni de acuerdo ni en desacuerdo; 4  =Disagree / En desacuerdo; 5=  Strongly Disagree / Totalmente en desacuerdo; 999 = Don't Know / No sÃ©; 777=  Refused / niego a contestar""","community_cohesion_phenx_get_along_p"
"comc_phenx_share_values_p","Integer","","Recommended","People in this neighborhood do not share the same values. / La gente de este vecindario no comparte los mismos valores.","","1= Strongly Agree / Totalmente de acuerdo; 2=  Agree / De acuerdo; 3= Neither Agree Nor Disagree / Ni de acuerdo ni en desacuerdo; 4  =Disagree / En desacuerdo; 5=  Strongly Disagree / Totalmente en desacuerdo; 999 = Don't Know / No sÃ©; 777=  Refused / niego a contestar""","community_cohesion_phenx_share_values_p"
"comc_phenx_trusted_p","Integer","","Recommended","People in this neighborhood can be trusted. / La gente de este vecindario es de confianza.","1;2;3;4;5;999;777","5= Strongly Agree / Totalmente de acuerdo;4=  Agree / De acuerdo; 3= Neither Agree Nor Disagree / Ni de acuerdo ni en desacuerdo; 2=  Disagree / En desacuerdo; 1 = Strongly Disagree / Totalmente en desacuerdo; 999 = Don't Know / No sÃ©; 777=  Refused / niego a contestar""","community_cohesion_phenx_trusted_p"
"comc_phenx_skip_p","Integer","","Recommended","If a group of neighborhood children were skipping school and hanging out on a street corner how likely is that your neighbors would do something about it? / Si un grupo de niÃ±os del vecindario estuviera faltando a la escuela y pasando el rato en una esquina Â¿quÃ© probabilidades hay de que sus vecinos hagan algo al respecto?","5;4;3;2;1;999;777","5=Very Likely / Muy probable; 4= Likely / Probable; 3 = Neither Likely Nor Unlikely / Ni probable ni improbable; 2=  Unlikely / Improbable; 1= Very Unlikely / Muy improbable; 999 = Don't Know / No sÃ©; 777 = Refused / niego a contestar","community_cohesion_phenx_skip_p"
"comc_phenx_graffiti_p","Integer","","Recommended","If some children were spray-painting graffiti on a local building how likely is it that your neighbors would do something about it? / Si algunos niÃ±os estuvieran pintando grafiti con pintura en aerosol en un edificio local Â¿quÃ© probabilidades hay de que sus vecinos hagan algo al respecto?","5;4;3;2;1;999;777","5=Very Likely / Muy probable; 4= Likely / Probable; 3 = Neither Likely Nor Unlikely / Ni probable ni improbable; 2=  Unlikely / Improbable; 1= Very Unlikely / Muy improbable; 999 = Don't Know / No sÃ©; 777 = Refused / niego a contestar","community_cohesion_phenx_graffiti_p"
"comc_phenx_disrespect_p","Integer","","Recommended","If a child was showing disrespect to an adult how likely is it that people in your neighborhood would scold that child? / Si un niÃ±o le estuviera faltando el respeto a un adulto Â¿quÃ© probabilidades hay de que la gente de su vecindario regaÃ±e a ese niÃ±o?","5;4;3;2;1;999;777","5=Very Likely / Muy probable; 4= Likely / Probable; 3 = Neither Likely Nor Unlikely / Ni probable ni improbable; 2=  Unlikely / Improbable; 1= Very Unlikely / Muy improbable; 999 = Don't Know / No sÃ©; 777 = Refused / niego a contestar","community_cohesion_phenx_disrespect_p"
"comc_phenx_fight_p","Integer","","Recommended","If there was a fight in front of your house and someone was being beaten or threatened how likely is it that your neighbors would break it up? / Si hubiera una pelea enfrente de su casa y a alguien lo estuvieran golpeando o amenazando Â¿quÃ© probabilidades hay de que sus vecinos intervengan?","5;4;3;2;1;999;777","5=Very Likely / Muy probable; 4= Likely / Probable; 3 = Neither Likely Nor Unlikely / Ni probable ni improbable; 2=  Unlikely / Improbable; 1= Very Unlikely / Muy improbable; 999 = Don't Know / No sÃ©; 777 = Refused / niego a contestar","community_cohesion_phenx_fight_p"
"comc_phenx_budget_p","Integer","","Recommended","Suppose that because of budget cuts the fire station closest to your home was going to be closed down by the city. How likely is it that neighborhood residents would organize to try to do something to keep the fire station open? / Suponga que debido a los recortes de presupuesto la municipalidad fuese a cerrar la estacion de bomberos mas cercana a su casa. Â¿QuÃ© tan probable es que los residentes de su vecindad se organicen para tratar de hacer algo para mantener la estaciÃ³n de bomberos abierta?","5;4;3;2;1;999;777","5=Very Likely / Muy probable; 4= Likely / Probable; 3 = Neither Likely Nor Unlikely / Ni probable ni improbable; 2=  Unlikely / Improbable; 1= Very Unlikely / Muy improbable; 999 = Don't Know / No sÃ©; 777 = Refused / niego a contestar","community_cohesion_phenx_budget_p"
