"ElementName","DataType","Size","Required","Condition","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"eventname","String","60","Required","","The event name for which the data was collected","","",""
"scrn2_select_language___1","Integer","","Recommended","","Espanol?","0 ; 1","0 = No; 1 = Yes","screener_select_language_v2"
"scrn_braces_v2","Integer","","Recommended","","Does (Child's name) have metal braces  spacers  or other dental appliances that you cannot remove?","","1= Yes; 0= No","screener_2yr_braces_v2"
"scrn_future_braces","Integer","","Recommended","scrn_braces_v2 == 0 || scrn_braces_v2 == 2","Is your child scheduled to have any dental appliances applied within the next few weeks?","1;0","","screener_2yr_future_braces"
"scrn_bracesdate_v2","String","250","Recommended","scrn_braces_v2 == 1 || scrn_future_braces == 1","If they are removable  when could they come off?","","","screener_2yr_bracesdate_v2"
"scrn_bracescallback_v2","Integer","","Recommended","scrn_braces_v2 == 1 || scrn_future_braces == 1","If the removal is +/-90 days of ideal visit date  delay appointment until braces are off.  If braces removal is known to be happening +/- 365 days of ideal date  the appointment CAN be delayed. If removal is not within +/-365 range  bring child in +/-90 days of ideal visit to complete all portions of the protocol  except the MRI (do fMRI tasks behaviorally.","0::2","2= Removal is more than +/-90 days but less than +/-365 days-  delay appointment & re-administer FUSS; 1= Removal is scheduled +/-90 days of ideal visit- delay appt until removed; 0= Removal is not within +/-365 range- schedule child within +/-90 days for non-imaging appt if there are no other concerns","screener_2yr_bracescallback_v2"
"scrn_nr_hair_v2","Integer","","Recommended","scrn_future_braces == 0 || scrn_bracescallback_v2 == 1","Does your child have any new hair extensions or a hair piece?","","","screener_2yr_nr_hair_v2"
"scrn_nr_hair_metal_v2","Integer","","Recommended","scrn_nr_hair_v2 == 1","Do the extensions or hair piece contain metal fasteners or any other metallic elements?","","","screener_2yr_nr_hair_metal_v2"
"scrn_nr_hair_remove","Integer","","Recommended","scrn_nr_hair_metal_v2 == 1","Can they be removed for the MRI scan or within the next few months?","","","screener_2yr_nr_hair_remove"
"scrn_nr_hair_date_v2","Integer","","Recommended","scrn_nr_hair_remove == 0","When will they be able to be removed?","","","screener_2yr_nr_hair_date_v2"
"scrn_nr_hair_callback_v2","Integer","","Recommended","scrn_nr_hair_remove == 0","If removal is within =/- 90 days of ideal date  schedule after removal within +/-90 period.i. If removal is not within +/-365 range  bring child in +/-90 days of ideal visit to complete all portions of the protocol  except the MRI (do fMRI tasks behaviorally. If parent is unsure  ask for their best guess; if estimated removal is within =/- 90 days of ideal date  schedule after removal within +/-90 period.","1;0","1= Removal is scheduled +/-90 days of ideal visit- delay appt until removed if no other contraindications or concerns; 0= Removal is not within +/-365 range- schedule child within +/-90 days for non-imaging appt if there are no other concerns","screener_2yr_nr_hair_callback_v2"
"scrn_eyeliner_v2","Integer","","Recommended","scrn_nr_hair_v2 == 0 || scrn_nr_hair_metal_v2 == 0 || scrn_nr_hair_remove == 1 || scrn_nr_hair_callback_v2 == 1","Does your child have tattooed eyeliner or permanent eyebrow fill-in or permanent makeup?","1;0","1= Yes - consult local expert to determine how to proceed with scan; 0= No","screener_2yr_eyeliner_v2"
"scrn_nr_piercing_v2","Integer","","Recommended","scrn_eyeliner_v2 == 0 || scrn_eyeliner_v2 == 1","Does your child have any new metal piercings on his/her head  face  tongue  neck or chest?","","","screener_2yr_nr_piercing_v2"
"scrn_nr_piercing_remove","Integer","","Recommended","scrn_nr_piercing_v2 == 1","Can they be removed for the follow-up visit?","","","screener_2yr_nr_piercing_remove"
"scrn_nr_piercing_date","Integer","","Recommended","scrn_nr_piercing_remove == 0","When can they be removed for the scan?","","","screener_2yr_nr_piercing_date"
"scrn_nr_piercing_callback","Integer","","Recommended","scrn_nr_piercing_remove == 0","If removal is within =/- 90 days of ideal date  schedule after removal within +/-90 period.i. If removal is not within +/-365 range  bring child in +/-90 days of ideal visit to complete all portions of the protocol  except the MRI (do fMRI tasks behaviorally.<span/>If parent is unsure  ask for their best guess; if estimated removal is within =/- 90 days of ideal date  schedule after removal within +/-90 period.","1;0","1= Removal is scheduled +/-90 days of ideal visit- delay appt until removed if no other contraindications or concerns; 0= Removal is not within +/-365 range- schedule child within +/-90 days for non-imaging appt if no other concerns","screener_2yr_nr_piercing_callback"
"scrn_surgery_v2","Integer","","Recommended","scrn_nr_piercing_v2 == 0 || scrn_nr_piercing_remove == 1 || scrn_nr_piercing_callback == 1","Has your child had any surgery or procedures involving implants or insertion of non-removable devices into the body (e.g.  pacemaker  clips  heart valve  ocular or cochlear implants  prosthesis  stimulator  wire sutures  shunts  rods  metal mesh  IUD  tissue expander  joint replacement)? ""Ha tenido su nio(a) alguna ciruga o procedimientos que impliquen implantes o insercin de dispositivos no extrables en el cuerpo (por ejemplo  marcapasos  clips  vlvula cardaca  implantes oculares o cocleares  prtesis  estimulador  suturas de alambre  derivaciones  varillas  malla de metal  DIU  expansor de tejido  reemplazo de articulacin)?","1;0","1= Yes - schedule child within +/-90 days for non-imaging appt if no other concerns; 0= No","screener_2yr_surgery_v2"
"scrn_height_v2","Integer","","Recommended","scrn_surgery_v2 == 0","What is (Child's name)'s height?"" (inches)","","","screener_2yr_height_v2"
"scrn_weight_v2","Integer","","Recommended","scrn_surgery_v2 == 0","What is (Child's name)'s weight? (pounds)","","","screener_2yr_weight_v2"
"scrn_concerns","Integer","","Recommended","scrn_bracescallback_v2 == 0 || scrn_surgery_v2 == 0 || scrn_nr_piercing_callback == 0 || scrn_nr_hair_callback_v2 == 0 || scrn_surgery_v2 == 1","Similar to your first visit  this visit will involve your child working with our research team to answer questions and solve puzzles on an iPad  follow directions  and lie still in the MRI scanner. Do you have any concerns about (Child's name)'s ability to do these things that have not already been discussed? ""","1;0","1= Yes- consult PI on parent's concerns; 0= No","screener_2yr_concerns"
"scrn_concerns_desc","String","250","Recommended","scrn_concerns == 1","What are your concerns?","","","screener_2yr_concerns_desc"
"scrn_health_issues","Integer","","Recommended","scrn_concerns == 1 || scrn_concerns == 0","Has your child had any recent health problems since we last saw him/her about a year ago?","","","screener_2yr_health_issues"
"scrn_health_describe","String","250","Recommended","scrn_health_issues == 1","What health problems would that be?"" Depending on the problem  you may need to consult your PI. We want to make sure the youth is able to safely and comfortably complete the protocol.""","","","screener_2yr_health_describe"
"scrn_meds","Integer","","Recommended","scrn_health_issues == 1 || scrn_health_issues == 0","Is your child currently taking any new medications?","","","screener_2yr_meds"
"scrn_meds_describe","String","250","Recommended","scrn_meds == 1","What kind of medications? If the medication(s) could impact youth's performance  consider postponing or rescheduling.","","","screener_2yr_meds_describe"
"scrn_time_v2","String","30","Recommended","","Time of screener completion:","","","screener_2yr_time_v2"
