"ElementName","DataType","Size","Required","Condition","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"eventname","String","60","Required","","The event name for which the data was collected","","",""
"socialdev_cvict_c1","Integer","","Recommended","","At any time in your life, did anyone use force to take something away from you that you were carrying or wearing?","1;0;98;99","1=Yes; 0=No; 98=I don't know; 99=I'd rather not say",""
"socialdev_cvict_c2","Integer","","Recommended","","At any time in your life, did anyone steal something from you and never give it back?  Things like a backpack, money, watch, clothing, bike, cell phone, computer, or anything else?","1;0;98;99","1=Yes; 0=No; 98=I don't know; 99=I'd rather not say",""
"socialdev_cvict_c3","Integer","","Recommended","","At any time in your life, did anyone break or ruin any of your things on purpose?","1;0;98;99","1=Yes; 0=No; 98=I don't know; 99=I'd rather not say",""
"socialdev_cvict_c4","Integer","","Recommended","","Sometimes people are attacked with sticks, rocks, guns, knives, or other things that could hurt.  At any time in your life, did anyone hit or attack you on purpose with an object or weapon?  Somewhere like: at home, at school, at a store, in a car, on the street, or anywhere else?","1;0;98;99","1=Yes; 0=No; 98=I don't know; 99=I'd rather not say",""
"socialdev_cvict_c5","Integer","","Recommended","","At any time in your life, did anyone hit or attack you WITHOUT using a weapon?","1;0;98;99","1=Yes; 0=No; 98=I don't know; 99=I'd rather not say",""
"socialdev_cvict_c6","Integer","","Recommended","","At any time in your life, did someone start to  attack you, but for some reason it didn't happen?  For example, someone helped you, or you got away?","1;0;98;99","1=Yes; 0=No; 98=I don't know; 99=I'd rather not say",""
"socialdev_cvict_c7","Integer","","Recommended","","At any time in your life, did someone threaten to hurt you when you thought they might really do it?","1;0;98;99","1=Yes; 0=No; 98=I don't know; 99=I'd rather not say",""
"socialdev_cvict_c8","Integer","","Recommended","","When a person is kidnapped, it means they were made to go somewhere, like into a car, by someone who they thought might hurt them.  At any time in your life, has anyone ever tried to kidnap you?","1;0;98;99","1=Yes; 0=No; 98=I don't know; 99=I'd rather not say",""
"socialdev_cvict_c9","Integer","","Recommended","","At any time in your life, have you been hit or attacked because of your skin color, religion, or where your family comes from?  Or because of a physical problem you have?  Or because someone said you were gay?","1;0;98;99","1=Yes; 0=No; 98=I don't know; 99=I'd rather not say",""
"socialdev_cvict_p1","Integer","","Recommended","","Sometimes groups of kids or gangs attack people.  At any time in your life, did a group of kids or a gang hit, jump, or attack you?","1;0;98;99","1=Yes; 0=No; 98=I don't know; 99=I'd rather not say",""
"socialdev_cvict_p2","Integer","","Recommended","","At any time in your life, did any kid, even a brother or sister, hit you?  Somewhere like at home, at school, out playing, in a store, or anywhere else?","1;0;98;99","1=Yes; 0=No; 98=I don't know; 99=I'd rather not say",""
"socialdev_cvict_p3","Integer","","Recommended","","At any time in your life, did any kids try to hurt your private parts on purpose by hitting or kicking you there?","1;0;98;99","1=Yes; 0=No; 98=I don't know; 99=I'd rather not say",""
"socialdev_cvict_p4","Integer","","Recommended","","At any time in your life, did any kids, even a brother or sister, pick on you by chasing or grabbing you, or by making you do something you didn't want to do?","1;0;98;99","1=Yes; 0=No; 98=I don't know; 99=I'd rather not say",""
"socialdev_cvict_p5","Integer","","Recommended","","At any time in your life, did you get really scared or feel really bad because kids were calling you names, saying mean things to you, or saying they didn't want you around?","1;0;98;99","1=Yes; 0=No; 98=I don't know; 99=I'd rather not say",""
"socialdev_cvict_p6","Integer","","Recommended","","At any time in your life, did a boyfriend or girlfriend or anyone you went on a date with slap or hit you?","1;0;98;99;999","1=Yes; 0=No; 98=I don't know; 99=I'd rather not say; 999=I have never dated (not applicable)",""
"socialdev_cvict_p7","Integer","","Recommended","","At any time in your life, did any kids ever tell lies or spread rumors about you or try to make others dislike you?","1;0;98;99","1=Yes; 0=No; 98=I don't know; 99=I'd rather not say",""
"socialdev_cvict_p8","Integer","","Recommended","","At any time in your life, did any kids ever keep you out of things on purpose, exclude you from their group of friends, or completely ignore you?","1;0;98;99","1=Yes; 0=No; 98=I don't know; 99=I'd rather not say",""
"socialdev_cvict_w1","Integer","","Recommended","","At any time in your life, did you SEE a parent get pushed, slapped, hit, punched, or beat up by another parent, or their boyfriend or girlfriend?","1;0;98;99","1=Yes; 0=No; 98=I don't know; 99=I'd rather not say",""
"socialdev_cvict_w2","Integer","","Recommended","","At any time in your life, did you SEE a parent hit, beat, kick, or physically hurt your brothers or sisters, not including a spanking on the bottom?","1;0;98;99;999","1=Yes; 0=No; 98=I don't know; 99=I'd rather not say; 999=I don't have any brothers or sisters",""
"socialdev_cvict_w3","Integer","","Recommended","","At any time in your life, did you SEE anyone get attacked or hit on purpose WITH a stick, rock, gun, knife, or other thing that would hurt?  Somewhere like: at home, at school, at a store, in a car, on the street, or anywhere else?","1;0;98;99","1=Yes; 0=No; 98=I don't know; 99=I'd rather not say",""
"socialdev_cvict_w4","Integer","","Recommended","","At any time in your life, did you SEE anyone get attacked or hit on purpose WITHOUT using a stick, rock, gun, knife, or other thing that would hurt?","1;0;98;99","1=Yes; 0=No; 98=I don't know; 99=I'd rather not say",""
"socialdev_cvict_w5","Integer","","Recommended","","At any time in your life, did anyone steal something from your house that belongs to your family or someone you live with?  Things like a TV, stereo, car, or anything else?","1;0;98;99","1=Yes; 0=No; 98=I don't know; 99=I'd rather not say",""
"socialdev_cvict_w6","Integer","","Recommended","","At any time in your life, was anyone close to you murdered, like a friend, neighbor, or someone in your family?","1;0;98;99","1=Yes; 0=No; 98=I don't know; 99=I'd rather not say",""
"socialdev_cvict_w8","Integer","","Recommended","","At any time in your life, were you in any place in real life where you could see or hear people being shot, bombs going off, or street riots?","1;0;98;99","1=Yes; 0=No; 98=I don't know; 99=I'd rather not say",""
"socialdev_cvict_w9","Integer","","Recommended","","At any time in your life, were you in the middle of a war where you could hear real fighting with guns or bombs?","1;0;98;99","1=Yes; 0=No; 98=I don't know; 99=I'd rather not say",""
"socialdev_cvict_g1","Integer","","Recommended","","At any time in your life, did anyone hurt or threaten you with a real gun?","1;0;98;99","1=Yes; 0=No; 98=I don't know; 99=I'd rather not say",""
"socialdev_cvict_g2","Integer","","Recommended","","At any time in your life, did you see someone else get hurt or threatened with a real gun?","1;0;98;99","1=Yes; 0=No; 98=I don't know; 99=I'd rather not say",""
"socialdev_cvict_sc1","Integer","","Recommended","","Have you ever gone to a school where someone said there was going to be a bomb or attack on the school and you thought they might really mean it?","1;0;98;99","1=Yes; 0=No; 98=I don't know; 99=I'd rather not say",""
"socialdev_cvict_sc2","Integer","","Recommended","","Have you ever gone to a school where someone damaged the school or started a fire in the school on purpose?  Or did anyone break or ruin other school property like buses, windows, or sports equipment?","1;0;98;99","1=Yes; 0=No; 98=I don't know; 99=I'd rather not say",""
