"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"eventname","String","60","Required","The event name for which the data was collected","","",""
"socialdev_papq_01","Integer","","Recommended","You have a friendly talk with your child.","0 :: 4","0 = Never ; 1=  Almost never ; 2=  Sometimes ; 3=  Often ; 4 = Always",""
"socialdev_papq_02","Integer","","Recommended","You let your child know when he/she is doing a good job with something.","0 :: 4","0 = Never ; 1=  Almost never ; 2=  Sometimes ; 3=  Often ; 4 = Always",""
"socialdev_papq_03","Integer","","Recommended","You threaten to punish your child and then do not actually punish him/her.","0 :: 4","0 = Never ; 1=  Almost never ; 2=  Sometimes ; 3=  Often ; 4 = Always",""
"socialdev_papq_04","Integer","","Recommended","You volunteer to help with special activities that your child is involved in (such as sports  boy/girl scouts  church youth groups).","0 :: 4","0 = Never ; 1=  Almost never ; 2=  Sometimes ; 3=  Often ; 4 = Always",""
"socialdev_papq_05","Integer","","Recommended","You reward or give something extra to your child for obeying you or behaving well.","0 :: 4","0 = Never ; 1=  Almost never ; 2=  Sometimes ; 3=  Often ; 4 = Always",""
"socialdev_papq_06","Integer","","Recommended","Your child fails to leave a note or to let you know where he/she is going.","0 :: 4","0 = Never ; 1=  Almost never ; 2=  Sometimes ; 3=  Often ; 4 = Always",""
"socialdev_papq_07","Integer","","Recommended","You play games or do other fun things with your child.","0 :: 4","0 = Never ; 1=  Almost never ; 2=  Sometimes ; 3=  Often ; 4 = Always",""
"socialdev_papq_08","Integer","","Recommended","Your child talks you out of being punished after he/she has done something wrong.","0 :: 4","0 = Never ; 1=  Almost never ; 2=  Sometimes ; 3=  Often ; 4 = Always",""
"socialdev_papq_09","Integer","","Recommended","You ask your child about his/her day in school.","0 :: 4","0 = Never ; 1=  Almost never ; 2=  Sometimes ; 3=  Often ; 4 = Always",""
"socialdev_papq_10","Integer","","Recommended","Your child stays out in the evening past the time he/she is supposed to be home.","0 :: 4","0 = Never ; 1=  Almost never ; 2=  Sometimes ; 3=  Often ; 4 = Always",""
"socialdev_papq_11","Integer","","Recommended","You help your child with his/her homework.","0 :: 4","0 = Never ; 1=  Almost never ; 2=  Sometimes ; 3=  Often ; 4 = Always",""
"socialdev_papq_12","Integer","","Recommended","You feel that getting your child to obey you is more trouble than it's worth.","0 :: 4","0 = Never ; 1=  Almost never ; 2=  Sometimes ; 3=  Often ; 4 = Always",""
"socialdev_papq_13","Integer","","Recommended","You compliment your child when he/she does something well.","0 :: 4","0 = Never ; 1=  Almost never ; 2=  Sometimes ; 3=  Often ; 4 = Always",""
"socialdev_papq_14","Integer","","Recommended","You ask your child what his/her plans are for the coming day.","0 :: 4","0 = Never ; 1=  Almost never ; 2=  Sometimes ; 3=  Often ; 4 = Always",""
"socialdev_papq_15","Integer","","Recommended","You drive your child to a special activity.","0 :: 4","0 = Never ; 1=  Almost never ; 2=  Sometimes ; 3=  Often ; 4 = Always",""
"socialdev_papq_16","Integer","","Recommended","You praise your child if he/she behaves well.","0 :: 4","0 = Never ; 1=  Almost never ; 2=  Sometimes ; 3=  Often ; 4 = Always",""
"socialdev_papq_17","Integer","","Recommended","Your child is out with friends you don't know.","0 :: 4","0 = Never ; 1=  Almost never ; 2=  Sometimes ; 3=  Often ; 4 = Always",""
"socialdev_papq_18","Integer","","Recommended","You hug or kiss your child when he/she does something well.","0 :: 4","0 = Never ; 1=  Almost never ; 2=  Sometimes ; 3=  Often ; 4 = Always",""
"socialdev_papq_19","Integer","","Recommended","Your child goes out without a set time to be home.","0 :: 4","0 = Never ; 1=  Almost never ; 2=  Sometimes ; 3=  Often ; 4 = Always",""
"socialdev_papq_20","Integer","","Recommended","You talk to your child about his/her friends.","0 :: 4","0 = Never ; 1=  Almost never ; 2=  Sometimes ; 3=  Often ; 4 = Always",""
"socialdev_papq_21","Integer","","Recommended","Your child is out after dark without an adult with him/her.","0 :: 4","0 = Never ; 1=  Almost never ; 2=  Sometimes ; 3=  Often ; 4 = Always",""
"socialdev_papq_22","Integer","","Recommended","You let your child out of a punishment early (like lift restrictions earlier than you originally said).","0 :: 4","0 = Never ; 1=  Almost never ; 2=  Sometimes ; 3=  Often ; 4 = Always",""
"socialdev_papq_23","Integer","","Recommended","Your child helps plan family activities.","0 :: 4","0 = Never ; 1=  Almost never ; 2=  Sometimes ; 3=  Often ; 4 = Always",""
"socialdev_papq_24","Integer","","Recommended","You get so busy that you forgot where your child is and what he/she is doing.","0 :: 4","0 = Never ; 1=  Almost never ; 2=  Sometimes ; 3=  Often ; 4 = Always",""
"socialdev_papq_25","Integer","","Recommended","Your child is not punished when he/she has done something wrong.","0 :: 4","0 = Never ; 1=  Almost never ; 2=  Sometimes ; 3=  Often ; 4 = Always",""
"socialdev_papq_26","Integer","","Recommended","You attend PTA meetings  parent/teacher conferences  or other meetings at your child's school.","0 :: 4","0 = Never ; 1=  Almost never ; 2=  Sometimes ; 3=  Often ; 4 = Always",""
"socialdev_papq_27","Integer","","Recommended","You tell your child that you like it when he/she helps out around the house.","0 :: 4","0 = Never ; 1=  Almost never ; 2=  Sometimes ; 3=  Often ; 4 = Always",""
"socialdev_papq_28","Integer","","Recommended","You don't check that your child comes home at the time he/she was supposed to.","0 :: 4","0 = Never ; 1=  Almost never ; 2=  Sometimes ; 3=  Often ; 4 = Always",""
"socialdev_papq_29","Integer","","Recommended","You don't tell your child where you are going.","0 :: 4","0 = Never ; 1=  Almost never ; 2=  Sometimes ; 3=  Often ; 4 = Always",""
"socialdev_papq_30","Integer","","Recommended","Your child comes home from school more than an hour past the time you expect him/her.","0 :: 4","0 = Never ; 1=  Almost never ; 2=  Sometimes ; 3=  Often ; 4 = Always",""
"socialdev_papq_31","Integer","","Recommended","The punishment you give your child depends on your mood.","0 :: 4","0 = Never ; 1=  Almost never ; 2=  Sometimes ; 3=  Often ; 4 = Always",""
"socialdev_papq_32","Integer","","Recommended","Your child is at home without adult supervision.","0 :: 4","0 = Never ; 1=  Almost never ; 2=  Sometimes ; 3=  Often ; 4 = Always",""
"socialdev_papq_33","Integer","","Recommended","You spank your child with your hand when he/she is misbehaving.","0 :: 4","0 = Never ; 1=  Almost never ; 2=  Sometimes ; 3=  Often ; 4 = Always",""
"socialdev_papq_34","Integer","","Recommended","You ignore your child when he/she is misbehaving.","0 :: 4","0 = Never ; 1=  Almost never ; 2=  Sometimes ; 3=  Often ; 4 = Always",""
"socialdev_papq_35","Integer","","Recommended","You slap your child when he/she has dome something wrong.","0 :: 4","0 = Never ; 1=  Almost never ; 2=  Sometimes ; 3=  Often ; 4 = Always",""
