"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"eventname","String","60","Required","The event name for which the data was collected","","",""
"socialdev_ppd_01","Integer","","Recommended","Cares about others' feelings.","0::3","0 = Not at all true; 1=  Somewhat true; 2=  Very true; 3 = Definitely true",""
"socialdev_ppd_02","Integer","","Recommended","Feels bad for others when they get hurt.","0::3","0 = Not at all true; 1=  Somewhat true; 2=  Very true; 3 = Definitely true",""
"socialdev_ppd_03","Integer","","Recommended","Feels sorry for kids who get picked on.","0::3","0 = Not at all true; 1=  Somewhat true; 2=  Very true; 3 = Definitely true",""
"socialdev_ppd_04","Integer","","Recommended","Would get upset if he/she saw an animal being hurt.","0::3","0 = Not at all true; 1=  Somewhat true; 2=  Very true; 3 = Definitely true",""
"socialdev_ppd_05","Integer","","Recommended","Does not care who he/she hurts to get what he/she wants.","0::3","0 = Not at all true; 1=  Somewhat true; 2=  Very true; 3 = Definitely true",""
"socialdev_ppd_06","Integer","","Recommended","Seems very cold and uncaring.","0::3","0 = Not at all true; 1=  Somewhat true; 2=  Very true; 3 = Definitely true",""
"socialdev_ppd_07","Integer","","Recommended","The feelings of others are unimportant to him/her.","0::3","0 = Not at all true; 1=  Somewhat true; 2=  Very true; 3 = Definitely true",""
"socialdev_ppd_08","Integer","","Recommended","Does things to help other people without being asked.","0::3","0 = Not at all true; 1=  Somewhat true; 2=  Very true; 3 = Definitely true",""
"socialdev_ppd_09","Integer","","Recommended","Tries to cheer up others when they are sad or upset.","0::3","0 = Not at all true; 1=  Somewhat true; 2=  Very true; 3 = Definitely true",""
"socialdev_ppd_10","Integer","","Recommended","Shares things with other people without being asked.","0::3","0 = Not at all true; 1=  Somewhat true; 2=  Very true; 3 = Definitely true",""
"socialdev_ppd_11","Integer","","Recommended","Does things to make others feel good.","0::3","0 = Not at all true; 1=  Somewhat true; 2=  Very true; 3 = Definitely true",""
"socialdev_ppd_12","Integer","","Recommended","Feels guilty if he/she did something that broke the law.","0::3","0 = Not at all true; 1=  Somewhat true; 2=  Very true; 3 = Definitely true",""
"socialdev_ppd_13","Integer","","Recommended","Apologizes to persons he/she has hurt.","0::3","0 = Not at all true; 1=  Somewhat true; 2=  Very true; 3 = Definitely true",""
"socialdev_ppd_14","Integer","","Recommended","Feels bad or guilty when he/she has done something wrong.","0::3","0 = Not at all true; 1=  Somewhat true; 2=  Very true; 3 = Definitely true",""
"socialdev_ppd_15","Integer","","Recommended","Easily admits to being wrong.","0::3","0 = Not at all true; 1=  Somewhat true; 2=  Very true; 3 = Definitely true",""
"socialdev_ppd_16","Integer","","Recommended","Shows no remorse when he/she has done something wrong.","0::3","0 = Not at all true; 1=  Somewhat true; 2=  Very true; 3 = Definitely true",""
"socialdev_ppd_17","Integer","","Recommended","Does not care if he/she is in trouble.","0::3","0 = Not at all true; 1=  Somewhat true; 2=  Very true; 3 = Definitely true",""
"socialdev_ppd_18","Integer","","Recommended","Cares about what is right and wrong.","0::3","0 = Not at all true; 1=  Somewhat true; 2=  Very true; 3 = Definitely true",""
"socialdev_ppd_19","Integer","","Recommended","Does not care about being on time.","0::3","0 = Not at all true; 1=  Somewhat true; 2=  Very true; 3 = Definitely true",""
"socialdev_ppd_20","Integer","","Recommended","Tries to do excellent work in school and work.","0::3","0 = Not at all true; 1=  Somewhat true; 2=  Very true; 3 = Definitely true",""
"socialdev_ppd_21","Integer","","Recommended","Enjoys learning new and interesting things.","0::3","0 = Not at all true; 1=  Somewhat true; 2=  Very true; 3 = Definitely true",""
"socialdev_ppd_22","Integer","","Recommended","Wants everyone to follow the rules  including him/herself.","0::3","0 = Not at all true; 1=  Somewhat true; 2=  Very true; 3 = Definitely true",""
"socialdev_ppd_23","Integer","","Recommended","Works hard on everything.","0::3","0 = Not at all true; 1=  Somewhat true; 2=  Very true; 3 = Definitely true",""
"socialdev_ppd_24","Integer","","Recommended","Always tries his/her best.","0::3","0 = Not at all true; 1=  Somewhat true; 2=  Very true; 3 = Definitely true",""
"socialdev_ppd_25","Integer","","Recommended","Does not care about doing things well.","0::3","0 = Not at all true; 1=  Somewhat true; 2=  Very true; 3 = Definitely true",""
"socialdev_ppd_26","Integer","","Recommended","Cares about how well he/she does in school or work.","0::3","0 = Not at all true; 1=  Somewhat true; 2=  Very true; 3 = Definitely true",""
"socialdev_ppd_27","Integer","","Recommended","Does not like to put the time into doing things well.","0::3","0 = Not at all true; 1=  Somewhat true; 2=  Very true; 3 = Definitely true",""
"socialdev_ppd_29","Integer","","Recommended","Had fights with others to show who was on top.","0::2","0 = Never; 1 = Sometimes; 2=  Often",""
"socialdev_ppd_30","Integer","","Recommended","Taken things from other students.","0::2","0 = Never; 1 = Sometimes; 2=  Often",""
"socialdev_ppd_31","Integer","","Recommended","Vandalized something for fun.","0::2","0 = Never; 1 = Sometimes; 2=  Often",""
"socialdev_ppd_32","Integer","","Recommended","Had a gang fight to be cool.","0::2","0 = Never; 1 = Sometimes; 2=  Often",""
"socialdev_ppd_33","Integer","","Recommended","Hurt others to win a game.","0::2","0 = Never; 1 = Sometimes; 2=  Often",""
"socialdev_ppd_34","Integer","","Recommended","Used physical force to get others to do what he/she wants.","0::2","0 = Never; 1 = Sometimes; 2=  Often",""
"socialdev_ppd_35","Integer","","Recommended","Used force to obtain money or things from others.","0::2","0 = Never; 1 = Sometimes; 2=  Often",""
"socialdev_ppd_36","Integer","","Recommended","Threatened and bullied someone.","0::2","0 = Never; 1 = Sometimes; 2=  Often",""
"socialdev_ppd_37","Integer","","Recommended","Made obscene phone calls for fun.","0::2","0 = Never; 1 = Sometimes; 2=  Often",""
"socialdev_ppd_38","Integer","","Recommended","Gotten others to gang up on someone else.","0::2","0 = Never; 1 = Sometimes; 2=  Often",""
"socialdev_ppd_39","Integer","","Recommended","Carried a weapon to use in a fight.","0::2","0 = Never; 1 = Sometimes; 2=  Often",""
"socialdev_ppd_40","Integer","","Recommended","Yelled at others so they would do things for him/her.","0::2","0 = Never; 1 = Sometimes; 2=  Often",""
"socialdev_ppd_41","Integer","","Recommended","Yelled at others when they have annoyed him/her.","0::2","0 = Never; 1 = Sometimes; 2=  Often",""
"socialdev_ppd_42","Integer","","Recommended","Reacted angrily when provoked by others.","0::2","0 = Never; 1 = Sometimes; 2=  Often",""
"socialdev_ppd_43","Integer","","Recommended","Gotten angry when frustrated.","0::2","0 = Never; 1 = Sometimes; 2=  Often",""
"socialdev_ppd_44","Integer","","Recommended","Had temper tantrums.","0::2","0 = Never; 1 = Sometimes; 2=  Often",""
