"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"eventname","String","60","Required","The event name for which the data was collected","","",""
"bpm_t_scr_attention_r","Float","","Recommended","Raw Score:  bpmt_q1 plus  bpmt_q3 plus  bpmt_q4 plus  bpmt_q5 plus  bpmt_q9 plus  bpmt_q13 Validation: All items must be answered","","","bpmt_scr_attention_r"
"bpm_t_scr_attention_t","Float","","Recommended","T-Score","","T scores are based on the ""r"" score and the sex at birth (male or female) of the child","bpmt_scr_attention_t"
"bpm_t_scr_attention_nm","Float","","Recommended","Number Missing Answers","","","bpmt_scr_attention_nm"
"bpm_t_scr_attention_nt","Float","","Recommended","Number Total Questions","","","bpmt_scr_attention_nt"
"bpm_t_ss_attention_mean","Float","","Recommended","Mean: Mean(bpmt_q1 plus  bpmt_q3 plus  bpmt_q4 plus  bpmt_q5 plus  bpmt_q9 plus  bpmt_q13); Validation: All items must be answered","","","bpmt_ss_attention_mean"
"bpm_t_ss_attention_nm","Float","","Recommended","Number Missing Answers","","","bpmt_ss_attention_nm"
"bpm_t_ss_attention_nt","Float","","Recommended","Number Total Questions","","","bpmt_ss_attention_nt"
"bpm_t_scr_internal_r","Float","","Recommended","Raw Score: bpmt_q8 plus  bpmt_q10 plus  bpmt_q11 plus  bpmt_q12 plus  bpmt_q17 plus  bpmt_q18); Validation: All items must be answered","","","bpmt_scr_internal_r"
"bpm_t_scr_internal_t","Float","","Recommended","T-Score","","","bpmt_scr_internal_t"
"bpm_t_scr_internal_nm","Float","","Recommended","Number Missing Answers","","","bpmt_scr_internal_nm"
"bpm_t_scr_internal_nt","Float","","Recommended","Number Total Questions","","","bpmt_scr_internal_nt"
"bpm_t_ss_internal_mean","Float","","Recommended","Mean: Mean(bpmt_q8 plus  bpmt_q10 plus  bpmt_q11 plus  bpmt_q12 plus  bpmt_q17 plus  bpmt_q18); Validation: All items must be answered","","","bpmt_ss_internal_mean"
"bpm_t_ss_internal_nm","Float","","Recommended","Number Missing Answers","","","bpmt_ss_internal_nm"
"bpm_t_ss_internal_nt","Float","","Recommended","Number Total Questions","","","bpmt_ss_internal_nt"
"bpm_t_scr_external_r","Float","","Recommended","Raw Score: bpmt_q2 plus  bpmt_q6 plus  bpmt_q7 plus  bpmt_q14 plus  bpmt_q15 plus  bpmt_q16; Validation: All items must be answered","","","bpmt_scr_external_r"
"bpm_t_scr_external_t","Float","","Recommended","T-Score","","","bpmt_scr_external_t"
"bpm_t_scr_external_nm","Float","","Recommended","Number Missing Answers","","","bpmt_scr_external_nm"
"bpm_t_scr_external_nt","Float","","Recommended","Number Total Questions","","","bpmt_scr_external_nt"
"bpm_t_ss_external_mean","Float","","Recommended","Mean: Mean(bpmt_q2 plus  bpmt_q6 plus  bpmt_q7 plus  bpmt_q14 plus  bpmt_q15 plus  bpmt_q16); Validation: All items must be answered","","","bpmt_ss_external_mean"
"bpm_t_ss_external_nm","Float","","Recommended","Number Missing Answers","","","bpmt_ss_external_nm"
"bpm_t_ss_external_nt","Float","","Recommended","Number Total Questions","","","bpmt_ss_external_nt"
"bpm_t_scr_totalprob_r","Float","","Recommended","Raw Score: bpmt_q1 plus  bpmt_q2 plus  bpmt_q3 plus  bpmt_q4 plus  bpmt_q5 plus  bpmt_q6 plus  bpmt_q7 plus  bpmt_q8 plus  bpmt_q9 plus  bpmt_q10 plus  bpmt_q11 plus  bpmt_q12 plus  bpmt_q13 plus  bpmt_q14 plus  bpmt_q15 plus  bpmt_q16 plus bpmt_q17 plus  bpmt_q18; Validation: All items must be answered","","","bpmt_scr_totalprob_r"
"bpm_t_scr_totalprob_t","Float","","Recommended","T-Score","","","bpmt_scr_totalprob_t"
"bpm_t_scr_totalprob_nm","Float","","Recommended","Number Missing Answers","","","bpmt_scr_totalprob_nm"
"bpm_t_scr_totalprob_nt","Float","","Recommended","Number Total Questions","","","bpmt_scr_totalprob_nt"
"bpm_t_ss_totalprob_mean","Float","","Recommended","Mean: Mean(bpmt_q1 plus  bpmt_q2 plus  bpmt_q3 plus  bpmt_q4 plus bpmt_q5 plus  bpmt_q6 plus  bpmt_q7 plus  bpmt_q8 plus bpmt_q9 plus  bpmt_q10 plus  bpmt_q11 plus  bpmt_q12 plus bpmt_q13 plus  bpmt_q14 plus  bpmt_q15 plus  bpmt_q16 plus bpmt_q17 plus  bpmt_q18); Validation: All items must be answered","","","bpmt_ss_totalprob_mean"
"bpm_t_ss_totalprob_nm","Float","","Recommended","Number Missing Answers","","","bpmt_ss_totalprob_nm"
"bpm_t_ss_totalprob_nt","Float","","Recommended","Number Total Questions","","","bpmt_ss_totalprob_nt"
