"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"eventname","String","60","Recommended","The event name for which the data was collected","","",""
"stq_y_ss_weekday","Float","","Recommended","Screen Time Youth: Weekday Sum:  screen1_wkdy_y + screen2_wkdy_y + screen3_wkdy_y + screen4_wkdy_y + screen5_wkdy_y + screen_wkdy_y; Validation: No minimum","","Sharif, I., Wills, T. A., et al. (2010)  Effect of visual media use on school performance: a prospective study.  J Adolesc Health 46(1): 52-61.","screentime_ss_weekday"
"stq_y_ss_weekday_nm","Integer","","Recommended","Screen Time Youth, Weekday Sum:  Number Missing Answers","","","screentime_ss_weekday_nm"
"stq_y_ss_weekday_nt","Integer","","Recommended","Screen Time Youth, Weekday Sum:  Number Total Questions","","","screentime_ss_weekday_nt"
"stq_y_ss_weekend","Float","","Recommended","Screen Time Youth: Weekend Sum: screen7_wknd_y plus screen8_wknd_y plus screen9_wknd_y plus screen10_wknd_y plus screen11_wknd plus screen12_wknd_y; Validation: No minimum","","Sharif, I., Wills, T. A., et al. (2010)  Effect of visual media use on school performance: a prospective study.  J Adolesc Health 46(1): 52-61.","screentime_ss_weekend"
"stq_y_ss_weekend_nm","Integer","","Recommended","Screen Time Youth, Weekend Sum:  Number Missing Answers","","","screentime_ss_weekend_nm"
"stq_y_ss_weekend_nt","Integer","","Recommended","Screen Time Youth, Weekend Sum:  Number Total Questions","","","screentime_ss_weekend_nt"
"pstr_ss_pr","Float","","Recommended","prorate the  sum of the 10 questions","","",""
"erq_ss_reappraisal_pr","Integer","","Recommended","prorate the  sum of Qs 2,4,6","","",""
"erq_ss_suppress_pr","Integer","","Recommended","prorate the  sum of Qs 1,3,5","","",""
