"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"eventname","String","60","Recommended","The event name for which the data was collected","","",""
"pds_y_ss_male_category","Integer","","Recommended","Pubertal Developmental Scale Youth,  Male Category:  pds_y_ss_m_cat_sum (sum_y_m) = pds_bdyhair_y + pds_m4_y + pds_m5_y;   1 - prepuberty  -  sum_y_m = 3,  2 - early puberty  -  sum_y_m >= 4 and <= 5,  3 - mid puberty  -   sum_y_m >= 6 and <= 8,  4 - late puberty  -   sum_y_m >= 9 and <=11,  5 - post puberty  -  sum_y_m = 12; Validation: All items must be answered","","Petersen, A. C., Crockett, L., et al. (1988)  A self-report measure of pubertal status: Reliability, validity, and initial norms. J Youth Adolesc 17(2): 117-133.","pubertdev_ss_male_category"
"pds_y_ss_male_cat_nm","Integer","","Recommended","Pubertal Developmental Scale Youth, Male Category:  Number Missing Answers","","","pubertdev_ss_male_cat_nm"
"pds_y_ss_male_cat_nt","Integer","","Recommended","Pubertal Developmental Scale Youth, Male Category:  Number Total Questions","","","pubertdev_ss_male_cat_nt"
"pds_y_ss_female_category","Integer","","Recommended","Pubertal Developmental Scale Youth, Female Category: pds_y_ss_f_cat_sum (sum_y_f) = pds_bdyhair_y +  pds_4_2_y;  1 - prepuberty  -  sum_y_f = 2 and pds_5_y = 1,  2 - early puberty  -  sum_y_f  = 3 and pds_5_y = 1,  3 - mid puberty  -  sum_y_f  > 3 and pds_5_y = 4, 4 - late puberty  -  sum_y_f = <= 7 and pds_5_y = 4,  5 - post puberty  -  sum_y_f = 8 and pds_5_y = 4;  Validation: All items must be answered","","Petersen, A. C., Crockett, L., et al. (1988)  A self-report measure of pubertal status: Reliability, validity, and initial norms. J Youth Adolesc 17(2): 117-133.","pubertdev_ss_female_category"
"pds_y_ss_female_cat_nm","Integer","","Recommended","Pubertal Developmental Scale Youth, Female Category:  Number Missing Answers","","","pubertdev_ss_female_cat_nm"
"pds_y_ss_female_cat_nt","Integer","","Recommended","Pubertal Developmental Scale Youth, Female Category:  Number Total Questions","","","pubertdev_ss_female_cat_nt"
"pds_y_ss_female_cat_2_nm","Integer","","Recommended","Pubertal Developmental Scale Youth: Female Category; Number Missing Answers","","","pubertdev_ss_female_category2_nm"
"pds_y_ss_female_cat_2_nt","Integer","","Recommended","Pubertal Developmental Scale Youth: Female Category; Number Total Questions","","","pubertdev_ss_female_category2_nt"
"pds_y_ss_female_category_2","Integer","","Recommended","Pubertal Developmental Scale Youth: Female Category - based on sex at birth; pubertdev_sum_y_f  = pubertdev_bdyhair plus  pubertdev_f4; 1 - prepuberty -  pubertdev_sum_y_f = 2 and pubertdev_f5= 1; 2 - early puberty -  pubertdev_sum_y_f  = 3 and pubertdev_f5 = 1; 3 - mid puberty -  pubertdev_sum_y_f  > 3 and pubertdev_f5 = 1; 4 - late puberty -  pubertdev_sum_y_f = <=7 and pubertdev_f5 = 4; 5 - post puberty -   pubertdev_sum_y_f = 8 and pubertdev_f5  = 4; Validation: All items must be answered","","","pubertdev_ss_female_category2"
"pds_y_ss_male_cat_2","Integer","","Recommended","Pubertal Developmental Scale Youth: Male Category - based on sex at birth; pubertdev_sum_y_m = pubertdev_2  plus pubertdev_m4 plus pubertdev_m5;  1 - prepuberty pubertdev_sum_y_m = 3;  2 - early puberty  pubertdev_sum_y_m  >= 4 and <=5;  3 - mid puberty   pubertdev_sum_y_m  >=6 and <=8;  4 - late puberty   pubertdev_sum_y_m  >= 9 and <= 11;  5 - post puberty  pubertdev_sum_y_m = 12; Validation: All items must be answered","","","pubertdev_ss_male_category2"
"pds_y_ss_male_cat_2_nm","Integer","","Recommended","Pubertal Developmental Scale Youth: Male Category; Number Missing Answers","","","pubertdev_ss_male_category2_nm"
"pds_y_ss_male_cat_2_nt","Integer","","Recommended","Pubertal Developmental Scale Youth: Male Category; Number Total Questions","","","pubertdev_ss_male_category2_nt"
