"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"eventname","String","60","Required","The event name for which the data was collected","","",""
"tfmri_sst_beh_visitid","String","60","Recommended","Visit Name","","","tfmri_sst_beh_visitid"
"tfmri_sst_beh_switchflag","Integer","","Recommended","Box was switched","0;1","1=switched; 0= not switched","tfmri_sst_beh_switch.flag"
"tfmri_sst_beh_performflag","Integer","","Recommended","Whether the participant had an acceptable performance in the task; all trial types must yield more than 3 events for both positive and negative feedback","0;1","1= acceptable; 0= not acceptable","tfmri_sst_beh_perform.flag"
"tfmri_sst_nbeh_nruns","Integer","","Recommended","Number of valid runs in the file","","","tfmri_sst_nbeh_nruns"
"tfmri_sst_all_beh_go_nt","Integer","","Recommended","Total number of ""Go"" trials","","","tfmri_sst_all_beh_go_numtrials"
"tfmri_sst_all_beh_s_nt","Integer","","Recommended","Total number of ""Stop"" trials","","","tfmri_sst_all_beh_stop_numtrials"
"tfmri_sst_all_beh_total_nt","Integer","","Recommended","Total number of trials","","","tfmri_sst_all_beh_total_numtrials"
"tfmri_sst_r1_beh_go_nt","Integer","","Recommended","Total number of ""Go"" trials in run 1","","","tfmri_sst_run1_beh_go_numtrials"
"tfmri_sst_r1_beh_s_nt","Integer","","Recommended","Total number of ""Stop"" trials in run 1","","","tfmri_sst_run1_beh_stop_numtrials"
"tfmri_sst_r2_beh_go_nt","Integer","","Recommended","Total number of ""Go"" trials in run 2","","","tfmri_sst_run2_beh_go_numtrials"
"tfmri_sst_r2_beh_s_nt","Integer","","Recommended","Total number of ""Stop"" trials in run 2","","","tfmri_sst_run2_beh_stop_numtrials"
"tfmri_sst_all_beh_crgo_nt","Integer","","Recommended","Total number of correct ""Go"" trials","","","tfmri_sst_all_beh_correct.go_numtrials,tfmri_sst_all_beh_correctgo_numtrials"
"tfmri_sst_r1_beh_crgo_nt","Integer","","Recommended","Total number of correct ""Go"" trials in run 1","","","tfmri_sst_run1_beh_correct.go_numtrials,tfmri_sst_run1_beh_correctgo_numtrials"
"tfmri_sst_r2_beh_crgo_nt","Integer","","Recommended","Total number of correct ""Go"" trials in run 2","","","tfmri_sst_run2_beh_correct.go_numtrials,tfmri_sst_run2_beh_correctgo_numtrials"
"tfmri_sst_all_beh_crgo_rt","Float","","Recommended","Rate of correct ""Go"" trials","","","tfmri_sst_all_beh_correct.go_rate,tfmri_sst_all_beh_correctgo_rate"
"tfmri_sst_r1_beh_crgo_rt","Float","","Recommended","Rate of correct ""Go"" trials in run 1","","","tfmri_sst_run1_beh_correct.go_rate,tfmri_sst_run1_beh_correctgo_rate"
"tfmri_sst_r2_beh_crgo_rt","Float","","Recommended","Rate of correct ""Go"" trials in run 2","","","tfmri_sst_run2_beh_correct.go_rate,tfmri_sst_run2_beh_correctgo_rate"
"tfmri_sst_all_beh_crgo_mrt","Float","","Recommended","Mean response time for all correct ""Go"" trials","","","tfmri_sst_all_beh_correct.go_mean.rt,tfmri_sst_all_beh_correctgo_meanrt"
"tfmri_sst_all_beh_crgo_stdrt","Float","","Recommended","Standard deviation of response times for all correct ""Go"" trials","","","tfmri_sst_all_beh_correct.go_std.rt,tfmri_sst_all_beh_correctgo_stdrt"
"tfmri_sst_r1_beh_crgo_mrt","Float","","Recommended","Mean response time for all correct ""Go"" trials in run 1","","","tfmri_sst_run1_beh_correct.go_mean.rt,tfmri_sst_run1_beh_correctgo_meanrt"
"tfmri_sst_r1_beh_crgo_stdrt","Float","","Recommended","Standard deviation of response times for all correct ""Go"" trials in run 1","","","tfmri_sst_run1_beh_correct.go_std.rt,tfmri_sst_run1_beh_correctgo_stdrt"
"tfmri_sst_r2_beh_crgo_mrt","Float","","Recommended","Mean response time for all correct ""Go"" trials in run 2","","","tfmri_sst_run2_beh_correct.go_mean.rt,tfmri_sst_run2_beh_correctgo_meanrt"
"tfmri_sst_r2_beh_crgo_stdrt","Float","","Recommended","Standard deviation of response times for all correct ""Go"" trials in run 2","","","tfmri_sst_run2_beh_correct.go_std.rt,tfmri_sst_run2_beh_correctgo_stdrt"
"tfmri_sst_all_beh_crlg_nt","Integer","","Recommended","Total number of ""Go"" trials that were correctly answered late","","","tfmri_sst_all_beh_correct.late.go_numtrials,tfmri_sst_all_beh_correctlatego_numtrials"
"tfmri_sst_r1_beh_crlg_nt","Integer","","Recommended","Total number of ""Go"" trials that were correctly answered late in run 1","","","tfmri_sst_run1_beh_correct.late.go_numtrials,tfmri_sst_run1_beh_correctlatego_numtrials"
"tfmri_sst_r2_beh_crlg_nt","Integer","","Recommended","Total number of ""Go"" trials that were correctly answered late in run 2","","","tfmri_sst_run2_beh_correct.late.go_numtrials,tfmri_sst_run2_beh_correctlatego_numtrials"
"tfmri_sst_all_beh_crlg_rt","Float","","Recommended","Rate of correct ""Go"" trials answered late","","","tfmri_sst_all_beh_correct.late.go_rate,tfmri_sst_all_beh_correctlatego_rate"
"tfmri_sst_r1_beh_crlg_rt","Float","","Recommended","Rate of correct ""Go"" trials answered late in run 1","","","tfmri_sst_run1_beh_correct.late.go_rate,tfmri_sst_run1_beh_correctlatego_rate"
"tfmri_sst_r2_beh_crlg_rt","Float","","Recommended","Rate of correct ""Go"" trials answered late in run 2","","","tfmri_sst_run2_beh_correct.late.go_rate,tfmri_sst_run2_beh_correctlatego_rate"
"tfmri_sst_all_beh_crlg_mrt","Float","","Recommended","Mean response time for all correct but late ""Go"" trials","","","tfmri_sst_all_beh_correct.late.go_mean.rt,tfmri_sst_all_beh_correctlatego_meanrt"
"tfmri_sst_all_beh_crlg_stdrt","Float","","Recommended","Standard deviation of response times for all correct but late ""Go"" trials","","","tfmri_sst_all_beh_correct.late.go_std.rt,tfmri_sst_all_beh_correctlatego_stdrt"
"tfmri_sst_r1_beh_crlg_mrt","Float","","Recommended","Mean response time for all correct but late ""Go"" trials in run 1","","","tfmri_sst_run1_beh_correct.late.go_mean.rt,tfmri_sst_run1_beh_correctlatego_meanrt"
"tfmri_sst_r1_beh_crlg_stdrt","Float","","Recommended","Standard deviation of response times for all correct but late ""Go"" trials in run 1","","","tfmri_sst_run1_beh_correct.late.go_std.rt,tfmri_sst_run1_beh_correctlatego_stdrt"
"tfmri_sst_r2_beh_crlg_mrt","Float","","Recommended","Mean response time for all correct but late ""Go"" trials in run 2","","","tfmri_sst_run2_beh_correct.late.go_mean.rt,tfmri_sst_run2_beh_correctlatego_meanrt"
