"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"eventname","String","60","Required","The event name for which the data was collected","","",""
"visit","String","60","Recommended","Visit name","","","t2w_manu_postqc_visitid"
"t2w_postqc_containertype","String","30","Recommended","Container type","","","t2w_manu_postqc_containertype"
"t2w_postqc_stype","String","30","Recommended","Series type","","","t2w_manu_postqc_stype"
"t2w_postqc_nrev","Integer","","Recommended","Number of reviews","0::4","","t2w_manu_postqc_nrev"
"t2w_postqc_revdisp","Integer","","Recommended","Disparity between reviewers","0;1","0 = reject; 1 = accept","t2w_manu_postqc_revdisp"
"t2w_postqc_qc","Integer","","Recommended","Overall QC score","0;1","0 = no disparity; 1 = disparity between raters","t2w_manu_postqc_qc"
"t2w_postqc_regt1","Integer","","Recommended","Registration error score (0=good registration, 1=mild rotation or translation, 2=moderate rotation or translation, 3=severe rotation or translation)","0::3","0 = absent; 1 = mild; 2 = moderate; 3 = severe","t2w_manu_postqc_regt1"
"t2w_postqc_motion","Integer","","Recommended","Motion score (0=no motion, 1=mild motion, 2=moderate motion, 3=severe motion artifact)","0::3","0 = absent; 1 = mild; 2 = moderate; 3 = severe","t2w_manu_postqc_motion"
"t2w_postqc_inhomogeneity","Integer","","Recommended","Inhomogeneity score (0=no inhomogeneity, 1=mild inhomogeneity, 2=moderate inhomogeneity, 3=severe inhomogeneity)","0::3","0 = absent; 1 = mild; 2 = moderate; 3 = severe","t2w_manu_postqc_inhomogeneity"
"t2w_postqc_artifact","Integer","","Recommended","Artifact score  (0=no susceptibility artifact, 1=mild artifact, 2=moderate artifact, 3=severe artifact)","0::3","0 = absent; 1 = mild; 2 = moderate; 3 = severe","t2w_manu_postqc_artifact"
"t2w_postqc_notes","String","1000","Recommended","sMRI T2w postprocessing QC Notes","","","t2w_manu_postqc_notes"
