"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"eventname","String","60","Recommended","The event name for which the data was collected","","",""
"tfnbr2bwdp_972","Float","","Recommended","Mean beta weight for run 2 nBack emotional face versus neutral face contrast in right hemisphere cortical Destrieux ROI posterior-ventral part of the cingulate gyrus","","","tfmri_nback_run2_emotion.vs.neutface_beta_cort.destrieux_g.cingul.post.ventral.rh,tfmri_nback_run2_emotionvsneutface_beta_cortdestrieux_gcingulpostventralrh"
"tfnbr2bwdp_973","Float","","Recommended","Mean beta weight for run 2 nBack emotional face versus neutral face contrast in right hemisphere cortical Destrieux ROI cuneus","","","tfmri_nback_run2_emotion.vs.neutface_beta_cort.destrieux_g.cuneus.rh,tfmri_nback_run2_emotionvsneutface_beta_cortdestrieux_gcuneusrh"
"tfnbr2bwdp_974","Float","","Recommended","Mean beta weight for run 2 nBack emotional face versus neutral face contrast in right hemisphere cortical Destrieux ROI opercular part of the inferior frontal gyrus","","","tfmri_nback_run2_emotion.vs.neutface_beta_cort.destrieux_g.front.inf.opercular.rh,tfmri_nback_run2_emotionvsneutface_beta_cortdestrieux_gfrontinfopercularrh"
"tfnbr2bwdp_975","Float","","Recommended","Mean beta weight for run 2 nBack emotional face versus neutral face contrast in right hemisphere cortical Destrieux ROI orbital part of the inferior frontal gyrus","","","tfmri_nback_run2_emotion.vs.neutface_beta_cort.destrieux_g.front.inf.orbital.rh,tfmri_nback_run2_emotionvsneutface_beta_cortdestrieux_gfrontinforbitalrh"
"tfnbr2bwdp_976","Float","","Recommended","Mean beta weight for run 2 nBack emotional face versus neutral face contrast in right hemisphere cortical Destrieux ROI triangular part of the inferior frontal gyrus","","","tfmri_nback_run2_emotion.vs.neutface_beta_cort.destrieux_g.front.inf.triangul.rh,tfmri_nback_run2_emotionvsneutface_beta_cortdestrieux_gfrontinftriangulrh"
"tfnbr2bwdp_977","Float","","Recommended","Mean beta weight for run 2 nBack emotional face versus neutral face contrast in right hemisphere cortical Destrieux ROI middle frontal gyrus","","","tfmri_nback_run2_emotion.vs.neutface_beta_cort.destrieux_g.front.middle.rh,tfmri_nback_run2_emotionvsneutface_beta_cortdestrieux_gfrontmiddlerh"
"tfnbr2bwdp_978","Float","","Recommended","Mean beta weight for run 2 nBack emotional face versus neutral face contrast in right hemisphere cortical Destrieux ROI superior frontal gyrus","","","tfmri_nback_run2_emotion.vs.neutface_beta_cort.destrieux_g.front.sup.rh,tfmri_nback_run2_emotionvsneutface_beta_cortdestrieux_gfrontsuprh"
"tfnbr2bwdp_979","Float","","Recommended","Mean beta weight for run 2 nBack emotional face versus neutral face contrast in right hemisphere cortical Destrieux ROI long insular gyrus and central sulcus of the insula","","","tfmri_nback_run2_emotion.vs.neutface_beta_cort.destrieux_g.ins.lg.and.s.cent.ins.rh,tfmri_nback_run2_emotionvsneutface_beta_cortdestrieux_ginslgandscentinsrh"
"tfnbr2bwdp_980","Float","","Recommended","Mean beta weight for run 2 nBack emotional face versus neutral face contrast in right hemisphere cortical Destrieux ROI short insular gyri","","","tfmri_nback_run2_emotion.vs.neutface_beta_cort.destrieux_g.insular.short.rh,tfmri_nback_run2_emotionvsneutface_beta_cortdestrieux_ginsularshortrh"
"tfnbr2bwdp_981","Float","","Recommended","Mean beta weight for run 2 nBack emotional face versus neutral face contrast in right hemisphere cortical Destrieux ROI middle occipital gyrus","","","tfmri_nback_run2_emotion.vs.neutface_beta_cort.destrieux_g.occipital.middle.rh,tfmri_nback_run2_emotionvsneutface_beta_cortdestrieux_goccipitalmiddlerh"
"tfnbr2bwdp_982","Float","","Recommended","Mean beta weight for run 2 nBack emotional face versus neutral face contrast in right hemisphere cortical Destrieux ROI superior occipital gyrus","","","tfmri_nback_run2_emotion.vs.neutface_beta_cort.destrieux_g.occipital.sup.rh,tfmri_nback_run2_emotionvsneutface_beta_cortdestrieux_goccipitalsuprh"
"tfnbr2bwdp_983","Float","","Recommended","Mean beta weight for run 2 nBack emotional face versus neutral face contrast in right hemisphere cortical Destrieux ROI lateral occipito-temporal gyrus","","","tfmri_nback_run2_emotion.vs.neutface_beta_cort.destrieux_g.oc.temp.lat.fusifor.rh,tfmri_nback_run2_emotionvsneutface_beta_cortdestrieux_goctemplatfusiforrh"
"tfnbr2bwdp_984","Float","","Recommended","Mean beta weight for run 2 nBack emotional face versus neutral face contrast in right hemisphere cortical Destrieux ROI lingual gyrus","","","tfmri_nback_run2_emotion.vs.neutface_beta_cort.destrieux_g.oc.temp.med.lingual.rh,tfmri_nback_run2_emotionvsneutface_beta_cortdestrieux_goctempmedlingualrh"
"tfnbr2bwdp_985","Float","","Recommended","Mean beta weight for run 2 nBack emotional face versus neutral face contrast in right hemisphere cortical Destrieux ROI parahippocampal gyrus","","","tfmri_nback_run2_emotion.vs.neutface_beta_cort.destrieux_g.oc.temp.med.parahip.rh,tfmri_nback_run2_emotionvsneutface_beta_cortdestrieux_goctempmedparahiprh"
"tfnbr2bwdp_986","Float","","Recommended","Mean beta weight for run 2 nBack emotional face versus neutral face contrast in right hemisphere cortical Destrieux ROI orbital gyri","","","tfmri_nback_run2_emotion.vs.neutface_beta_cort.destrieux_g.orbital.rh,tfmri_nback_run2_emotionvsneutface_beta_cortdestrieux_gorbitalrh"
"tfnbr2bwdp_987","Float","","Recommended","Mean beta weight for run 2 nBack emotional face versus neutral face contrast in right hemisphere cortical Destrieux ROI angular gyrus","","","tfmri_nback_run2_emotion.vs.neutface_beta_cort.destrieux_g.pariet.inf.angular.rh,tfmri_nback_run2_emotionvsneutface_beta_cortdestrieux_gparietinfangularrh"
"tfnbr2bwdp_988","Float","","Recommended","Mean beta weight for run 2 nBack emotional face versus neutral face contrast in right hemisphere cortical Destrieux ROI supramarginal gyrus","","","tfmri_nback_run2_emotion.vs.neutface_beta_cort.destrieux_g.pariet.inf.supramar.rh,tfmri_nback_run2_emotionvsneutface_beta_cortdestrieux_gparietinfsupramarrh"
"tfnbr2bwdp_989","Float","","Recommended","Mean beta weight for run 2 nBack emotional face versus neutral face contrast in right hemisphere cortical Destrieux ROI superior parietal lobule","","","tfmri_nback_run2_emotion.vs.neutface_beta_cort.destrieux_g.parietal.sup.rh,tfmri_nback_run2_emotionvsneutface_beta_cortdestrieux_gparietalsuprh"
"tfnbr2bwdp_990","Float","","Recommended","Mean beta weight for run 2 nBack emotional face versus neutral face contrast in right hemisphere cortical Destrieux ROI postcentral gyrus","","","tfmri_nback_run2_emotion.vs.neutface_beta_cort.destrieux_g.postcentral.rh,tfmri_nback_run2_emotionvsneutface_beta_cortdestrieux_gpostcentralrh"
