"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"eventname","String","60","Recommended","The event name for which the data was collected","","",""
"tfsstabwdp_917","Float","","Recommended","Mean beta weight for SST incorrect go versus incorrect stop contrast in left hemisphere cortical Destrieux ROI precentral gyrus","","","tfmri_sst_all_incorrect.go.vs.incorrect.stop_beta_cort.destrieux_g.precentral.lh,tfmri_sst_all_incorrectgovsincorrectstop_beta_cortdestrieux_gprecentrallh"
"tfsstabwdp_918","Float","","Recommended","Mean beta weight for SST incorrect go versus incorrect stop contrast in left hemisphere cortical Destrieux ROI precuneus","","","tfmri_sst_all_incorrect.go.vs.incorrect.stop_beta_cort.destrieux_g.precuneus.lh,tfmri_sst_all_incorrectgovsincorrectstop_beta_cortdestrieux_gprecuneuslh"
"tfsstabwdp_919","Float","","Recommended","Mean beta weight for SST incorrect go versus incorrect stop contrast in left hemisphere cortical Destrieux ROI gyrus rectus","","","tfmri_sst_all_incorrect.go.vs.incorrect.stop_beta_cort.destrieux_g.rectus.lh,tfmri_sst_all_incorrectgovsincorrectstop_beta_cortdestrieux_grectuslh"
"tfsstabwdp_920","Float","","Recommended","Mean beta weight for SST incorrect go versus incorrect stop contrast in left hemisphere cortical Destrieux ROI subcallosal gyrus","","","tfmri_sst_all_incorrect.go.vs.incorrect.stop_beta_cort.destrieux_g.subcallosal.lh,tfmri_sst_all_incorrectgovsincorrectstop_beta_cortdestrieux_gsubcallosallh"
"tfsstabwdp_921","Float","","Recommended","Mean beta weight for SST incorrect go versus incorrect stop contrast in left hemisphere cortical Destrieux ROI anterior transverse temporal gyrus","","","tfmri_sst_all_incorrect.go.vs.incorrect.stop_beta_cort.destrieux_g.temp.sup.g.t.transv.lh,tfmri_sst_all_incorrectgovsincorrectstop_beta_cortdestrieux_gtempsupgttransvlh"
"tfsstabwdp_922","Float","","Recommended","Mean beta weight for SST incorrect go versus incorrect stop contrast in left hemisphere cortical Destrieux ROI lateral aspect of the superior temporal gyrus","","","tfmri_sst_all_incorrect.go.vs.incorrect.stop_beta_cort.destrieux_g.temp.sup.lateral.lh,tfmri_sst_all_incorrectgovsincorrectstop_beta_cortdestrieux_gtempsuplaterallh"
"tfsstabwdp_923","Float","","Recommended","Mean beta weight for SST incorrect go versus incorrect stop contrast in left hemisphere cortical Destrieux ROI planum polare of the superior temporal gyrus","","","tfmri_sst_all_incorrect.go.vs.incorrect.stop_beta_cort.destrieux_g.temp.sup.plan.polar.lh,tfmri_sst_all_incorrectgovsincorrectstop_beta_cortdestrieux_gtempsupplanpolarlh"
"tfsstabwdp_924","Float","","Recommended","Mean beta weight for SST incorrect go versus incorrect stop contrast in left hemisphere cortical Destrieux ROI planum temporale","","","tfmri_sst_all_incorrect.go.vs.incorrect.stop_beta_cort.destrieux_g.temp.sup.plan.tempo.lh,tfmri_sst_all_incorrectgovsincorrectstop_beta_cortdestrieux_gtempsupplantempolh"
"tfsstabwdp_925","Float","","Recommended","Mean beta weight for SST incorrect go versus incorrect stop contrast in left hemisphere cortical Destrieux ROI inferior temporal gyrus","","","tfmri_sst_all_incorrect.go.vs.incorrect.stop_beta_cort.destrieux_g.temporal.inf.lh,tfmri_sst_all_incorrectgovsincorrectstop_beta_cortdestrieux_gtemporalinflh"
"tfsstabwdp_926","Float","","Recommended","Mean beta weight for SST incorrect go versus incorrect stop contrast in left hemisphere cortical Destrieux ROI middle temporal gyrus","","","tfmri_sst_all_incorrect.go.vs.incorrect.stop_beta_cort.destrieux_g.temporal.middle.lh,tfmri_sst_all_incorrectgovsincorrectstop_beta_cortdestrieux_gtemporalmiddlelh"
"tfsstabwdp_927","Float","","Recommended","Mean beta weight for SST incorrect go versus incorrect stop contrast in left hemisphere cortical Destrieux ROI horizontal ramus of the anterior segment of the lateral sulcus","","","tfmri_sst_all_incorrect.go.vs.incorrect.stop_beta_cort.destrieux_lat.fis.ant.horizont.lh,tfmri_sst_all_incorrectgovsincorrectstop_beta_cortdestrieux_latfisanthorizontlh"
"tfsstabwdp_928","Float","","Recommended","Mean beta weight for SST incorrect go versus incorrect stop contrast in left hemisphere cortical Destrieux ROI vertical ramus of the anterior segment of the lateral sulcus","","","tfmri_sst_all_incorrect.go.vs.incorrect.stop_beta_cort.destrieux_lat.fis.ant.vertical.lh,tfmri_sst_all_incorrectgovsincorrectstop_beta_cortdestrieux_latfisantverticallh"
"tfsstabwdp_929","Float","","Recommended","Mean beta weight for SST incorrect go versus incorrect stop contrast in left hemisphere cortical Destrieux ROI posterior ramus of the lateral sulcus","","","tfmri_sst_all_incorrect.go.vs.incorrect.stop_beta_cort.destrieux_lat.fis.post.lh,tfmri_sst_all_incorrectgovsincorrectstop_beta_cortdestrieux_latfispostlh"
"tfsstabwdp_930","Float","","Recommended","Mean beta weight for SST incorrect go versus incorrect stop contrast in left hemisphere cortical Destrieux ROI occipital pole","","","tfmri_sst_all_incorrect.go.vs.incorrect.stop_beta_cort.destrieux_pole.occipital.lh,tfmri_sst_all_incorrectgovsincorrectstop_beta_cortdestrieux_poleoccipitallh"
"tfsstabwdp_931","Float","","Recommended","Mean beta weight for SST incorrect go versus incorrect stop contrast in left hemisphere cortical Destrieux ROI temporal pole","","","tfmri_sst_all_incorrect.go.vs.incorrect.stop_beta_cort.destrieux_pole.temporal.lh,tfmri_sst_all_incorrectgovsincorrectstop_beta_cortdestrieux_poletemporallh"
"tfsstabwdp_932","Float","","Recommended","Mean beta weight for SST incorrect go versus incorrect stop contrast in left hemisphere cortical Destrieux ROI calcarine sulcus","","","tfmri_sst_all_incorrect.go.vs.incorrect.stop_beta_cort.destrieux_s.calcarine.lh,tfmri_sst_all_incorrectgovsincorrectstop_beta_cortdestrieux_scalcarinelh"
"tfsstabwdp_933","Float","","Recommended","Mean beta weight for SST incorrect go versus incorrect stop contrast in left hemisphere cortical Destrieux ROI central sulcus","","","tfmri_sst_all_incorrect.go.vs.incorrect.stop_beta_cort.destrieux_s.central.lh,tfmri_sst_all_incorrectgovsincorrectstop_beta_cortdestrieux_scentrallh"
"tfsstabwdp_934","Float","","Recommended","Mean beta weight for SST incorrect go versus incorrect stop contrast in left hemisphere cortical Destrieux ROI marginal branch of the cingulate sulcus","","","tfmri_sst_all_incorrect.go.vs.incorrect.stop_beta_cort.destrieux_s.cingul.marginalis.lh,tfmri_sst_all_incorrectgovsincorrectstop_beta_cortdestrieux_scingulmarginalislh"
