"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"eventname","String","60","Recommended","The event name for which the data was collected","","",""
"tfsstr1semdp_922","Float","","Recommended","Standard error of the mean for run 1 SST incorrect go versus incorrect stop contrast in left hemisphere cortical Destrieux ROI lateral aspect of the superior temporal gyrus","","","tfmri_sst_run1_incorrect.go.vs.incorrect.stop_sem_cort.destrieux_g.temp.sup.lateral.lh,tfmri_sst_run1_incorrectgovsincorrectstop_sem_cortdestrieux_gtempsuplaterallh"
"tfsstr1semdp_923","Float","","Recommended","Standard error of the mean for run 1 SST incorrect go versus incorrect stop contrast in left hemisphere cortical Destrieux ROI planum polare of the superior temporal gyrus","","","tfmri_sst_run1_incorrect.go.vs.incorrect.stop_sem_cort.destrieux_g.temp.sup.plan.polar.lh,tfmri_sst_run1_incorrectgovsincorrectstop_sem_cortdestrieux_gtempsupplanpolarlh"
"tfsstr1semdp_924","Float","","Recommended","Standard error of the mean for run 1 SST incorrect go versus incorrect stop contrast in left hemisphere cortical Destrieux ROI planum temporale","","","tfmri_sst_run1_incorrect.go.vs.incorrect.stop_sem_cort.destrieux_g.temp.sup.plan.tempo.lh,tfmri_sst_run1_incorrectgovsincorrectstop_sem_cortdestrieux_gtempsupplantempolh"
"tfsstr1semdp_925","Float","","Recommended","Standard error of the mean for run 1 SST incorrect go versus incorrect stop contrast in left hemisphere cortical Destrieux ROI inferior temporal gyrus","","","tfmri_sst_run1_incorrect.go.vs.incorrect.stop_sem_cort.destrieux_g.temporal.inf.lh,tfmri_sst_run1_incorrectgovsincorrectstop_sem_cortdestrieux_gtemporalinflh"
"tfsstr1semdp_926","Float","","Recommended","Standard error of the mean for run 1 SST incorrect go versus incorrect stop contrast in left hemisphere cortical Destrieux ROI middle temporal gyrus","","","tfmri_sst_run1_incorrect.go.vs.incorrect.stop_sem_cort.destrieux_g.temporal.middle.lh,tfmri_sst_run1_incorrectgovsincorrectstop_sem_cortdestrieux_gtemporalmiddlelh"
"tfsstr1semdp_927","Float","","Recommended","Standard error of the mean for run 1 SST incorrect go versus incorrect stop contrast in left hemisphere cortical Destrieux ROI horizontal ramus of the anterior segment of the lateral sulcus","","","tfmri_sst_run1_incorrect.go.vs.incorrect.stop_sem_cort.destrieux_lat.fis.ant.horizont.lh,tfmri_sst_run1_incorrectgovsincorrectstop_sem_cortdestrieux_latfisanthorizontlh"
"tfsstr1semdp_928","Float","","Recommended","Standard error of the mean for run 1 SST incorrect go versus incorrect stop contrast in left hemisphere cortical Destrieux ROI vertical ramus of the anterior segment of the lateral sulcus","","","tfmri_sst_run1_incorrect.go.vs.incorrect.stop_sem_cort.destrieux_lat.fis.ant.vertical.lh,tfmri_sst_run1_incorrectgovsincorrectstop_sem_cortdestrieux_latfisantverticallh"
"tfsstr1semdp_929","Float","","Recommended","Standard error of the mean for run 1 SST incorrect go versus incorrect stop contrast in left hemisphere cortical Destrieux ROI posterior ramus of the lateral sulcus","","","tfmri_sst_run1_incorrect.go.vs.incorrect.stop_sem_cort.destrieux_lat.fis.post.lh,tfmri_sst_run1_incorrectgovsincorrectstop_sem_cortdestrieux_latfispostlh"
"tfsstr1semdp_930","Float","","Recommended","Standard error of the mean for run 1 SST incorrect go versus incorrect stop contrast in left hemisphere cortical Destrieux ROI occipital pole","","","tfmri_sst_run1_incorrect.go.vs.incorrect.stop_sem_cort.destrieux_pole.occipital.lh,tfmri_sst_run1_incorrectgovsincorrectstop_sem_cortdestrieux_poleoccipitallh"
"tfsstr1semdp_931","Float","","Recommended","Standard error of the mean for run 1 SST incorrect go versus incorrect stop contrast in left hemisphere cortical Destrieux ROI temporal pole","","","tfmri_sst_run1_incorrect.go.vs.incorrect.stop_sem_cort.destrieux_pole.temporal.lh,tfmri_sst_run1_incorrectgovsincorrectstop_sem_cortdestrieux_poletemporallh"
"tfsstr1semdp_932","Float","","Recommended","Standard error of the mean for run 1 SST incorrect go versus incorrect stop contrast in left hemisphere cortical Destrieux ROI calcarine sulcus","","","tfmri_sst_run1_incorrect.go.vs.incorrect.stop_sem_cort.destrieux_s.calcarine.lh,tfmri_sst_run1_incorrectgovsincorrectstop_sem_cortdestrieux_scalcarinelh"
"tfsstr1semdp_933","Float","","Recommended","Standard error of the mean for run 1 SST incorrect go versus incorrect stop contrast in left hemisphere cortical Destrieux ROI central sulcus","","","tfmri_sst_run1_incorrect.go.vs.incorrect.stop_sem_cort.destrieux_s.central.lh,tfmri_sst_run1_incorrectgovsincorrectstop_sem_cortdestrieux_scentrallh"
"tfsstr1semdp_934","Float","","Recommended","Standard error of the mean for run 1 SST incorrect go versus incorrect stop contrast in left hemisphere cortical Destrieux ROI marginal branch of the cingulate sulcus","","","tfmri_sst_run1_incorrect.go.vs.incorrect.stop_sem_cort.destrieux_s.cingul.marginalis.lh,tfmri_sst_run1_incorrectgovsincorrectstop_sem_cortdestrieux_scingulmarginalislh"
"tfsstr1semdp_935","Float","","Recommended","Standard error of the mean for run 1 SST incorrect go versus incorrect stop contrast in left hemisphere cortical Destrieux ROI anterior segment of the circular sulcus of the insula","","","tfmri_sst_run1_incorrect.go.vs.incorrect.stop_sem_cort.destrieux_s.circular.insula.ant.lh,tfmri_sst_run1_incorrectgovsincorrectstop_sem_cortdestrieux_scircularinsulaantlh"
"tfsstr1semdp_936","Float","","Recommended","Standard error of the mean for run 1 SST incorrect go versus incorrect stop contrast in left hemisphere cortical Destrieux ROI inferior segment of the circular sulcus of the insula","","","tfmri_sst_run1_incorrect.go.vs.incorrect.stop_sem_cort.destrieux_s.circular.insula.inf.lh,tfmri_sst_run1_incorrectgovsincorrectstop_sem_cortdestrieux_scircularinsulainflh"
"tfsstr1semdp_937","Float","","Recommended","Standard error of the mean for run 1 SST incorrect go versus incorrect stop contrast in left hemisphere cortical Destrieux ROI superior segment of the circular sulcus of the insula","","","tfmri_sst_run1_incorrect.go.vs.incorrect.stop_sem_cort.destrieux_s.circular.insula.sup.lh,tfmri_sst_run1_incorrectgovsincorrectstop_sem_cortdestrieux_scircularinsulasuplh"
"tfsstr1semdp_938","Float","","Recommended","Standard error of the mean for run 1 SST incorrect go versus incorrect stop contrast in left hemisphere cortical Destrieux ROI anterior transverse collateral sulcus","","","tfmri_sst_run1_incorrect.go.vs.incorrect.stop_sem_cort.destrieux_s.collat.transv.ant.lh,tfmri_sst_run1_incorrectgovsincorrectstop_sem_cortdestrieux_scollattransvantlh"
