"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"eventname","String","60","Required","The event name for which the data was collected","","",""
"tr2semdp_976","Float","","Recommended","Standard error of the mean for MID run2 anticipation of large reward versus small reward contrast in cortical Destrieux ROI right hemisphere triangular part of the inferior frontal gyrus","","","tfmri_mid_run2_antic.large.vs.small.reward_sem_cort.destrieux_g.front.inf.triangul.rh,tfmri_mid_run2_anticlargevssmallreward_sem_cortdestrieux_gfrontinftriangulrh"
"tr2semdp_977","Float","","Recommended","Standard error of the mean for MID run2 anticipation of large reward versus small reward contrast in cortical Destrieux ROI right hemisphere middle frontal gyrus","","","tfmri_mid_run2_antic.large.vs.small.reward_sem_cort.destrieux_g.front.middle.rh,tfmri_mid_run2_anticlargevssmallreward_sem_cortdestrieux_gfrontmiddlerh"
"tr2semdp_978","Float","","Recommended","Standard error of the mean for MID run2 anticipation of large reward versus small reward contrast in cortical Destrieux ROI right hemisphere superior frontal gyrus","","","tfmri_mid_run2_antic.large.vs.small.reward_sem_cort.destrieux_g.front.sup.rh,tfmri_mid_run2_anticlargevssmallreward_sem_cortdestrieux_gfrontsuprh"
"tr2semdp_979","Float","","Recommended","Standard error of the mean for MID run2 anticipation of large reward versus small reward contrast in cortical Destrieux ROI right hemisphere long insular gyrus and central sulcus of the insula","","","tfmri_mid_run2_antic.large.vs.small.reward_sem_cort.destrieux_g.ins.lg.and.s.cent.ins.rh,tfmri_mid_run2_anticlargevssmallreward_sem_cortdestrieux_ginslgandscentinsrh"
"tr2semdp_980","Float","","Recommended","Standard error of the mean for MID run2 anticipation of large reward versus small reward contrast in cortical Destrieux ROI right hemisphere short insular gyri","","","tfmri_mid_run2_antic.large.vs.small.reward_sem_cort.destrieux_g.insular.short.rh,tfmri_mid_run2_anticlargevssmallreward_sem_cortdestrieux_ginsularshortrh"
"tr2semdp_981","Float","","Recommended","Standard error of the mean for MID run2 anticipation of large reward versus small reward contrast in cortical Destrieux ROI right hemisphere middle occipital gyrus","","","tfmri_mid_run2_antic.large.vs.small.reward_sem_cort.destrieux_g.occipital.middle.rh,tfmri_mid_run2_anticlargevssmallreward_sem_cortdestrieux_goccipitalmiddlerh"
"tr2semdp_982","Float","","Recommended","Standard error of the mean for MID run2 anticipation of large reward versus small reward contrast in cortical Destrieux ROI right hemisphere superior occipital gyrus","","","tfmri_mid_run2_antic.large.vs.small.reward_sem_cort.destrieux_g.occipital.sup.rh,tfmri_mid_run2_anticlargevssmallreward_sem_cortdestrieux_goccipitalsuprh"
"tr2semdp_983","Float","","Recommended","Standard error of the mean for MID run2 anticipation of large reward versus small reward contrast in cortical Destrieux ROI right hemisphere lateral occipito-temporal gyrus","","","tfmri_mid_run2_antic.large.vs.small.reward_sem_cort.destrieux_g.oc.temp.lat.fusifor.rh,tfmri_mid_run2_anticlargevssmallreward_sem_cortdestrieux_goctemplatfusiforrh"
"tr2semdp_984","Float","","Recommended","Standard error of the mean for MID run2 anticipation of large reward versus small reward contrast in cortical Destrieux ROI right hemisphere lingual gyrus","","","tfmri_mid_run2_antic.large.vs.small.reward_sem_cort.destrieux_g.oc.temp.med.lingual.rh,tfmri_mid_run2_anticlargevssmallreward_sem_cortdestrieux_goctempmedlingualrh"
"tr2semdp_985","Float","","Recommended","Standard error of the mean for MID run2 anticipation of large reward versus small reward contrast in cortical Destrieux ROI right hemisphere parahippocampal gyrus","","","tfmri_mid_run2_antic.large.vs.small.reward_sem_cort.destrieux_g.oc.temp.med.parahip.rh,tfmri_mid_run2_anticlargevssmallreward_sem_cortdestrieux_goctempmedparahiprh"
"tr2semdp_986","Float","","Recommended","Standard error of the mean for MID run2 anticipation of large reward versus small reward contrast in cortical Destrieux ROI right hemisphere orbital gyri","","","tfmri_mid_run2_antic.large.vs.small.reward_sem_cort.destrieux_g.orbital.rh,tfmri_mid_run2_anticlargevssmallreward_sem_cortdestrieux_gorbitalrh"
"tr2semdp_987","Float","","Recommended","Standard error of the mean for MID run2 anticipation of large reward versus small reward contrast in cortical Destrieux ROI right hemisphere angular gyrus","","","tfmri_mid_run2_antic.large.vs.small.reward_sem_cort.destrieux_g.pariet.inf.angular.rh,tfmri_mid_run2_anticlargevssmallreward_sem_cortdestrieux_gparietinfangularrh"
"tr2semdp_988","Float","","Recommended","Standard error of the mean for MID run2 anticipation of large reward versus small reward contrast in cortical Destrieux ROI right hemisphere supramarginal gyrus","","","tfmri_mid_run2_antic.large.vs.small.reward_sem_cort.destrieux_g.pariet.inf.supramar.rh,tfmri_mid_run2_anticlargevssmallreward_sem_cortdestrieux_gparietinfsupramarrh"
"tr2semdp_989","Float","","Recommended","Standard error of the mean for MID run2 anticipation of large reward versus small reward contrast in cortical Destrieux ROI right hemisphere superior parietal lobule","","","tfmri_mid_run2_antic.large.vs.small.reward_sem_cort.destrieux_g.parietal.sup.rh,tfmri_mid_run2_anticlargevssmallreward_sem_cortdestrieux_gparietalsuprh"
"tr2semdp_990","Float","","Recommended","Standard error of the mean for MID run2 anticipation of large reward versus small reward contrast in cortical Destrieux ROI right hemisphere postcentral gyrus","","","tfmri_mid_run2_antic.large.vs.small.reward_sem_cort.destrieux_g.postcentral.rh,tfmri_mid_run2_anticlargevssmallreward_sem_cortdestrieux_gpostcentralrh"
"tr2semdp_991","Float","","Recommended","Standard error of the mean for MID run2 anticipation of large reward versus small reward contrast in cortical Destrieux ROI right hemisphere precentral gyrus","","","tfmri_mid_run2_antic.large.vs.small.reward_sem_cort.destrieux_g.precentral.rh,tfmri_mid_run2_anticlargevssmallreward_sem_cortdestrieux_gprecentralrh"
"tr2semdp_992","Float","","Recommended","Standard error of the mean for MID run2 anticipation of large reward versus small reward contrast in cortical Destrieux ROI right hemisphere precuneus","","","tfmri_mid_run2_antic.large.vs.small.reward_sem_cort.destrieux_g.precuneus.rh,tfmri_mid_run2_anticlargevssmallreward_sem_cortdestrieux_gprecuneusrh"
"tr2semdp_993","Float","","Recommended","Standard error of the mean for MID run2 anticipation of large reward versus small reward contrast in cortical Destrieux ROI right hemisphere gyrus rectus","","","tfmri_mid_run2_antic.large.vs.small.reward_sem_cort.destrieux_g.rectus.rh,tfmri_mid_run2_anticlargevssmallreward_sem_cortdestrieux_grectusrh"
"tr2semdp_994","Float","","Recommended","Standard error of the mean for MID run2 anticipation of large reward versus small reward contrast in cortical Destrieux ROI right hemisphere subcallosal gyrus","","","tfmri_mid_run2_antic.large.vs.small.reward_sem_cort.destrieux_g.subcallosal.rh,tfmri_mid_run2_anticlargevssmallreward_sem_cortdestrieux_gsubcallosalrh"
