"ElementName","DataType","Size","Required","Condition","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"eventname","String","60","Required","","The event name for which the data was collected","","",""
"vancouver_select_language___1","Integer","","Recommended","","¿Español? (1, SÍ)","0 ; 1","0 = No; 1 = Yes","via_accult_select_language_p"
"vancouver_q2_p","Integer","","Recommended","vancouver_q1_ddn_p!=0","I often participate in my heritage cultural traditions. Con frecuencia participo en las tradiciones de mi propia cultura.","1 ; 2 ; 3 ; 4 ; 5 ; 6 ; 7 ; 8 ; 9","1 = Disagree en Desacuerdo; 2 = 2; 3 = 3; 4 = 4; 5 = 5; 6 = 6; 7 = 7; 8 = 8; 9 = Agree en Acuerdo; Please select one of the numbers to the right of each question to indicate your degree of agreement or disagreement. Many of these questions will refer to your heritage culture/culture of origin, meaning the original culture of your family (other than the culture of America or the United States).  It may be the culture of your birth, the culture in which you have been raised, or any socio-cultural group which influenced your family background.  If there are several, pick the one that has influenced you most (for example: Irish, Chinese, Latino, Mexican, Cuban, Puerto-Rican, Black or African-American, Native-American or American Indian, Jewish, Amish, Latter-day Saints/Mormon). If you do not feel that you have been influenced by any other culture, please name a culture that influenced previous generations of your family, or you may choose 0 if you do not identify with a cultural heritage other than American. //Por favor conteste cada pregunta cuidadosamente, seleccionando el nÃºmero de la respuesta que indique su grado de acuerdo o desacuerdo. Procure contestarlas todas. Muchas de estas preguntas son sobre su cultura patrimonio/cultura de origen; es decir, las costumbres y tradiciones que mÃ¡s le hayan influido, no incluyendo las influencias de la cultura americana o estadounidense. Esta cultura puede ser del lugar donde naciÃ³ o en donde se criÃ³. Si usted siente que le han influido diversas culturas, conteste las preguntas en base de la cultura con la que mÃ¡s se identifique. Si hay varios, escoge la que le ha influidoÂ mÃ¡s (por ejemplo: irlandesa,Â china, mexicana, cubana, puertorriqueÃ±a, NegroÂ oÂ afro-americano, nativo-americano oÂ indio americano, judÃ­o, amish, mormÃ³n,Â  etc). Si usted considera que no ha sido influido por ninguna otra cultura aparte de la americana o estadounidense, por favor conteste las preguntas en base a la cultura de sus antepasados o seleccione el 'ninguna' si no se identifica con un patrimonio cultural que no sea americana o estadounidense.","via_accult_q2_p"
"vancouver_q3_p","Integer","","Recommended","vancouver_q1_ddn_p!=0","I often participate in mainstream American cultural traditions. Con frecuencia participo en las tradiciones americanas/estadounidenses populares.","1 ; 2 ; 3 ; 4 ; 5 ; 6 ; 7 ; 8 ; 9","1 = Disagree en Desacuerdo; 2 = 2; 3 = 3; 4 = 4; 5 = 5; 6 = 6; 7 = 7; 8 = 8; 9 = Agree en Acuerdo; Please select one of the numbers to the right of each question to indicate your degree of agreement or disagreement. Many of these questions will refer to your heritage culture/culture of origin, meaning the original culture of your family (other than the culture of America or the United States).  It may be the culture of your birth, the culture in which you have been raised, or any socio-cultural group which influenced your family background.  If there are several, pick the one that has influenced you most (for example: Irish, Chinese, Latino, Mexican, Cuban, Puerto-Rican, Black or African-American, Native-American or American Indian, Jewish, Amish, Latter-day Saints/Mormon). If you do not feel that you have been influenced by any other culture, please name a culture that influenced previous generations of your family, or you may choose 0 if you do not identify with a cultural heritage other than American. //Por favor conteste cada pregunta cuidadosamente, seleccionando el nÃºmero de la respuesta que indique su grado de acuerdo o desacuerdo. Procure contestarlas todas. Muchas de estas preguntas son sobre su cultura patrimonio/cultura de origen; es decir, las costumbres y tradiciones que mÃ¡s le hayan influido, no incluyendo las influencias de la cultura americana o estadounidense. Esta cultura puede ser del lugar donde naciÃ³ o en donde se criÃ³. Si usted siente que le han influido diversas culturas, conteste las preguntas en base de la cultura con la que mÃ¡s se identifique. Si hay varios, escoge la que le ha influidoÂ mÃ¡s (por ejemplo: irlandesa,Â china, mexicana, cubana, puertorriqueÃ±a, NegroÂ oÂ afro-americano, nativo-americano oÂ indio americano, judÃ­o, amish, mormÃ³n,Â  etc). Si usted considera que no ha sido influido por ninguna otra cultura aparte de la americana o estadounidense, por favor conteste las preguntas en base a la cultura de sus antepasados o seleccione el 'ninguna' si no se identifica con un patrimonio cultural que no sea americana o estadounidense.","via_accult_q3_p"
"vancouver_q4_p","Integer","","Recommended","vancouver_q1_ddn_p!=0","I enjoy social activities with people from the same heritage culture as myself. Yo disfruto de actividades sociales con personas de mi misma cultura.","1 ; 2 ; 3 ; 4 ; 5 ; 6 ; 7 ; 8 ; 9","1 = Disagree en Desacuerdo; 2 = 2; 3 = 3; 4 = 4; 5 = 5; 6 = 6; 7 = 7; 8 = 8; 9 = Agree en Acuerdo; Please select one of the numbers to the right of each question to indicate your degree of agreement or disagreement. Many of these questions will refer to your heritage culture/culture of origin, meaning the original culture of your family (other than the culture of America or the United States).  It may be the culture of your birth, the culture in which you have been raised, or any socio-cultural group which influenced your family background.  If there are several, pick the one that has influenced you most (for example: Irish, Chinese, Latino, Mexican, Cuban, Puerto-Rican, Black or African-American, Native-American or American Indian, Jewish, Amish, Latter-day Saints/Mormon). If you do not feel that you have been influenced by any other culture, please name a culture that influenced previous generations of your family, or you may choose 0 if you do not identify with a cultural heritage other than American. //Por favor conteste cada pregunta cuidadosamente, seleccionando el nÃºmero de la respuesta que indique su grado de acuerdo o desacuerdo. Procure contestarlas todas. Muchas de estas preguntas son sobre su cultura patrimonio/cultura de origen; es decir, las costumbres y tradiciones que mÃ¡s le hayan influido, no incluyendo las influencias de la cultura americana o estadounidense. Esta cultura puede ser del lugar donde naciÃ³ o en donde se criÃ³. Si usted siente que le han influido diversas culturas, conteste las preguntas en base de la cultura con la que mÃ¡s se identifique. Si hay varios, escoge la que le ha influidoÂ mÃ¡s (por ejemplo: irlandesa,Â china, mexicana, cubana, puertorriqueÃ±a, NegroÂ oÂ afro-americano, nativo-americano oÂ indio americano, judÃ­o, amish, mormÃ³n,Â  etc). Si usted considera que no ha sido influido por ninguna otra cultura aparte de la americana o estadounidense, por favor conteste las preguntas en base a la cultura de sus antepasados o seleccione el 'ninguna' si no se identifica con un patrimonio cultural que no sea americana o estadounidense.","via_accult_q4_p"
