"ElementName","DataType","Size","Required","Condition","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","","Subject ID how it's defined in lab/project","","",""
"interview_age","Integer","","Required","","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"interview_date","Date","","Required","","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"sex","String","20","Required","","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"eventname","String","60","Recommended","","The event name for which the data was collected","","",""
"fitf_s1_q1_y","Integer","","Recommended","","In your opinion, compared to other boys/girls your age, how much physical activity do you do?","1 ; 2 ; 3 ; 4 ; 5","1 = Much less; 2 = A little less; 3 = About the same; 4 = A little more; 5 = Much more","fitbit_follow_up_s1_q1,fitbit_pilot_post_s1_q1�"
"fitf_s2_q1_y","Integer","","Recommended","","In your opinion, compared to other boys/girls your age, how much sedentary behaviors do you do?","1 ; 2 ; 3 ; 4 ; 5","1 = Much less; 2 = A little less; 3 = About the same; 4 = A little more; 5 = Much more","fitbit_follow_up_s2_q1,fitbit_pilot_post_s2_q1�"
"fitf_s3_q1_y","Integer","","Recommended","","In your opinion, compared to other boys/girls your age, how much sleep do you get?","1 ; 2 ; 3 ; 4 ; 5","1 = Much less; 2 = A little less; 3 = About the same; 4 = A little more; 5 = Much more","fitbit_follow_up_s3_q1,fitbit_pilot_post_s3_q1�"
"fitf_s4_q7_y","Integer","","Recommended","","How often did you have to remove the Fitbit?","1 ; 2 ; 3 ; 4","1 = once per day; 2 = twice per day; 3 = 3-4 times per day; 4 = more than 4 times per day","fitbit_follow_up_s4_q7,fitbit_pilot_post_s4_q7�"
"fitf_s4_q8_y___1","Integer","","Recommended","","When did you take it off (during what activities)? (Can choose more than one) (1, Shower/Bath)","0 ; 1","0 = No; 1 = Yes","fitbit_follow_up_s4_q8___1,fitbit_pilot_post_s4_q8___1�"
"fitf_s4_q8_y___2","Integer","","Recommended","","When did you take it off (during what activities)? (Can choose more than one) (2, Sports)","0 ; 1","0 = No; 1 = Yes","fitbit_follow_up_s4_q8___2,fitbit_pilot_post_s4_q8___2�"
"fitf_s4_q8_y___3","Integer","","Recommended","","When did you take it off (during what activities)? (Can choose more than one) (3, Swimming)","0 ; 1","0 = No; 1 = Yes","fitbit_follow_up_s4_q8___3,fitbit_pilot_post_s4_q8___3�"
"fitf_s4_q8_y___4","Integer","","Recommended","","When did you take it off (during what activities)? (Can choose more than one) (4, Sleep)","0 ; 1","0 = No; 1 = Yes","fitbit_follow_up_s4_q8___4,fitbit_pilot_post_s4_q8___4�"
"fitf_s4_q8_y___5","Integer","","Recommended","","When did you take it off (during what activities)? (Can choose more than one) (5, Other)","0 ; 1","0 = No; 1 = Yes","fitbit_follow_up_s4_q8___5,fitbit_pilot_post_s4_q8___5�"
"fitf_s4_q11_y","Integer","","Recommended","","How often did you check the Fitbit to get information about your activity?","1 ; 2 ; 3 ; 4","1 = Several times per day; 2 = About once per day; 3 = Several times per week; 4 = About once per week","fitbit_follow_up_s4_q11,fitbit_pilot_post_s4_q11�"
"fitf_s4_q12_y","Integer","","Recommended","","How much did you change your physical activity while wearing the Fitbit?","1 ; 2 ; 3","1 = A lot; 2 = Not at all; 3 = A little","fitbit_follow_up_s4_q12,fitbit_pilot_post_s4_q12�"
"fitf_s4_q14_y","Integer","","Recommended","","How much did you change your sleep while wearing the Fitbit?","1 ; 2 ; 3","1 = A lot; 2 = Not at all; 3 = A little","fitbit_follow_up_s4_q14,fitbit_pilot_post_s4_q14�"
"fitf_s6_q3b_y","Integer","","Recommended"," fitf_s6_3a_y   == '1'","Did you change your level of physical activity or amount of sleep based on the recorded activity on the app or website?","0 ; 1","1 = Yes; 0 = No","fitbit_follow_up_s6_q3b,fitbit_pilot_post_s6_q3b"
