"ElementName","DataType","Size","Required","Condition","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","","Subject ID how it's defined in lab/project","","",""
"interview_age","Integer","","Required","","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"interview_date","Date","","Required","","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"sex","String","20","Required","","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"eventname","String","60","Recommended","","The event name for which the data was collected","","",""
"gish_m1_y","Integer","","Recommended"," baseline_year_1_arm_1  demo_sex_v2b   == 1 ||  baseline_year_1_arm_1  demo_sex_v2b   == 3","How much do you feel like a boy?","5 ; 4 ; 3 ; 2 ; 1 ; 0","5 = Totally; 4 = Mostly; 3 = Somewhat; 2 = A little; 1 = Not at all; 0 = Decline to answer","gish_m1"
"gish_m2_y","Integer","","Recommended"," baseline_year_1_arm_1  demo_sex_v2b   == 1 ||  baseline_year_1_arm_1  demo_sex_v2b   == 3","How much do you feel like a girl?","1 ; 2 ; 3 ; 4 ; 5 ; 0","1 = Totally; 2 = Mostly; 3 = Somewhat; 4 = A little; 5 = Not at all; 0 = Decline to answer","gish_m2"
"gish_f1_y","Integer","","Recommended"," baseline_year_1_arm_1  demo_sex_v2b   == 2 ||  baseline_year_1_arm_1  demo_sex_v2b   == 4","How much do you feel like a girl?","5 ; 4 ; 3 ; 2 ; 1 ; 0","5 = Totally; 4 = Mostly; 3 = Somewhat; 2 = A little; 1 = Not at all; 0 = Decline to answer","gish_f1"
"gish_f2_y","Integer","","Recommended"," baseline_year_1_arm_1  demo_sex_v2b   == 2 ||  baseline_year_1_arm_1  demo_sex_v2b   == 4","How much do you feel like a boy?","1 ; 2 ; 3 ; 4 ; 5 ; 0","1 = Totally; 2 = Mostly; 3 = Somewhat; 4 = A little; 5 = Not at all; 0 = Decline to answer","gish_f2"
"gish_m3_y","Integer","","Recommended"," baseline_year_1_arm_1  demo_sex_v2b   == 1 ||  baseline_year_1_arm_1  demo_sex_v2b   == 3","How much have you had the wish to be a girl?","1 ; 2 ; 3 ; 4 ; 5 ; 0","1 = Always; 2 = Often; 3 = Sometimes; 4 = Rarely; 5 = Never; 0 = Decline to answer","gish_m3"
"gish_m4_y","Integer","","Recommended"," baseline_year_1_arm_1  demo_sex_v2b   == 1 ||  baseline_year_1_arm_1  demo_sex_v2b   == 3","How much have you dressed or acted as a girl during play?","1 ; 2 ; 3 ; 4 ; 5 ; 0","1 = Always; 2 = Often; 3 = Sometimes; 4 = Rarely; 5 = Never; 0 = Decline to answer","gish_m4"
"gish_f3_y","Integer","","Recommended"," baseline_year_1_arm_1  demo_sex_v2b   == 2 ||  baseline_year_1_arm_1  demo_sex_v2b   == 4","How much have you had the wish to be a boy?","1 ; 2 ; 3 ; 4 ; 5 ; 0","1 = Always; 2 = Often; 3 = Sometimes; 4 = Rarely; 5 = Never; 0 = Decline to answer","gish_f3"
"gish_f4_y","Integer","","Recommended"," baseline_year_1_arm_1  demo_sex_v2b   == 2 ||  baseline_year_1_arm_1  demo_sex_v2b   == 4","How much have you dressed or acted as a boy during play?","1 ; 2 ; 3 ; 4 ; 5 ; 0","1 = Always; 2 = Often; 3 = Sometimes; 4 = Rarely; 5 = Never; 0 = Decline to answer","gish_f4"
"gish_admin","Integer","","Recommended","","Please indicate how instrument was administered:","1::3","1=RA-Administered ; 2=Youth Self-Administered ; 3=Combination [event_name_number] > '21'",""
