"ElementName","DataType","Size","Required","Condition","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"eventname","String","60","Required","","The event name for which the data was collected","","",""
"dna_saliva_y","Integer","","Recommended","","Saliva DNA sample collected on site?","0::4","1 = Yes; 0 = Participant refused; 3 = Participant unable to complete; 4 = Not collected (other)","biospec_dna_saliva"
"dna_saliva_time_date","String","30","Recommended"," dna_saliva_y   == 1","Saliva DNA sample date and time collected:","","","biospec_dna_saliva_time_date"
"dna_sal_recollect_2","Integer","","Recommended","","Sample recollect request from RUCDR?","0 ; 1","1 = Yes; 0 = No","biospec_dna_saliva_recollect_2"
"dna_saliva_recoll_date","String","30","Recommended","dna_sal_recollect_2   == 1","Recollected Saliva DNA sample date collected:","","","biospec_dna_saliva_recoll_date"
"dna_sal_recollect_4","Integer","","Recommended","","Sample recollect request from RUCDR #4?","0;1","1 = Yes; 0 = No [dna_sal_recollect_3] = '1'",""
"dna_saliva_recoll_date_4","String","30","Recommended","","Recollected Saliva DNA sample data collected:","","[dna_sal_recollect_4] = '1'",""
"dna_saliva_inventory_homekit_2","String","30","Recommended","","Saliva DNA Inventory Code #2 (RUCDR barcode on tube) scanned (and home collection kit sent):","","[dna_sal_recollect_2] = '1'",""
"dna_sal_recollect_3","Integer","","Recommended","","Sample recollect request from RUCDR #3?","0;1","1 = Yes; 0 = No [dna_sal_recollect_2] = '1'",""
"dna_saliva_recoll_date_2","String","30","Recommended","","Recollected Saliva DNA sample date collected:","","[dna_sal_recollect_2] = '1'",""
"dna_saliva_recoll_date_3","String","30","Recommended","","Recollected Saliva DNA sample data collected:","","[dna_sal_recollect_3] = '1'",""
"dna_saliva_inventory_homekit_4","String","30","Recommended","","Saliva DNA Inventory Code #4 (RUCDR barcode on tube) scanned (and home collection kit sent):","","[dna_sal_recollect_4] = '1'",""
"dna_saliva_inventory_homekit_3","String","30","Recommended","","Saliva DNA Inventory Code #3 (RUCDR barcode on tube) scanned (and home collection kit sent):","","[dna_sal_recollect_3] = '1'",""
