"ElementName","DataType","Size","Required","Condition","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","","Subject ID how it's defined in lab/project","","",""
"interview_age","Integer","","Required","","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"interview_date","Date","","Required","","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"sex","String","20","Required","","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"eventname","String","60","Recommended","","The event name for which the data was collected","","",""
"ple_died_y","Integer","","Recommended","","Someone in family died?","0 ; 1","1 = Yes; 0 = No","life_events_phenx_died"
"ple_died_past_yr_y","Integer","","Recommended"," ple_died_y   == '1'","Did this happen in the past year?","0 ; 1","1 = Yes; 0 = No","life_events_phenx_died_past_yr"
"ple_died_fu_y","Integer","","Recommended"," ple_died_y   == '1'","Was this a good or bad experience?","1 ; 2 ; 6 ; 7","1 = Mostly good; 2 = Mostly bad; 6 = Not applicable; 7 = Don't know","life_events_phenx_died_fu"
"ple_died_fu2_y","Integer","","Recommended"," ple_died_y   == '1'","How much did the event affect you?","0 ; 1 ; 2 ; 3","0 = Not at All; 1 = A Little; 2 = Some; 3 = A lot","life_events_phenx_died_fu2"
"ple_injured_y","Integer","","Recommended","","Family member was seriously injured?","0 ; 1","1 = Yes; 0 = No","life_events_phenx_injured"
"ple_injured_past_yr_y","Integer","","Recommended"," ple_injured_y   == '1'","Did this happen in the past year?","0 ; 1","1 = Yes; 0 = No","life_events_phenx_injured_past_yr"
"ple_injured_fu_y","Integer","","Recommended"," ple_injured_y   == '1'","Was this a good or bad experience?","1 ; 2 ; 6 ; 7","1 = Mostly good; 2 = Mostly bad; 6 = Not applicable; 7 = Don't know","life_events_phenx_injured_fu"
"ple_injured_fu2_y","Integer","","Recommended"," ple_injured_y   == '1'","How much did the event affect you?","0 ; 1 ; 2 ; 3","0 = Not at All; 1 = A Little; 2 = Some; 3 = A lot","life_events_phenx_injured_fu2"
"ple_crime_y","Integer","","Recommended","","Saw crime or accident?","0 ; 1","1 = Yes; 0 = No","life_events_phenx_crime"
"ple_crime_past_yr_y","Integer","","Recommended"," ple_crime_y   == '1'","Did this happen in the past year?","0 ; 1","1 = Yes; 0 = No","life_events_phenx_crime_past_yr"
"ple_crime_fu_y","Integer","","Recommended"," ple_crime_y   == '1'","Was this a good or bad experience?","1 ; 2 ; 6 ; 7","1 = Mostly good; 2 = Mostly bad; 6 = Not applicable; 7 = Don't know","life_events_phenx_crime_fu"
"ple_crime_fu2_y","Integer","","Recommended"," ple_crime_y   == '1'","How much did the event affect you?","0 ; 1 ; 2 ; 3","0 = Not at All; 1 = A Little; 2 = Some; 3 = A lot","life_events_phenx_crime_fu2"
"ple_friend_y","Integer","","Recommended","","Lost a close friend?","0 ; 1","1 = Yes; 0 = No","life_events_phenx_friend"
"ple_friend_past_yr_y","Integer","","Recommended"," ple_friend_y   == '1'","Did this happen in the past year?","0 ; 1","1 = Yes; 0 = No","life_events_phenx_friend_past_yr"
"ple_friend_fu_y","Integer","","Recommended"," ple_friend_y   == '1'","Was this a good or bad experience?","1 ; 2 ; 6 ; 7","1 = Mostly good; 2 = Mostly bad; 6 = Not applicable; 7 = Don't know","life_events_phenx_friend_fu"
"ple_friend_fu2_y","Integer","","Recommended"," ple_friend_y   == '1'","How much did the event affect you?","0 ; 1 ; 2 ; 3","0 = Not at All; 1 = A Little; 2 = Some; 3 = A lot","life_events_phenx_friend_fu2"
"ple_friend_injur_y","Integer","","Recommended","","Close friend was seriously sick/injured?","0 ; 1","1 = Yes; 0 = No","life_events_phenx_friend_injur"
"le_friend_injur_past_yr_y","Integer","","Recommended"," ple_friend_injur_y   == '1'","Did this happen in the past year?","0 ; 1","1 = Yes; 0 = No","life_events_phenx_friend_injur_past_yr"
"ple_friend_injur_fu_y","Integer","","Recommended"," ple_friend_injur_y   == '1'","Was this a good or bad experience?","1 ; 2 ; 6 ; 7","1 = Mostly good; 2 = Mostly bad; 6 = Not applicable; 7 = Don't know","life_events_phenx_friend_injur_fu"
"ple_friend_injur_fu2_y","Integer","","Recommended"," ple_friend_injur_y   == '1'","How much did the event affect you?","0 ; 1 ; 2 ; 3","0 = Not at All; 1 = A Little; 2 = Some; 3 = A lot","life_events_phenx_friend_injur_fu2"
"ple_financial_y","Integer","","Recommended","","Negative change in parent's financial situation?","0 ; 1","1 = Yes; 0 = No","life_events_phenx_financial"
"ple_financial_past_yr_y","Integer","","Recommended"," ple_financial_y   == '1'","Did this happen in the past year?","0 ; 1","1 = Yes; 0 = No","life_events_phenx_financial_past_yr"
"ple_financial_fu_y","Integer","","Recommended"," ple_financial_y   == '1'","Was this a good or bad experience?","1 ; 2 ; 6 ; 7","1 = Mostly good; 2 = Mostly bad; 6 = Not applicable; 7 = Don't know","life_events_phenx_financial_fu"
"ple_financial_fu2_y","Integer","","Recommended"," ple_financial_y   == '1'","How much did the event affect you?","0 ; 1 ; 2 ; 3","0 = Not at All; 1 = A Little; 2 = Some; 3 = A lot","life_events_phenx_financial_fu2"
"ple_sud_y","Integer","","Recommended","","Family member had drug and/or alcohol problem?","0 ; 1","1 = Yes; 0 = No","life_events_phenx_sud"
"ple_sud_past_yr_y","Integer","","Recommended"," ple_sud_y   == '1'","Did this happen in the past year?","0 ; 1","1 = Yes; 0 = No","life_events_phenx_sud_past_yr"
"ple_sud_fu_y","Integer","","Recommended"," ple_sud_y   == '1'","Was this a good or bad experience?","1 ; 2 ; 6 ; 7","1 = Mostly good; 2 = Mostly bad; 6 = Not applicable; 7 = Don't know","life_events_phenx_sud_fu"
"ple_sud_fu2_y","Integer","","Recommended"," ple_sud_y   == '1'","How much did the event affect you?","0 ; 1 ; 2 ; 3","0 = Not at All; 1 = A Little; 2 = Some; 3 = A lot","life_events_phenx_sud_fu2"
"ple_ill_y","Integer","","Recommended","","You got seriously sick?","0 ; 1","1 = Yes; 0 = No","life_events_phenx_ill"
"ple_ill_past_yr_y","Integer","","Recommended"," ple_ill_y   == '1'","Did this happen in the past year?","0 ; 1","1 = Yes; 0 = No","life_events_phenx_ill_past_yr"
"ple_ill_fu_y","Integer","","Recommended"," ple_ill_y   == '1'","Was this a good or bad experience?","1 ; 2 ; 6 ; 7","1 = Mostly good; 2 = Mostly bad; 6 = Not applicable; 7 = Don't know","life_events_phenx_ill_fu"
"ple_ill_fu2_y","Integer","","Recommended"," ple_ill_y   == '1'","How much did the event affect you?","0 ; 1 ; 2 ; 3","0 = Not at All; 1 = A Little; 2 = Some; 3 = A lot","life_events_phenx_ill_fu2"
"ple_injur_y","Integer","","Recommended","","You got seriously injured?","0 ; 1","1 = Yes; 0 = No","life_events_phenx_injur"
"ple_injur_y_past_yr_y","Integer","","Recommended"," ple_injur_y   == '1'","Did this happen in the past year?","0 ; 1","1 = Yes; 0 = No","life_events_phenx_injur_past_yr,life_events_phenx_injur_y_past_yr"
