"ElementName","DataType","Size","Required","Condition","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"eventname","String","60","Required","","The event name for which the data was collected","","",""
"pds_sex_y","Integer","","Recommended","","Do you consider yourself male or female?","1 ; 2","1 = Male; 2 = Female; The next questions are about changes that may be happening to your body. These changes normally happen to different young people at different ages. Since they may have something to do with your brain image results, do your best to answer carefully. To give you some privacy, we will let you read and answer the questions on your own. However, if you would like help reading or you don't understand the questions, just let me know and I can help you.","pubertdev_sex"
"pds_ht2_y","Integer","","Recommended","","Would you say that your growth in height:","1 ; 2 ; 3 ; 4 ; 999; 777","1 = has not yet begun to spurt; 2 = has barely started; 3 = is definitely underway; 4 = seems complete; 999 = I don't know; 777= refuse to answer. The next questions are about changes that may be happening to your body. These changes normally happen to different young people at different ages. Since they may have something to do with your brain image results, do your best to answer carefully. To give you some privacy, we will let you read and answer the questions on your own. However, if you would like help reading or you don't understand the questions, just let me know and I can help you.","pubertdev_ht"
"pds_skin2_y","Integer","","Recommended","","Have you noticed any skin changes, especially pimples?","1 ; 2 ; 3 ; 4 ; 999; 777","1 = skin has not yet started changing; 2 = skin has barely started changing; 3 = skin changes are definitely underway; 4 = skin changes seem complete; 999 = I don't know ; ; 777= refuse to answer. The next questions are about changes that may be happening to your body. These changes normally happen to different young people at different ages. Since they may have something to do with your brain image results, do your best to answer carefully. To give you some privacy, we will let you read and answer the questions on your own. However, if you would like help reading or you don't understand the questions, just let me know and I can help you.","pubertdev_skin"
"pds_bdyhair_y","Integer","","Recommended","","And how about the growth of your body hair? (""Body hair"" means hair any place other than your head, such as under your arms)

Would you say that your body hair growth:","1 ; 2 ; 3 ; 4 ; 999; 777","1 = has not yet begun to spurt; 2 = has barely started; 3 = is definitely underway; 4 = seems complete; 999 = I don't know; 777= refuse to answer. The next questions are about changes that may be happening to your body. These changes normally happen to different young people at different ages. Since they may have something to do with your brain image results, do your best to answer carefully. To give you some privacy, we will let you read and answer the questions on your own. However, if you would like help reading or you don't understand the questions, just let me know and I can help you.","pubertdev_bdyhair"
"pds_f4_2_y","Integer","","Recommended"," pds_sex_y   == 2","Have you noticed that your breasts have begun to grow?","1 ; 2 ; 3 ; 4 ; 999; 777","1 = have not yet started growing; 2 = have barely started growing; 3 = breast growth is definitely underway; 4 = breast growth seems complete; 999 = I don't know; 777= refuse to answer","pubertdev_f4"
"pds_f5_y","Integer","","Recommended"," pds_sex_y   == 2","Have you begun to menstruate (started to have your period)?","4 ; 1 ; 999; 777","4 = Yes; 1 = No; 999 = I don't know; 777= refuse to answer","pubertdev_f5"
"pds_f6_y","Float","30","Recommended"," pds_f5_y   == 4 &&  isNull(pds_f6_y_dk)","If yes, how old were you when you started to menstruate?","0::20","If you don't know, please choose ""don't know"" in what follows below.","pubertdev_f6"
"pds_f6_y_dk","Integer","","Recommended"," pds_f5_y   == 4 &&  isNull(pds_f6_y)","how old were you when you started to menstruate? Don't know","999; 777","999 = I Don't know; 777=refuse to answer","pubertdev_f6_dk"
"pds_m4_y","Integer","","Recommended"," pds_sex_y   == 1","Have you noticed a deepening of your voice?","1 ; 2 ; 3 ; 4 ; 999; 777","1 = Voice has not yet started to changing; 2 = Voice has barely started changing; 3 = Voice changes are definitely underway; 4 = Voice changes seem complete; 999 = I don't know; 777= refuse to answer","pubertdev_m4"
"pds_m5_y","Integer","","Recommended"," pds_sex_y   == 1","Have you begun to grow hair on your face?","1 ; 2 ; 3 ; 4 ; 999; 777","1 = Facial hair not yet started growing; 2 = Facial hair has barely started growing; 3 = Facial hair has definitely started; 4 = Facial hair growth seems complete; 999 = I don't know; 777= refuse to answer","pubertdev_m5"
"menstrual_cycle_script","String","30","Recommended"," pds_f5_y   == 4","The following questions are about the history of your menstrual cycle. If you do not remember specific details, just try to answer as best you can.","","Descriptive field","menstrual_script"
"menstrualcycle1_y","String","30","Recommended"," pds_f5_y   == 4","What was the date of the first day of your/your child's last period?","","The following questions are about the history of your menstrual cycle. If you do not remember specific details, just try to answer as best you can.","menstrual_1"
"menstrualcycle2_y","Float","30","Recommended"," pds_f5_y   == 4 &&  isNull(menstrualcycle2_y_dk)","On average, how many days are there between the first day of your/your child's period and the first day of your/her next period? (e.g., 30 days)","17 :: 50","If you don't know, please choose ""don't know"" in what follows below.","menstrual_2"
"menstrualcycle2_y_dk","Integer","","Recommended"," pds_f5_y   == 4 &&  isNull(menstrualcycle2_y)","On average, how many days are there between the first day of your period and the first day of your next period? (e.g., 30 days). Don't know","999; 777","999 = Don't know; 777= refuse to answer","menstrual_2_dk"
"menstrualcycle3_y","Integer","","Recommended"," pds_f5_y   == 4","Is your menstrual cycle regular?","0::3","1 = Yes; 0 = No; 2 = Don't know; 3 = Refuse to answer; The following questions are about the history of your menstrual cycle. If you do not remember specific details, just try to answer as best you can.","menstrual_3"
"menstrualcycle4_y","Integer","","Recommended"," pds_f5_y   == 4","Are you currently using hormonal birth control (eg. the pill, hormone patch, hormone injection)?","1 ; 0 ; 2 ; 3","1 = Yes; 0 = No; 2 = Don't know; 3 = Refuse to answer; The following questions are about the history of your menstrual cycle. If you do not remember specific details, just try to answer as best you can.","menstrual_4"
"menstrualcycle5_y","Integer","","Recommended"," pds_f5_y   == 4","Do you  experience premenstrual symptoms, such as irritability, fatigue, etc., which start before a period and stop within a few days of bleeding?","1 :: 4; 777; 999","1 = Not at all; 2 = Mild; 3 = Moderate; 4 = Severe; 777 = Decline to answer; The following questions are about the history of your menstrual cycle. If you do not remember specific details, just try to answer as best you can.","menstrual_5"
"menstrualcycle6_y","Integer","","Recommended"," pds_f5_y   == 4","Do your premenstrual symptoms interfere with your/her relationships with family and friends, productivity, and/or social life activities?","1 :: 4; 777; 999","1 = Not at all; 2 = Mild; 3 = Moderate; 4 = Severe; 777 = Decline to answer; The following questions are about the history of your menstrual cycle. If you do not remember specific details, just try to answer as best you can.","menstrual_6"
"menstrualcycle11_y","Integer","","Recommended","","How much does your menstrual pain stop you from doing your usual activities? 0 (Not at all) - 10 (stops me from doing anything)","0::10","0=0; 1=1; 2=2; 3=3; 4=4; 5=5; 6=6; 7=7; 8=8; 9=9; 10=10  [pds_f5_y] = '4' and [event-name] = ''3_year_follow_up_y_arm_1''",""
"menstrualcycle7_y","Integer","","Recommended","","On average, how long does your menstrual period (bleeding) last?","0::2","0=1-2 days; 1=3-7 days; 2=More than 7 days  [pds_f5_y] = '4' and [event-name] = ''3_year_follow_up_y_arm_1''",""
