"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"eventname","String","60","Required","The event name for which the data was collected","","",""
"postscan_relaxed_1","Integer","","Recommended","This is a list of words that describe different feelings and emotions. Indicate how much you feel this way now.  1= little to none; and 5=extremely; Relaxed","1::5","1 = Very slightly or not at all; 2 = A little; 3 = Moderately; 4 = Quite a bit; 5 = Extremely","postscan_state_relaxed_1"
"postscan_happy_1","Integer","","Recommended","This is a list of words that describe different feelings and emotions. Indicate how much you feel this way now.  1= little to none; and 5=extremely; Happy","1::5","1 = Very slightly or not at all; 2 = A little; 3 = Moderately; 4 = Quite a bit; 5 = Extremely","postscan_state_happy_1"
"postscan_afraid_1","Integer","","Recommended","This is a list of words that describe different feelings and emotions. Indicate how much you feel this way now.  1= little to none; and 5=extremely; Afraid","1::5","1 = Very slightly or not at all; 2 = A little; 3 = Moderately; 4 = Quite a bit; 5 = Extremely","postscan_state_afraid_1"
"postscan_alert_1","Integer","","Recommended","This is a list of words that describe different feelings and emotions. Indicate how much you feel this way now.  1= little to none; and 5=extremely; Alert","1::5","1 = Very slightly or not at all; 2 = A little; 3 = Moderately; 4 = Quite a bit; 5 = Extremely","postscan_state_alert_1"
"postscan_upset_1","Integer","","Recommended","This is a list of words that describe different feelings and emotions. Indicate how much you feel this way now.  1= little to none; and 5=extremely; Upset","1::5","1 = Very slightly or not at all; 2 = A little; 3 = Moderately; 4 = Quite a bit; 5 = Extremely","postscan_state_upset_1"
"postscan_angry_1","Integer","","Recommended","This is a list of words that describe different feelings and emotions. Indicate how much you feel this way now.  1= little to none; and 5=extremely; Angry","1::5","1 = Very slightly or not at all; 2 = A little; 3 = Moderately; 4 = Quite a bit; 5 = Extremely","postscan_state_angry_1"
"postscan_excited_1","Integer","","Recommended","This is a list of words that describe different feelings and emotions. Indicate how much you feel this way now.  1= little to none; and 5=extremely; Excited","1::5","1 = Very slightly or not at all; 2 = A little; 3 = Moderately; 4 = Quite a bit; 5 = Extremely","postscan_state_excited_1"
"postscan_tired_1","Integer","","Recommended","This is a list of words that describe different feelings and emotions. Indicate how much you feel this way now.  1= little to none; and 5=extremely; Tired","1::5","1 = Very slightly or not at all; 2 = A little; 3 = Moderately; 4 = Quite a bit; 5 = Extremely","postscan_state_tired_1"
"postscan_sleepy_1","Integer","","Recommended","This is a list of words that describe different feelings and emotions. Indicate how much you feel this way now.  1= little to none; and 5=extremely; Sleepy","1::5","1 = Very slightly or not at all; 2 = A little; 3 = Moderately; 4 = Quite a bit; 5 = Extremely","postscan_state_sleepy_1"
"postscan_sad_1","Integer","","Recommended","This is a list of words that describe different feelings and emotions. Indicate how much you feel this way now.  1= little to none; and 5=extremely; Sad","1::5","1 = Very slightly or not at all; 2 = A little; 3 = Moderately; 4 = Quite a bit; 5 = Extremely","postscan_state_sad_1"
