"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"eventname","String","60","Required","The event name for which the data was collected","","",""
"physical_activity1_y","Integer","","Recommended","During the past 7 days, on how many days were you physically active for a total of at least 60 minutes per day? (Add up all the time you spent in any kind of physical activity that increased your heart rate and made you breathe hard some of the time)","0 ; 1 ; 2 ; 3 ; 4 ; 5 ; 6 ; 7","0 = 0 days; 1 = 1 day; 2 = 2 days; 3 = 3 days; 4 = 4 days; 5 = 5 days; 6 = 6 days; 7 = 7 days","physical_activity_1"
"physical_activity2_y","Integer","","Recommended","On how many of the past 7 days did you do exercises to strengthen or tone your muscles, such as push-ups, sit-ups, or weight lifting?","1 ; 2 ; 3 ; 4 ; 5 ; 6 ; 7 ; 8","1 = 0 days; 2 = 1 day; 3 = 2 days; 4 = 3 days; 5 = 4 days; 6 = 5 days; 7 = 6 days; 8 = 7 days","physical_activity_2"
"physical_activity5_y","Integer","","Recommended","In an average week when you are in school, on how many days do you go to physical education (PE) class?","0 ; 1 ; 2 ; 3 ; 4 ; 5","0 = 0 days; 1 = 1 day; 2 = 2 days; 3 = 3 days; 4 = 4 days; 5 = 5 days","physical_activity_5"
"physical_activity_admin","Integer","","Recommended","Please indicate how instrument was administered:","1::3","1=RA-Administered ; 2=Youth Self-Administered ; 3=Combination [event_name_number] > '21'",""
