"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"eventname","String","60","Recommended","The event name for which the data was collected","","",""
"ptu_a_y","Integer","","Recommended","How do you think your CLOSE FRIENDS feel (or would feel) about YOU doing each of the following things?
Trying  one or two drinks of an alcoholic beverage (beer, wine, liquor)","0 ; 1 ; 2 ; 999","0 = Not Disapprove; 1 = Disapprove; 2 = Strongly Disapprove; 999 = Don't Know / tlfb_alc_l  =='1' ||  tlfb_alc_c_l  == '1'","su_ptu_a"
"ptu_b_y","Integer","","Recommended","How do you think your CLOSE FRIENDS feel (or would feel) about YOU doing each of the following things?
Taking one or two alcohol drinks nearly every day","0 ; 1 ; 2 ; 999","0 = Not Disapprove; 1 = Disapprove; 2 = Strongly Disapprove; 999 = Don't Know / tlfb_alc_l  =='1'  ||  tlfb_alc_c_l  =='1'","su_ptu_b"
"ptu_c_y","Integer","","Recommended","How do you think your CLOSE FRIENDS feel (or would feel) about YOU doing each of the following things?
Having five or more alcoholic drinks once or twice each weekend","0 ; 1 ; 2 ; 999","0 = Not Disapprove; 1 = Disapprove; 2 = Strongly Disapprove; 999 = Don't Know / tlfb_alc_l  =='1'  ||  tlfb_alc_c_l  == '1'","su_ptu_c"
"ptu_d_y","Integer","","Recommended","How do you think your CLOSE FRIENDS feel (or would feel) about YOU doing each of the following things?
Trying one or two cigarettes","0 ; 1 ; 2 ; 999","0 = Not Disapprove; 1 = Disapprove; 2 = Strongly Disapprove; 999 = Don't Know / tlfb_tob_l   == '1' ||  tlfb_tob_c_l   == '1'","su_ptu_d"
"ptu_e_y","Integer","","Recommended","How do you think your CLOSE FRIENDS feel (or would feel) about YOU doing each of the following things?
Smoking cigarettes occasionally","0 ; 1 ; 2 ; 999","0 = Not Disapprove; 1 = Disapprove; 2 = Strongly Disapprove; 999 = Don't Know / tlfb_tob_l   == '1' ||  tlfb_tob_c_l   == '1'","su_ptu_e"
"ptu_f_y","Integer","","Recommended","How do you think your CLOSE FRIENDS feel (or would feel) about YOU doing each of the following things?
Smoking one or more packs of cigarettes per day","0 ; 1 ; 2 ; 999","0 = Not Disapprove; 1 = Disapprove; 2 = Strongly Disapprove; 999 = Don't Know / tlfb_tob_l   == '1' ||  tlfb_tob_c_l   == '1'","su_ptu_f"
"ptu_g_y","Integer","","Recommended","How do you think your CLOSE FRIENDS feel (or would feel) about YOU doing each of the following things?
Using e-cigarettes regularly","0 ; 1 ; 2 ; 999","0 = Not Disapprove; 1 = Disapprove; 2 = Strongly Disapprove; 999 = Don't Know / tlfb_tob_l   == '1' ||  tlfb_tob_c_l   == '1'","su_ptu_g"
"ptu_h_y","Integer","","Recommended","How do you think your CLOSE FRIENDS feel (or would feel) about YOU doing each of the following things?
Using smokeless tobacco regularly","0 ; 1 ; 2 ; 999","0 = Not Disapprove; 1 = Disapprove; 2 = Strongly Disapprove; 999 = Don't Know / tlfb_tob_l   == '1' ||  tlfb_tob_c_l   == '1'","su_ptu_h"
"ptu_i_y","Integer","","Recommended","How do you think your CLOSE FRIENDS feel (or would feel) about YOU doing each of the following things?
Trying marijuana (pot, weed) once or twice","0 ; 1 ; 2 ; 999","0 = Not Disapprove; 1 = Disapprove; 2 = Strongly Disapprove; 999 = Don't Know / tlfb_mj_l  == '1' ||  tlfb_mj_c_l  == '1'","su_ptu_i"
"ptu_j_y","Integer","","Recommended","How do you think your CLOSE FRIENDS feel (or would feel) about YOU doing each of the following things?
Smoking marijuana occasionally","0 ; 1 ; 2 ; 999","0 = Not Disapprove; 1 = Disapprove; 2 = Strongly Disapprove; 999 = Don't Know / tlfb_mj_l  == '1' ||  tlfb_mj_c_l  == '1'","su_ptu_j"
"ptu_k_y","Integer","","Recommended","How do you think your CLOSE FRIENDS feel (or would feel) about YOU doing each of the following things?
Smoking marijuana regularly","0 ; 1 ; 2 ; 999","0 = Not Disapprove; 1 = Disapprove; 2 = Strongly Disapprove; 999 = Don't Know / tlfb_mj_l  == '1' ||  tlfb_mj_c_l  == '1'","su_ptu_k"
"ptu_l_y","Integer","","Recommended","How do you think your CLOSE FRIENDS feel (or would feel) about YOU doing each of the following things?
Trying liquid, sprays, and gases that people sniff or inhale to get high (such as gasoline, glue, and nitrous oxide) once or twice","0 ; 1 ; 2 ; 999","0 = Not Disapprove; 1 = Disapprove; 2 = Strongly Disapprove; 999 = Don't Know / tlfb_inhalant_l   =='1' ||   tlfb_inhalant_c_l   =='1'","su_ptu_l"
"ptu_m_y","Integer","","Recommended","How do you think your CLOSE FRIENDS feel (or would feel) about YOU doing each of the following things?
Trying prescription pain relievers (such as Vicodin, hydrocodone, Oxycontin; not over the counter drugs like Tylenol) in a way that a doctor did not direct you to use it once or twice","0 ; 1 ; 2 ; 999","0 = Not Disapprove; 1 = Disapprove; 2 = Strongly Disapprove; 999 = Don't Know / tlfb_rx_misuse_l   == '1' ||  tlfb_rx_misuse_c_l   == '1'","su_ptu_m"
"ptu_n_y","Integer","","Recommended","How do you think your CLOSE FRIENDS feel (or would feel) about YOU doing each of the following things?
Trying prescription use of tranquilizers to relax people (such as Xanax or Ativan) in a way a doctor did not direct you to use it once or twice","0 ; 1 ; 2 ; 999","0 = Not Disapprove; 1 = Disapprove; 2 = Strongly Disapprove; 999 = Don't Know / tlfb_rx_misuse_l   == '1' ||  tlfb_rx_misuse_c_l   == '1'","su_ptu_n"
"ptu_o_y","Integer","","Recommended","How do you think your CLOSE FRIENDS feel (or would feel) about YOU doing each of the following things?
Trying prescription stimulants (such as Adderall or Ritalin that may be used for attention disorders) in a way a doctor did not direct you to use it once or twice","0 ; 1 ; 2 ; 999","0 = Not Disapprove; 1 = Disapprove; 2 = Strongly Disapprove; 999 = Don't Know / tlfb_rx_misuse_l   == '1' ||  tlfb_rx_misuse_c_l   == '1'","su_ptu_o"
"ptu_p_y","Integer","","Recommended","How do you think your CLOSE FRIENDS feel (or would feel) about YOU doing each of the following things?
Trying other drugs like cocaine, heroin, or methamphetamine","0 ; 1 ; 2 ; 999","0 = Not Disapprove; 1 = Disapprove; 2 = Strongly Disapprove; 999 = Don't Know / tlfb_list_l___1   == '1' ||  tlfb_list_l___2   == '1' ||  tlfb_list_l___3   == '1' ||   tlfb_list_l___4   == '1' ||  tlfb_list_l___5   == '1' ||  tlfb_list_l___6   == '1' ||  tlfb_list_l___7   == '1' ||  tlfb_list_l___8   == '1' ||   tlfb_list_l___9   == '1' ||  tlfb_list_l___10   == '1' ||  tlfb_list_l___11   == '1' ||  tlfb_list_l___12   == '1'","su_ptu_p"
