"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"eventname","String","60","Recommended","The event name for which the data was collected","","",""
"poa_nihtb_1_y","Integer","","Recommended","I felt attentive (that is, alert or able to pay attention).","1 ; 2 ; 3 ; 777 ; 999","1 = Not True; 2 = Somewhat True; 3 = Very True; 777 = Refuse to answer; 999 = Don't know","poa_nihtb_1,positive_affect_nihtb_1"
"poa_nihtb_2_y","Integer","","Recommended","I felt delighted.","1 ; 2 ; 3 ; 777 ; 999","1 = Not True; 2 = Somewhat True; 3 = Very True; 777 = Refuse to answer; 999 = Don't know","poa_nihtb_2,positive_affect_nihtb_2"
"poa_nihtb_3_y","Integer","","Recommended","I felt calm.","1 ; 2 ; 3 ; 777 ; 999","1 = Not True; 2 = Somewhat True; 3 = Very True; 777 = Refuse to answer; 999 = Don't know","poa_nihtb_3,positive_affect_nihtb_3"
"poa_nihtb_4_y","Integer","","Recommended","I felt at ease  Definition of At ease: relaxed, comfortable.","1 ; 2 ; 3 ; 777 ; 999","1 = Not True; 2 = Somewhat True; 3 = Very True; 777 = Refuse to answer; 999 = Don't know","poa_nihtb_4,positive_affect_nihtb_4"
"poa_nihtb_5_y","Integer","","Recommended","I felt enthusiastic Definition of enthusiastic: very excited.","1 ; 2 ; 3 ; 777 ; 999","1 = Not True; 2 = Somewhat True; 3 = Very True; 777 = Refuse to answer; 999 = Don't know","poa_nihtb_5,positive_affect_nihtb_5"
"poa_nihtb_6_y","Integer","","Recommended","I felt interested.","1 ; 2 ; 3 ; 777 ; 999","1 = Not True; 2 = Somewhat True; 3 = Very True; 777 = Refuse to answer; 999 = Don't know","poa_nihtb_6,positive_affect_nihtb_6"
"poa_nihtb_7_y","Integer","","Recommended","I felt confident.","1 ; 2 ; 3 ; 777 ; 999","1 = Not True; 2 = Somewhat True; 3 = Very True; 777 = Refuse to answer; 999 = Don't know","poa_nihtb_7,positive_affect_nihtb_7"
"poa_nihtb_8_y","Integer","","Recommended","I felt energetic.","1 ; 2 ; 3 ; 777 ; 999","1 = Not True; 2 = Somewhat True; 3 = Very True; 777 = Refuse to answer; 999 = Don't know","poa_nihtb_8,positive_affect_nihtb_8"
"poa_nihtb_9_y","Integer","","Recommended","I felt able to concentrate.","1 ; 2 ; 3 ; 777 ; 999","1 = Not True; 2 = Somewhat True; 3 = Very True; 777 = Refuse to answer; 999 = Don't know","poa_nihtb_9,positive_affect_nihtb_9"
"poa_admin","Integer","","Recommended","Please indicate how instrument was administered:","1::3","1=RA-Administered ; 2=Youth Self-Administered ; 3=Combination [event-name] = 3_year_follow_up_y_arm_1''''",""
