"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"eventname","String","60","Required","The event name for which the data was collected","","",""
"wps_q1_y","Integer","","Recommended","I get as much information as I can.","0; 1 ; 2 ; 3 ; 4 ; 5","1 = Never; 2 = A Little; 3 = Sometimes; 4 = Pretty Often; 5 = Usually","wps_q1"
"wps_q2_y","Integer","","Recommended","I think hard about what steps to take.","0; 1 ; 2 ; 3 ; 4 ; 5","1 = Never; 2 = A Little; 3 = Sometimes; 4 = Pretty Often; 5 = Usually","wps_q2"
"wps_q3_y","Integer","","Recommended","I think about the choices before I do anything.","0; 1 ; 2 ; 3 ; 4 ; 5","1 = Never; 2 = A Little; 3 = Sometimes; 4 = Pretty Often; 5 = Usually","wps_q3"
"wps_q4_y","Integer","","Recommended","I think of different ways to take care of it.","0; 1 ; 2 ; 3 ; 4 ; 5","1 = Never; 2 = A Little; 3 = Sometimes; 4 = Pretty Often; 5 = Usually","wps_q4"
"wps_q5_y","Integer","","Recommended","I try different ways to solve the problem.","0; 1 ; 2 ; 3 ; 4 ; 5","1 = Never; 2 = A Little; 3 = Sometimes; 4 = Pretty Often; 5 = Usually","wps_q5"
"wps_q6_y","Integer","","Recommended","I do something to try to solve the problem.","0; 1 ; 2 ; 3 ; 4 ; 5","1 = Never; 2 = A Little; 3 = Sometimes; 4 = Pretty Often; 5 = Usually","wps_q6"
"wps_admin","Integer","","Recommended","Please indicate how instrument was administered:","1::3","1=RA-Administered ; 2=Youth Self-Administered ; 3=Combination [event_name_number] > '21'",""
