"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"eventname","String","60","Recommended","The event name for which the data was collected","","",""
"race_ethnicity","Integer","","Recommended","Race Ethnicity (Child)","1 :: 5","1 = White; 2 = Black; 3 = Hispanic; 4 = Asian; 5 = Other","demo_race_ethnicity"
"rel_family_id","Integer","","Recommended","Family ID (participants belonging to the same family share a family ID). The family ID is autocalculated and will change after the addition/removal of subjects from the ABCD study. Family IDs will, therefore, differ between data releases","","","demo_rel_family_id"
"rel_group_id","Integer","","Recommended","Group ID (twins and triplets in the same family share a group ID)","","","demo_rel_group_id"
"rel_ingroup_order","Integer","","Recommended","In-Group Order ID (twins and triplets in the same family and in the same group have different values)","","",""
"rel_relationship","Integer","","Recommended","Relationship of the participant in his or her family","0 ; 1 ; 2 ; 3","0 = single; 1 = sibling; 2 = twin; 3 = triplet","demo_rel_relationship"
"rel_same_sex","Integer","","Recommended","Same sex twin","0 ; 1","1 = Yes; 0 = No","demo_rel_same_sex"
"acs_raked_propensity_score","Float","","Recommended","Imputed raked propensity weight. The raked propensity weight merges the ACS and ABCD data (with missing data imputed), estimates the propensity model, computes and scales/trims the propensity weights and finally rakes the scaled weights to final ACS control totals by age, sex and race/ethnicity.","","",""
"genetic_paired_subjectid_4","String","20","Recommended","genetic related with participant based on genetic_pi_hat_4","","",""
"genetic_pi_hat_1","Float","","Recommended","Probability of identity by descend between participant and genetic_paired_subjectid_1","","",""
"genetic_pi_hat_2","Float","","Recommended","Probability of identity by descend between participant and genetic_paired_subjectid_2","","",""
"genetic_pi_hat_3","Float","","Recommended","Probability of identity by descend between participant and genetic_paired_subjectid_3","","",""
"genetic_pi_hat_4","Float","","Recommended","Probability of identity by descend between participant and genetic_paired_subjectid_4","","",""
"genetic_zygosity_status_1","Integer","","Recommended","Genetically inferred zygosity status between participant and genetic_paired_subjectid_1","-1; 1; 2; 3","1= monozygotic ; 2= dizygotic ; 3=siblings ;-1= not available (twins/sibs, genetic_pi_hat not calculated)",""
"genetic_zygosity_status_2","Integer","","Recommended","Genetically inferred zygosity status between participant and genetic_paired_subjectid_2","-1; 1; 2; 3","1= monozygotic ; 2= dizygotic ; 3=siblings ;-1= not available (twins/sibs, genetic_pi_hat not calculated)",""
"genetic_zygosity_status_3","Integer","","Recommended","Genetically inferred zygosity status between participant and genetic_paired_subjectid_3","-1; 1; 2; 3","1= monozygotic ; 2= dizygotic ; 3=siblings ;-1= not available (twins/sibs, genetic_pi_hat not calculated)",""
"genetic_zygosity_status_4","Integer","","Recommended","Genetically inferred zygosity status between participant and genetic_paired_subjectid_4","-1; 1; 2; 3","1= monozygotic ; 2= dizygotic ; 3=siblings ;-1= not available (twins/sibs, genetic_pi_hat not calculated)",""
"genetic_af_african","Float","","Recommended","Proportion of African ancestry","","","genetic_ancestry_factor_african"
"genetic_af_european","Float","","Recommended","Proportion of European ancestry","","","genetic_ancestry_factor_european"
"genetic_af_east_asian","Float","","Recommended","Proportion of East Asian ancestry","","","genetic_ancestry_factor_east_asian"
"genetic_af_american","Float","","Recommended","Proportion of American ancestry","","","genetic_ancestry_factor_american"
"genetic_paired_subjectid_1","String","20","Recommended","genetic related with participant based on genetic_pi_hat_1","","",""
"genetic_paired_subjectid_2","String","20","Recommended","genetic related with participant based on genetic_pi_hat_2","","",""
"genetic_paired_subjectid_3","String","20","Recommended","genetic related with participant based on genetic_pi_hat_3","","",""
