"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"eventname","String","60","Required","The event name for which the data was collected","","",""
"ksads_dud_raw_604_t","Integer","","Recommended","Check below the drugs any of your friends use:Marijuana (pot, weed, hash, THC, blunts, synthetic marijuana/K2/Spice, marijuana edibles, concentrates such as dabs or shatter)","0;1","0=No; 1=Yes",""
"ksads_dud_raw_605_t","Integer","","Recommended","Check below the drugs any of your friends use:Stimulants (e.g., Ritalin, Adderall, ephedrine,speed, uppers, amphetamines, dexedrine, diet pills, crystal meth, methamphetamine, cathinones/bath salt)","0;1","0=No; 1=Yes",""
"ksads_dud_raw_606_t","Integer","","Recommended","Check below the drugs any of your friends use:Sedatives/Hypnotics/Anxiolytics (Barbiturates (sedatives, downers), Benzodiazepine, Quaalude (ludes), Valium, lLibrium,  Xanax, ketamine, GHB)","0;1","0=No; 1=Yes",""
"ksads_dud_raw_607_t","Integer","","Recommended","Check below the drugs any of your friends use:Cocaine (coke, crack)","0;1","0=No; 1=Yes",""
"ksads_dud_raw_608_t","Integer","","Recommended","Check below the drugs any of your friends use:Opioids (heroin, OxyContin morphine, codeine, methadone, Demerol, Percodan)","0;1","0=No; 1=Yes",""
"ksads_dud_raw_609_t","Integer","","Recommended","Check below the drugs any of your friends use:Hallucinogens (psychedelics, LSD, mescaline, peyote, PCP (Angel dust), DMT, salvia, cough medicine or DXM, psilocybin, magic mushrooms)","0;1","0=No; 1=Yes",""
"ksads_dud_raw_610_t","Integer","","Recommended","Check below the drugs any of your friends use:Tobacco (tobacco cigarettes, electronic cigarettes, vape pens, e-hookah, hookah, cigars, and smokeless tobacco/chew/snuff)","0;1","0=No; 1=Yes",""
"ksads_dud_raw_611_t","Integer","","Recommended","Check below the drugs any of your friends use:Solvents/Inhalants (liquids, sprays or gases that you sniff or inhale, such as glue, gasoline, ether, paint, nitrous oxide, whippits, or poppers)","0;1","0=No; 1=Yes",""
"ksads_dud_raw_612_t","Integer","","Recommended","Check below the drugs any of your friends use:Other Drugs (fill in) (e.g., ecstasy/molly/MDA, steroids, etc).","0;1","0=No; 1=Yes",""
"ksads_dud_raw_614_t","Integer","","Recommended","Check below the drugs you have tried one or more times:Marijuana (pot, weed, hash, THC, blunts, synthetic marijuana/K2/Spice, marijuana edibles, concentrates such as dabs or shatter)","0;1","0=No; 1=Yes",""
"ksads_dud_raw_615_t","Integer","","Recommended","Check below the drugs you have tried one or more times:Stimulants (e.g., Ritalin, Adderall, ephedrine,speed, uppers, amphetamines, dexedrine, diet pills, crystal meth, methamphetamine, cathinones/bath salt)","0;1","0=No; 1=Yes",""
"ksads_dud_raw_616_t","Integer","","Recommended","Check below the drugs you have tried one or more times:Sedatives/Hypnotics/Anxiolytics (Barbiturates (sedatives, downers), Benzodiazepine, Quaalude (ludes), Valium, lLibrium,  Xanax, ketamine, GHB)","0;1","0=No; 1=Yes",""
"ksads_dud_raw_617_t","Integer","","Recommended","Check below the drugs you have tried one or more times:Cocaine (coke, crack)","0;1","0=No; 1=Yes",""
"ksads_dud_raw_618_t","Integer","","Recommended","Check below the drugs you have tried one or more times:Opioids (heroin, OxyContin morphine, codeine, methadone, Demerol, Percodan)","0;1","0=No; 1=Yes",""
"ksads_dud_raw_619_t","Integer","","Recommended","Check below the drugs you have tried one or more times:Hallucinogens (psychedelics, LSD, mescaline, peyote, PCP (Angel dust), DMT, salvia, cough medicine or DXM, psilocybin, magic mushrooms)","0;1","0=No; 1=Yes",""
"ksads_dud_raw_620_t","Integer","","Recommended","Check below the drugs you have tried one or more times:Tobacco (tobacco cigarettes, electronic cigarettes, vape pens, e-hookah, hookah, cigars, and smokeless tobacco/chew/snuff)","0;1","0=No; 1=Yes",""
"ksads_dud_raw_621_t","Integer","","Recommended","Check below the drugs you have tried one or more times:Solvents/Inhalants (liquids, sprays or gases that you sniff or inhale, such as glue, gasoline, ether, paint, nitrous oxide, whippits, or poppers)","0;1","0=No; 1=Yes",""
"ksads_dud_raw_622_t","Integer","","Recommended","Check below the drugs you have tried one or more times:Other Drugs (fill in) (e.g., ecstasy/molly/MDA, steroids, etc).","0;1","0=No; 1=Yes",""
"ksads_dud_raw_624_t","Integer","","Recommended","In the past two weeks, how often did you use the following drugs? (don'tcount drugs taken as prescribed by your doctor)Marijuana (pot, weed, hash, THC, blunts, synthetic marijuana/K2/Spice, marijuana edibles, concentrates such as dabs or shatter)","0::4","0=Not at all; 1=Rarely; 2=Several days; 3=More than half the days; 4=Nearly every day",""
"ksads_dud_raw_625_t","Integer","","Recommended","In the past two weeks, how often did you use the following drugs? (don'tcount drugs taken as prescribed by your doctor)Stimulants (e.g., Ritalin, Adderall, ephedrine,speed, uppers, amphetamines, dexedrine, diet pills, crystal meth, methamphetamine, cathinones/bath salt)","0::4","0=Not at all; 1=Rarely; 2=Several days; 3=More than half the days; 4=Nearly every day",""
"ksads_dud_raw_626_t","Integer","","Recommended","In the past two weeks, how often did you use the following drugs? (don'tcount drugs taken as prescribed by your doctor)Sedatives/Hypnotics/Anxiolytics (Barbiturates (sedatives, downers), Benzodiazepine, Quaalude (ludes), Valium, lLibrium,  Xanax, ketamine, GHB)","0::4","0=Not at all; 1=Rarely; 2=Several days; 3=More than half the days; 4=Nearly every day",""
"ksads_dud_raw_627_t","Integer","","Recommended","In the past two weeks, how often did you use the following drugs? (don'tcount drugs taken as prescribed by your doctor)Cocaine (coke, crack)","0::4","0=Not at all; 1=Rarely; 2=Several days; 3=More than half the days; 4=Nearly every day",""
"ksads_dud_raw_628_t","Integer","","Recommended","In the past two weeks, how often did you use the following drugs? (don'tcount drugs taken as prescribed by your doctor)Opioids (heroin, OxyContin morphine, codeine, methadone, Demerol, Percodan)","0::4","0=Not at all; 1=Rarely; 2=Several days; 3=More than half the days; 4=Nearly every day",""
"ksads_dud_raw_629_t","Integer","","Recommended","In the past two weeks, how often did you use the following drugs? (don'tcount drugs taken as prescribed by your doctor)Hallucinogens (psychedelics, LSD, mescaline, peyote, PCP (Angel dust), DMT, salvia, cough medicine or DXM, psilocybin, magic mushrooms)","0::4","0=Not at all; 1=Rarely; 2=Several days; 3=More than half the days; 4=Nearly every day",""
"ksads_dud_raw_630_t","Integer","","Recommended","In the past two weeks, how often did you use the following drugs? (don'tcount drugs taken as prescribed by your doctor)Tobacco (tobacco cigarettes, electronic cigarettes, vape pens, e-hookah, hookah, cigars, and smokeless tobacco/chew/snuff)","0::4","0=Not at all; 1=Rarely; 2=Several days; 3=More than half the days; 4=Nearly every day",""
