"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"eventname","String","60","Required","The event name for which the data was collected","","",""
"ksads_dud_raw_604_p","Integer","","Recommended","Check below the drugs any of your child's friends use:Marijuana (pot, weed, hash, THC, blunts, synthetic marijuana/K2/Spice, marijuana edibles, concentrates such as dabs or shatter)","0;1","0=No; 1=Yes",""
"ksads_dud_raw_605_p","Integer","","Recommended","Check below the drugs any of your child's friends use:Stimulants (e.g., Ritalin, Adderall, ephedrine,speed, uppers, amphetamines, dexedrine, diet pills, crystal meth, methamphetamine, cathinones/bath salt)","0;1","0=No; 1=Yes",""
"ksads_dud_raw_606_p","Integer","","Recommended","Check below the drugs any of your child's friends use:Sedatives/Hypnotics/Anxiolytics (Barbiturates (sedatives, downers), Benzodiazepine, Quaalude (ludes), Valium, lLibrium,  Xanax, ketamine, GHB)","0;1","0=No; 1=Yes",""
"ksads_dud_raw_607_p","Integer","","Recommended","Check below the drugs any of your child's friends use:Cocaine (coke, crack)","0;1","0=No; 1=Yes",""
"ksads_dud_raw_608_p","Integer","","Recommended","Check below the drugs any of your child's friends use:Opioids (heroin, OxyContin morphine, codeine, methadone, Demerol, Percodan)","0;1","0=No; 1=Yes",""
"ksads_dud_raw_609_p","Integer","","Recommended","Check below the drugs any of your child's friends use:Hallucinogens (psychedelics, LSD, mescaline, peyote, PCP (Angel dust), DMT, salvia, cough medicine or DXM, psilocybin, magic mushrooms)","0;1","0=No; 1=Yes",""
"ksads_dud_raw_610_p","Integer","","Recommended","Check below the drugs any of your child's friends use:Tobacco (tobacco cigarettes, electronic cigarettes, vape pens, e-hookah, hookah, cigars, and smokeless tobacco/chew/snuff)","0;1","0=No; 1=Yes",""
"ksads_dud_raw_611_p","Integer","","Recommended","Check below the drugs any of your child's friends use:Solvents/Inhalants (liquids, sprays or gases that you sniff or inhale, such as glue, gasoline, ether, paint, nitrous oxide, whippits, or poppers)","0;1","0=No; 1=Yes",""
"ksads_dud_raw_612_p","Integer","","Recommended","Check below the drugs any of your child's friends use:Other Drugs (fill in) (e.g., ecstasy/molly/MDA, steroids, etc).","0;1","0=No; 1=Yes",""
"ksads_dud_raw_614_p","Integer","","Recommended","Check below the drugs your child has tried one or more times:Marijuana (pot, weed, hash, THC, blunts, synthetic marijuana/K2/Spice, marijuana edibles, concentrates such as dabs or shatter)","0;1","0=No; 1=Yes",""
"ksads_dud_raw_615_p","Integer","","Recommended","Check below the drugs your child has tried one or more times:Stimulants (e.g., Ritalin, Adderall, ephedrine,speed, uppers, amphetamines, dexedrine, diet pills, crystal meth, methamphetamine, cathinones/bath salt)","0;1","0=No; 1=Yes",""
"ksads_dud_raw_616_p","Integer","","Recommended","Check below the drugs your child has tried one or more times:Sedatives/Hypnotics/Anxiolytics (Barbiturates (sedatives, downers), Benzodiazepine, Quaalude (ludes), Valium, lLibrium,  Xanax, ketamine, GHB)","0;1","0=No; 1=Yes",""
"ksads_dud_raw_617_p","Integer","","Recommended","Check below the drugs your child has tried one or more times:Cocaine (coke, crack)","0;1","0=No; 1=Yes",""
"ksads_dud_raw_618_p","Integer","","Recommended","Check below the drugs your child has tried one or more times:Opioids (heroin, OxyContin morphine, codeine, methadone, Demerol, Percodan)","0;1","0=No; 1=Yes",""
"ksads_dud_raw_619_p","Integer","","Recommended","Check below the drugs your child has tried one or more times:Hallucinogens (psychedelics, LSD, mescaline, peyote, PCP (Angel dust), DMT, salvia, cough medicine or DXM, psilocybin, magic mushrooms)","0;1","0=No; 1=Yes",""
"ksads_dud_raw_620_p","Integer","","Recommended","Check below the drugs your child has tried one or more times:Tobacco (tobacco cigarettes, electronic cigarettes, vape pens, e-hookah, hookah, cigars, and smokeless tobacco/chew/snuff)","0;1","0=No; 1=Yes",""
"ksads_dud_raw_621_p","Integer","","Recommended","Check below the drugs your child has tried one or more times:Solvents/Inhalants (liquids, sprays or gases that you sniff or inhale, such as glue, gasoline, ether, paint, nitrous oxide, whippits, or poppers)","0;1","0=No; 1=Yes",""
"ksads_dud_raw_622_p","Integer","","Recommended","Check below the drugs your child has tried one or more times:Other Drugs (fill in) (e.g., ecstasy/molly/MDA, steroids, etc).","0;1","0=No; 1=Yes",""
"ksads_dud_raw_624_p","Integer","","Recommended","In the past two weeks, how often did your child use the following drugs? (do not count drugs taken as prescribed by your child's doctor)Marijuana (pot, weed, hash, THC, blunts, synthetic marijuana/K2/Spice, marijuana edibles, concentrates such as dabs or shatter)","0::4","0=Not at all; 1=Rarely; 2=Several days; 3=More than half the days; 4=Nearly every day",""
"ksads_dud_raw_625_p","Integer","","Recommended","In the past two weeks, how often did your child use the following drugs? (do not count drugs taken as prescribed by your child's doctor)Stimulants (e.g., Ritalin, Adderall, ephedrine,speed, uppers, amphetamines, dexedrine, diet pills, crystal meth, methamphetamine, cathinones/bath salt)","0::4","0=Not at all; 1=Rarely; 2=Several days; 3=More than half the days; 4=Nearly every day",""
"ksads_dud_raw_626_p","Integer","","Recommended","In the past two weeks, how often did your child use the following drugs? (do not count drugs taken as prescribed by your child's doctor)Sedatives/Hypnotics/Anxiolytics (Barbiturates (sedatives, downers), Benzodiazepine, Quaalude (ludes), Valium, lLibrium,  Xanax, ketamine, GHB)","0::4","0=Not at all; 1=Rarely; 2=Several days; 3=More than half the days; 4=Nearly every day",""
"ksads_dud_raw_627_p","Integer","","Recommended","In the past two weeks, how often did your child use the following drugs? (do not count drugs taken as prescribed by your child's doctor)Cocaine (coke, crack)","0::4","0=Not at all; 1=Rarely; 2=Several days; 3=More than half the days; 4=Nearly every day",""
"ksads_dud_raw_628_p","Integer","","Recommended","In the past two weeks, how often did your child use the following drugs? (do not count drugs taken as prescribed by your child's doctor)Opioids (heroin, OxyContin morphine, codeine, methadone, Demerol, Percodan)","0::4","0=Not at all; 1=Rarely; 2=Several days; 3=More than half the days; 4=Nearly every day",""
"ksads_dud_raw_629_p","Integer","","Recommended","In the past two weeks, how often did your child use the following drugs? (do not count drugs taken as prescribed by your child's doctor)Hallucinogens (psychedelics, LSD, mescaline, peyote, PCP (Angel dust), DMT, salvia, cough medicine or DXM, psilocybin, magic mushrooms)","0::4","0=Not at all; 1=Rarely; 2=Several days; 3=More than half the days; 4=Nearly every day",""
"ksads_dud_raw_630_p","Integer","","Recommended","In the past two weeks, how often did your child use the following drugs? (do not count drugs taken as prescribed by your child's doctor)Tobacco (tobacco cigarettes, electronic cigarettes, vape pens, e-hookah, hookah, cigars, and smokeless tobacco/chew/snuff)","0::4","0=Not at all; 1=Rarely; 2=Several days; 3=More than half the days; 4=Nearly every day",""
