"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"eventname","String","60","Required","The event name for which the data was collected","","",""
"ksads_eatingdis_raw_1136_t","Integer","","Recommended","Please note below all the different methods that you currently use to control your weight.Other (fill in)","0;1","0=No; 1=Yes",""
"ksads_eatingdis_raw_1148_t","Integer","","Recommended","Note below all the things that are true when you binge eat.I feel like I have no control when I binge eat","0;1","0=No; 1=Yes",""
"ksads_eatingdis_raw_1147_t","Integer","","Recommended","Note below all the things that are true when you binge eat.I feel depressed after binge eating","0;1","0=No; 1=Yes",""
"ksads_eatingdis_raw_1146_t","Integer","","Recommended","Note below all the things that are true when you binge eat.I feel disgusted or guilty after binge eating","0;1","0=No; 1=Yes",""
"ksads_eatingdis_raw_1145_t","Integer","","Recommended","Note below all the things that are true when you binge eat.I eat alone because I am embarrassed","0;1","0=No; 1=Yes",""
"ksads_eatingdis_raw_1144_t","Integer","","Recommended","Note below all the things that are true when you binge eat.I eat a lot even though I am not hungry","0;1","0=No; 1=Yes",""
"ksads_eatingdis_raw_1143_t","Integer","","Recommended","Note below all the things that are true when you binge eat.I eat until I am uncomfortable and I feel too full","0;1","0=No; 1=Yes",""
"ksads_eatingdis_raw_1142_t","Integer","","Recommended","Note below all the things that are true when you binge eat.I eat much more rapidly than normal","0;1","0=No; 1=Yes",""
"ksads_eatingdis_raw_1140_t","String","60","Recommended","How long have you been binge eating at least once a week? Please enter weeks, months, or years.","","",""
"ksads_eatingdis_raw_1139_t","Integer","","Recommended","You said before that sometimes you binge eat. On average, do you binge eat at least once a week?","0;1","0=No; 1=Yes",""
"ksads_eatingdis_raw_1138_t","String","60","Recommended","GetDynamicQuestion('2.13.8.Q2')","","",""
"ksads_eatingdis_raw_1137_t","Integer","","Recommended","On average, do you use at least one of these methods to try to control your weight at least once a week?","0;1","0=No; 1=Yes",""
"ksads_eatingdis_raw_1149_t","Integer","","Recommended","How much discomfort or distress does binge eating cause you?","0::10","0=0; 1=1; 2=2; 3=3; 4=4; 5=5; 6=6; 7=7; 8=8; 9=9; 10=10",""
"ksads_eatingdis_raw_1135_t","Integer","","Recommended","Please note below all the different methods that you currently use to control your weight.Only eating foods or drinks with minimal calories (e.g., carrots, celery, zero calorie drinks)","0;1","0=No; 1=Yes",""
"ksads_eatingdis_raw_1134_t","Integer","","Recommended","Please note below all the different methods that you currently use to control your weight.Exercising a lot","0;1","0=No; 1=Yes",""
"ksads_eatingdis_raw_1133_t","Integer","","Recommended","Please note below all the different methods that you currently use to control your weight.Throwing up","0;1","0=No; 1=Yes",""
"ksads_eatingdis_raw_1132_t","Integer","","Recommended","Please note below all the different methods that you currently use to control your weight.Water pills","0;1","0=No; 1=Yes",""
"ksads_eatingdis_raw_1131_t","Integer","","Recommended","Please note below all the different methods that you currently use to control your weight.Laxatives","0;1","0=No; 1=Yes",""
"ksads_eatingdis_raw_1130_t","Integer","","Recommended","Please note below all the different methods that you currently use to control your weight.Diet pills","0;1","0=No; 1=Yes",""
"ksads_eatingdis_raw_1128_t","Integer","","Recommended","Do you feel like your self-worth is tied to your weight?","0;1","0=No; 1=Yes",""
"ksads_eatingdis_raw_403_t","String","60","Recommended","You said that in the past there was a time when you often worried about becoming fat, made yourself throw up, did things to control your weight like exercise excessively, restrict food, took laxatives, or diet pills and had eating binges. When was that? If this was true of you more than once, let me know when it was the worst","","",""
"ksads_eatingdis_raw_402_t","String","60","Recommended","You said that in the past you made yourself throw up once a week or more, did things to control your weight like exercise excessively, restrict food, took laxatives, or diet pills and had eating binges, when you ate way more than you needed to the point of feeling sick. When was that? If this was true of you more than once, let me know when it was the worst","","",""
"ksads_eatingdis_raw_401_t","String","60","Recommended","You said that in the past you worried all the time about becoming fat, did things to control your weight, like exercise excessively, restrict food, took laxatives, or diet pills and had eating binges, when you ate way more than you needed to the point of feeling sick. When was that? If this was true of you more than once, let me know when it was the worst","","",""
"ksads_eatingdis_raw_400_t","String","60","Recommended","You said that in the past you worried all the time about becoming fat, made yourself throw up once a week or more and had eating binges, when you ate way more than you needed to the point of feeling sick. When was that? If this was true of you more than once, let me know when it was the worst","","",""
"ksads_eatingdis_raw_1161_t","String","60","Recommended","For how long did you use these methods to control your weight? Please enter weeks, months, or years.","","",""
"ksads_eatingdis_raw_1173_t","Integer","","Recommended","How much discomfort or distress did binge eating cause you back then?","0::10","0=0; 1=1; 2=2; 3=3; 4=4; 5=5; 6=6; 7=7; 8=8; 9=9; 10=10",""
"ksads_eatingdis_raw_1172_t","Integer","","Recommended","Note below all the things that were true when you binge ate back then.I felt like I had no control when I binge ate","0;1","0=No; 1=Yes",""
"ksads_eatingdis_raw_1171_t","Integer","","Recommended","Note below all the things that were true when you binge ate back then.I felt depressed after binge eating","0;1","0=No; 1=Yes",""
"ksads_eatingdis_raw_1170_t","Integer","","Recommended","Note below all the things that were true when you binge ate back then.I felt disgusted or guilty after binge eating","0;1","0=No; 1=Yes",""
"ksads_eatingdis_raw_1169_t","Integer","","Recommended","Note below all the things that were true when you binge ate back then.I ate alone because I was embarrassed","0;1","0=No; 1=Yes",""
"ksads_eatingdis_raw_1168_t","Integer","","Recommended","Note below all the things that were true when you binge ate back then.I ate a lot even though I was not hungry","0;1","0=No; 1=Yes",""
"ksads_eatingdis_raw_1167_t","Integer","","Recommended","Note below all the things that were true when you binge ate back then.I ate until I was uncomfortable and I felt too full","0;1","0=No; 1=Yes",""
"ksads_eatingdis_raw_1166_t","Integer","","Recommended","Note below all the things that were true when you binge ate back then.I ate much more rapidly than normal","0;1","0=No; 1=Yes",""
"ksads_eatingdis_raw_1164_t","String","60","Recommended","For how long did you binge eat at least once a week back then? Please enter weeks, months, or years.","","",""
"ksads_eatingdis_raw_1163_t","Integer","","Recommended","dbo.GetDynamicQuestion('2.13.9.Q3')","0;1","0=No; 1=Yes",""
"ksads_eatingdis_raw_1162_t","String","60","Recommended","For how long back then did you use at least one of these methods one or more times a week? Please enter weeks, months, or years.","","",""
"ksads_eatingdis_raw_399_t","String","60","Recommended","You said that in the past you worried all the time about becoming fat, made yourself throw up once a week or more and did things to control your weight like exercise excessively, restrict food, took laxatives, or diet pills. When was that? If this was true of you more than once, let me know when it was the worst","","",""
"ksads_eatingdis_raw_1160_t","Integer","","Recommended","On average back then, did you use at least one of these methods to try to control your weight one or more times per week?","0;1","0=No; 1=Yes",""
"ksads_eatingdis_raw_1159_t","Integer","","Recommended","On average back then, did you use this method to try to control your weight at least once per week?","0;1","0=No; 1=Yes",""
