"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"eventname","String","60","Required","The event name for which the data was collected","","",""
"ksads_gad_raw_1951_t","Integer","","Recommended","In addition to having problems with worrying, did you have any of these other symptoms back then? Mark all that apply.I had difficulty concentrating","0;1","0=No; 1=Yes",""
"ksads_gad_raw_1935_t","Integer","","Recommended","Does your worrying about these things cause problems for you in any of the following areas: Mark all that apply.At work","0;1","0=No; 1=Yes",""
"ksads_gad_raw_1936_t","Integer","","Recommended","Does your worrying about these things cause problems for you in any of the following areas: Mark all that apply.In after school activities","0;1","0=No; 1=Yes",""
"ksads_gad_raw_1937_t","Integer","","Recommended","Does your worrying about these things cause problems for you in any of the following areas: Mark all that apply.In other places or times","0;1","0=No; 1=Yes",""
"ksads_gad_raw_1938_t","Integer","","Recommended","How much discomfort or distress does your worrying cause you?","0::10","0=0; 1=1; 2=2; 3=3; 4=4; 5=5; 6=6; 7=7; 8=8; 9=9; 10=10",""
"ksads_gad_raw_1940_t","Integer","","Recommended","How I look","0;1","0=No; 1=Yes",""
"ksads_gad_raw_1941_t","Integer","","Recommended","What I said","0;1","0=No; 1=Yes",""
"ksads_gad_raw_1942_t","Integer","","Recommended","How I did on a test","0;1","0=No; 1=Yes",""
"ksads_gad_raw_1943_t","Integer","","Recommended","If people like me","0;1","0=No; 1=Yes",""
"ksads_gad_raw_1944_t","Integer","","Recommended","The future","0;1","0=No; 1=Yes",""
"ksads_gad_raw_1945_t","Integer","","Recommended","The past","0;1","0=No; 1=Yes",""
"ksads_gad_raw_1946_t","Integer","","Recommended","Other (specify)","0;1","0=No; 1=Yes",""
"ksads_gad_raw_1948_t","Integer","","Recommended","In addition to having problems with worrying, did you have any of these other symptoms back then? Mark all that apply.I felt restless","0;1","0=No; 1=Yes",""
"ksads_gad_raw_1949_t","Integer","","Recommended","In addition to having problems with worrying, did you have any of these other symptoms back then? Mark all that apply.I felt keyed up","0;1","0=No; 1=Yes",""
"ksads_gad_raw_1950_t","Integer","","Recommended","In addition to having problems with worrying, did you have any of these other symptoms back then? Mark all that apply.I felt easily tired","0;1","0=No; 1=Yes",""
"ksads_gad_raw_1934_t","Integer","","Recommended","Does your worrying about these things cause problems for you in any of the following areas: Mark all that apply.At school","0;1","0=No; 1=Yes",""
"ksads_gad_raw_1952_t","Integer","","Recommended","In addition to having problems with worrying, did you have any of these other symptoms back then? Mark all that apply.My mind went blank","0;1","0=No; 1=Yes",""
"ksads_gad_raw_1953_t","Integer","","Recommended","In addition to having problems with worrying, did you have any of these other symptoms back then? Mark all that apply.I felt irritable","0;1","0=No; 1=Yes",""
"ksads_gad_raw_1954_t","Integer","","Recommended","In addition to having problems with worrying, did you have any of these other symptoms back then? Mark all that apply.I had muscle tension","0;1","0=No; 1=Yes",""
"ksads_gad_raw_1955_t","Integer","","Recommended","In addition to having problems with worrying, did you have any of these other symptoms back then? Mark all that apply.I had difficulty falling asleep","0;1","0=No; 1=Yes",""
"ksads_gad_raw_1956_t","Integer","","Recommended","In addition to having problems with worrying, did you have any of these other symptoms back then? Mark all that apply.I had difficulty staying asleep","0;1","0=No; 1=Yes",""
"ksads_gad_raw_1957_t","Integer","","Recommended","Back then, did you feel like you had trouble controlling your worries?","0;1","0=No; 1=Yes",""
"ksads_gad_raw_1959_t","Integer","","Recommended","Back then, did your worrying a lot cause problems for you in any of the following areas:With friends","0;1","0=No; 1=Yes",""
"ksads_gad_raw_1960_t","Integer","","Recommended","Back then, did your worrying a lot cause problems for you in any of the following areas:With your family","0;1","0=No; 1=Yes",""
"ksads_gad_raw_1961_t","Integer","","Recommended","Back then, did your worrying a lot cause problems for you in any of the following areas:At school","0;1","0=No; 1=Yes",""
"ksads_gad_raw_1962_t","Integer","","Recommended","Back then, did your worrying a lot cause problems for you in any of the following areas:At work","0;1","0=No; 1=Yes",""
"ksads_gad_raw_1963_t","Integer","","Recommended","Back then, did your worrying a lot cause problems for you in any of the following areas:In after school activities","0;1","0=No; 1=Yes",""
"ksads_gad_raw_1964_t","Integer","","Recommended","Back then, did your worrying a lot cause problems for you in any of the following areas:In other places or times","0;1","0=No; 1=Yes",""
"ksads_gad_raw_1965_t","Integer","","Recommended","How much discomfort or distress did your worrying cause you back then?","0::10","0=0; 1=1; 2=2; 3=3; 4=4; 5=5; 6=6; 7=7; 8=8; 9=9; 10=10",""
"ksads_gad_raw_1966_t","String","60","Recommended","How long did your worrying about a lot of things last? Please enter weeks, months, or years.","","",""
"ksads_gad_raw_1933_t","Integer","","Recommended","Does your worrying about these things cause problems for you in any of the following areas: Mark all that apply.With your family","0;1","0=No; 1=Yes",""
"ksads_gad_raw_271_t","Integer","","Recommended","In the past two weeks, how often have you worried a super lot about a lot of different things?","0::4","0=Not at all; 1=Rarely; 2=Several days; 3=More than half the days; 4=Nearly every day",""
"ksads_gad_raw_272_t","String","60","Recommended","When did your worrying a lot of the time begin?","","",""
"ksads_gad_raw_273_t","Integer","","Recommended","Was there ever a time, for a month or longer, that you worried a super lot about a lot of different things?","0;1","0=No; 1=Yes",""
"ksads_gad_raw_274_t","Integer","","Recommended","Was there ever another time, for a month or longer, that you worried a super lot about a lot of different things?","0;1","0=No; 1=Yes",""
"ksads_gad_raw_275_t","String","60","Recommended","When was that?","","",""
"ksads_gad_raw_1913_t","Integer","","Recommended","You mentioned earlier that you worry about a lot of different things. Mark below all the different things you find yourself worrying about. Mark as many as apply.How I look","0;1","0=No; 1=Yes",""
"ksads_gad_raw_1914_t","Integer","","Recommended","You mentioned earlier that you worry about a lot of different things. Mark below all the different things you find yourself worrying about. Mark as many as apply.What I said","0;1","0=No; 1=Yes",""
"ksads_gad_raw_1915_t","Integer","","Recommended","You mentioned earlier that you worry about a lot of different things. Mark below all the different things you find yourself worrying about. Mark as many as apply.How I did on a test","0;1","0=No; 1=Yes",""
"ksads_gad_raw_1916_t","Integer","","Recommended","You mentioned earlier that you worry about a lot of different things. Mark below all the different things you find yourself worrying about. Mark as many as apply.If people like me","0;1","0=No; 1=Yes",""
"ksads_gad_raw_1917_t","Integer","","Recommended","You mentioned earlier that you worry about a lot of different things. Mark below all the different things you find yourself worrying about. Mark as many as apply.The future","0;1","0=No; 1=Yes",""
"ksads_gad_raw_1918_t","Integer","","Recommended","You mentioned earlier that you worry about a lot of different things. Mark below all the different things you find yourself worrying about. Mark as many as apply.The past","0;1","0=No; 1=Yes",""
"ksads_gad_raw_1919_t","Integer","","Recommended","You mentioned earlier that you worry about a lot of different things. Mark below all the different things you find yourself worrying about. Mark as many as apply.Other (specify)","0;1","0=No; 1=Yes",""
