"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"experiment_id","Integer","","Required","ID for the Experiment/settings/run","","","genom_experiment_id"
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"sample_description","String","3500","Required","Sample description: tissue type, i.e. blood, saliva, brain etc.","whole blood; saliva; brain; urine; serum; plasma; CSF; IPS; Fibroblast; Neuronal Progenitor; skin biopsy; temporal cortex; lymphoblastoid cell line; unknown; semen; frontal cortex; parietal cortex; basal ganglia; Placenta; hair; occipital visual cortex; cerebellum; spleen; stool; muscle; kidney; liver; heart; cord blood; nasal swab; DNA; RNA","","genom_sample_description"
"sample_id_original","String","100","Required","Original, user-defined Sample ID","","","genom_sample_id_original"
"organism","String","50","Required","Organism","","","genom_organism"
"sample_amount","Float","","Required","Sample amount","","","genom_sample_amount"
"sample_unit","String","50","Required","Measurement unit for Sample","","","genom_sample_unit"
"data_code","String","100","Recommended","Comments about experiment details","","",""
"data_file1_type","String","300","Required","type of data file 1","","","genom_data_file1_type"
"data_file1","File","","Required","Data file 1","","","genom_data_file1"
"data_file2_type","String","100","Recommended","data file 2 type/description","","",""
"data_file2","File","","Recommended","data file 2","","",""
"data_file3","File","","Recommended","Data file 3","","",""
"data_file3_type","String","100","Recommended","Data file 3 type","","",""
"data_file4","File","","Recommended","Data file 4","","",""
"data_file4_type","String","100","Recommended","Data file 4 type","","",""
"storage_protocol","String","255","Required","Description of Storage Protocol","","","genom_storage_protocol"
"data_file_location","String","50","Required","dbGaP; NDAR; NIMH Genetics; AGRE; Sfari","","","genom_data_file_location"
"biorepository","String","100","Required","Sample provider: i.e. NIMH_Genetics; ATP; Correil","","","genom_biorepository"
"patient_id_biorepository","String","100","Required","Biorepository Patient ID","","","genom_patient_id_biorepository"
"sample_id_biorepository","String","100","Required","Biorepository Sample ID","","","genom_sample_id_biorepository"
"cell_id_original","String","100","Recommended","Original, user-defined cell line ID","","",""
"cell_id_biorepository","String","100","Recommended","Biorepository cell line ID","","",""
"comments_misc","String","4000","Recommended","Miscellaneous comments on study, interview, methodology relevant to this form data","","",""
"site","String","101","Recommended","Site","","Study Site",""
"rat280","Float","","Recommended","Ratio of absorbance at 260nm and 280nm","","",""
"rat230","Float","","Recommended","Ratio of absorbance at 260nm and 230nm","","",""
"gqn","Float","","Recommended","genomic DNA quality number","","",""
"seq_batch","Date","","Recommended","Sequencing batch: Date sent to sequencing facility","","",""
"eventname","String","60","Recommended","The event name for which the data was collected","","",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"assay_marker","String","255","Recommended","Antibody used against histone protein in order to immuno-precipitate the chromatin","","",""
"flowcell_given_to_core","String","255","Recommended","Flowcell identifier","","",""
"flowcell_2","String","255","Recommended","CMC_HBCC-specific flowcell identifier","","",""
"flowcell_name","String","255","Recommended","flowcell identifier","","",""
"flowcell_name_2","String","255","Recommended","CMC_HBCC-specific flowcell name","","",""
"flowcell_lane_a","String","255","Recommended","Flowcell lane","","",""
"flowcell_lane_b","String","255","Recommended","Flowcell lane","","",""
"flowcell_id","String","255","Recommended","Flowcell identifier","","multiple flowcells separated by ::",""
"lane_id","String","255","Recommended","Flowcell lane identifier","","",""
"array_chip_platform","String","255","Recommended","Name of genotyping array chip used","","",""
"array_chip_version","String","255","Recommended","Version of genotyping array chip used","","",""
"brain_rin","Float","","Recommended","RNA integrity number","","",""
"rine","Float","","Recommended","RIN equivalent (RINe) value for assigning integrity values to RNA","","",""
"source_tissue","String","255","Recommended","Brain tissue used to isolate the DNA/RNA i.e.","ACC; DLPFC; CER; dACC; STG; Dura; Hippo","anterior cingulate cortex (ACC); dorsal anterior cingulate cortex (dACC); dorsolateral prefrontal cortex (DLPFC); cerebellum (CER); superior temporal gyrus (STG); Dura mater (Dura); Hippocampus (Hippo);",""
"sample_prep_batch","String","255","Recommended","Sample preparation batch OR DNA/RNA Isolation batch OR experimental batch","","",""
"total_rna_dna","Float","","Recommended","Total RNA (micrograms) OR Total DNA (micrograms)","","",""
"library_prep_batch","String","255","Recommended","Sequencing library batch","","",""
"ribozero_batch","String","255","Recommended","Ribozero treatment batch","","",""
"sequencing_batch","String","255","Recommended","Sequencing batch","","",""
"flowcell_batch","String","255","Recommended","Multiplex batch","","",""
