"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"eventname","String","60","Required","The event name for which the data was collected","","",""
"ksads_homicidal_raw_835_p","Integer","","Recommended","In the past two weeks, how often did your child think seriously about wanting to kill someone?","0::4","0=Not at all; 1=Rarely; 2=Several days; 3=More than half the days; 4=Nearly every day",""
"ksads_homicidal_raw_836_p","Integer","","Recommended","Was there ever a time that your child thought seriously about wanting to kill someone?","0;1","0=No; 1=Yes",""
"ksads_homicidal_raw_837_p","Integer","","Recommended","Was there ever another time that your child thought seriously about wanting to kill someone?","0;1","0=No; 1=Yes",""
"ksads_homicidal_raw_838_p","Integer","","Recommended","In the past two weeks, did your child actually make any preparations to kill someone, like buy a gun or explosives?","0;1","0=No; 1=Yes",""
"ksads_homicidal_raw_839_p","Integer","","Recommended","Was there ever a time that your child made plans to kill someone or go on a killing spree?","0;1","0=No; 1=Yes",""
"ksads_homicidal_raw_840_p","Integer","","Recommended","Was there ever another time that your child made plans to kill someone or go on a killing spree?","0;1","0=No; 1=Yes",""
"ksads_homicidal_raw_841_p","String","60","Recommended","You said that in the past your child thought seriously about wanting to kill someone. When was that? If this was true of your child more than once, let me know when it was the most serious.","","",""
"ksads_homicidal_raw_842_p","String","60","Recommended","You said that in the past your child made plans to kill someone or go on a killing spree. When was that? If this was true of your child more than once, let me know when it was the most serious.","","",""
