"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"eventname","String","60","Required","The event name for which the data was collected","","",""
"ksads2_20_591_t","String","30","Recommended","Symptom - Negative impact role obligations, miss work, drug use (Solvent), Present","","",""
"ksads2_20_577_t","String","30","Recommended","Symptom - Failure to fulfill major role responsibilities due to substance use (Tobacco), Present","","",""
"ksads2_20_578_t","String","30","Recommended","Symptom - Negative impact interpersonal problems, drug use (Tobacco), Present","","",""
"ksads2_20_579_t","String","30","Recommended","Symptom - Often used more of substance than planned (Tobacco), Present","","",""
"ksads2_20_580_t","String","30","Recommended","Symptom - Use of substance/intoxicated while driving (Tobacco), Present","","",""
"ksads2_20_581_t","String","30","Recommended","Symptom - Substance use in physically dangerous situations (Tobacco), Present","","",""
"ksads2_20_582_t","String","30","Recommended","Symptom - Physical problems due to substance use (Tobacco), Present","","",""
"ksads2_20_583_t","String","30","Recommended","Symptom - Psychological problems due to substance use(Tobacco), Present","","",""
"ksads2_20_584_t","String","30","Recommended","Symptom - Craving, or strong desire to use substance (Tobacco), Present","","",""
"ksads2_20_585_t","String","30","Recommended","Symptom - Important activities given up or reduced due to substance use (Tobacco), Present","","",""
"ksads2_20_586_t","String","30","Recommended","Symptom - Persistent desire to reduce substance use (Tobacco), Present","","",""
"ksads2_20_587_t","String","30","Recommended","Symptom - Unsuccessful efforts to reduce substance use (Tobacco), Present","","",""
"ksads2_20_588_t","String","30","Recommended","Symptom - Substance Withdrawal (Tobacco), Present","","",""
"ksads2_20_589_t","String","30","Recommended","Symptom - Substance Tolerance (Tobacco), Present","","",""
"ksads2_20_590_t","String","30","Recommended","Symptom - Great deal of time obtaining, using or recovering from substance use (Tobacco), Present","","",""
"ksads2_20_576_t","String","30","Recommended","Symptom - Negative impact role obligations, miss work, drug use (Tobacco), Present","","",""
"ksads2_20_592_t","String","30","Recommended","Symptom - Failure to fulfill major role responsibilities due to substance use (Solvent), Present","","",""
"ksads2_20_593_t","String","30","Recommended","Symptom - Negative impact interpersonal problems, drug use (Solvent), Present","","",""
"ksads2_20_594_t","String","30","Recommended","Symptom - Often used more of substance than planned (Solvent), Present","","",""
"ksads2_20_595_t","String","30","Recommended","Symptom - Use of substance/intoxicated while driving (Solvent), Present","","",""
"ksads2_20_596_t","String","30","Recommended","Symptom - Substance use in physically dangerous situations (Solvent), Present","","",""
"ksads2_20_597_t","String","30","Recommended","Symptom - Physical problems due to substance use (Solvent), Present","","",""
"ksads2_20_598_t","String","30","Recommended","Symptom - Psychological problems due to substance use (Solvent), Present","","",""
"ksads2_20_599_t","String","30","Recommended","Symptom - Craving, or strong desire to use substance (Solvent), Present","","",""
"ksads2_20_600_t","String","30","Recommended","Symptom - Important activities given up or reduced due to substance use (Solvent), Present","","",""
"ksads2_20_601_t","String","30","Recommended","Symptom - Persistent desire to reduce substance use (Solvent), Present","","",""
"ksads2_20_602_t","String","30","Recommended","Symptom - Unsuccessful efforts to reduce substance use (Solvent), Present","","",""
"ksads2_20_603_t","String","30","Recommended","Symptom - Substance Withdrawal (Solvent), Present","","",""
"ksads2_20_604_t","String","30","Recommended","Symptom - Substance Tolerance (Solvent), Present","","",""
"ksads2_20_605_t","String","30","Recommended","Symptom - Great deal of time obtaining, using or recovering from substance use (Solvent), Present","","",""
"ksads2_20_561_t","String","30","Recommended","Symptom - Negative impact role obligations, miss work, drug use (Hallucinogen), Present","","",""
"ksads2_20_547_t","String","30","Recommended","Symptom - Failure to fulfill major role responsibilities due to substance use (Opioid), Present","","",""
"ksads2_20_548_t","String","30","Recommended","Symptom - Negative impact interpersonal problems, drug use (Opioid), Present","","",""
"ksads2_20_549_t","String","30","Recommended","Symptom - Often used more of substance than planned (Opioid), Present","","",""
"ksads2_20_550_t","String","30","Recommended","Symptom - Use of substance/intoxicated while driving (Opioid), Present","","",""
"ksads2_20_551_t","String","30","Recommended","Symptom - Substance use in physically dangerous situations (Opioid), Present","","",""
"ksads2_20_552_t","String","30","Recommended","Symptom - Physical problems due to substance use (Opioid), Present","","",""
"ksads2_20_553_t","String","30","Recommended","Symptom - Psychological problems due to substance use(Opioid), Present","","",""
"ksads2_20_554_t","String","30","Recommended","Symptom - Craving, or strong desire to use substance (Opioid), Present","","",""
"ksads2_20_555_t","String","30","Recommended","Symptom - Important activities given up or reduced due to substance use (Opioid), Present","","",""
"ksads2_20_556_t","String","30","Recommended","Symptom - Persistent desire to reduce substance use (Opioid), Present","","",""
"ksads2_20_557_t","String","30","Recommended","Symptom - Unsuccessful efforts to reduce substance use (Opioid), Present","","",""
"ksads2_20_558_t","String","30","Recommended","Symptom - Substance Withdrawal (Opioid), Present","","",""
"ksads2_20_559_t","String","30","Recommended","Symptom - Substance Tolerance (Opioid), Present","","",""
"ksads2_20_560_t","String","30","Recommended","Symptom - Great deal of time obtaining, using or recovering from substance use (Opioid), Present","","",""
"ksads2_20_606_t","String","30","Recommended","Symptom - Negative impact role obligations, miss work, drug use (Other Drugs), Present","","",""
"ksads2_20_562_t","String","30","Recommended","Symptom - Failure to fulfill major role responsibilities due to substance use (Hallucinogen), Present","","",""
"ksads2_20_563_t","String","30","Recommended","Symptom - Negative impact interpersonal problems, drug use (Hallucinogen), Present","","",""
"ksads2_20_564_t","String","30","Recommended","Symptom - Often used more of substance than planned (Hallucinogen), Present","","",""
"ksads2_20_565_t","String","30","Recommended","Symptom - Use of substance/intoxicated while driving (Hallucinogen), Present","","",""
"ksads2_20_566_t","String","30","Recommended","Symptom - Substance use in physically dangerous situations (Hallucinogen), Present","","",""
"ksads2_20_567_t","String","30","Recommended","Symptom - Physical problems due to substance use (Hallucinogen), Present","","",""
"ksads2_20_568_t","String","30","Recommended","Symptom - Psychological problems due to substance use(Hallucinogen), Present","","",""
"ksads2_20_569_t","String","30","Recommended","Symptom - Craving, or strong desire to use substance (Hallucinogen), Present","","",""
"ksads2_20_570_t","String","30","Recommended","Symptom - Important activities given up or reduced due to substance use (Hallucinogen), Present","","",""
"ksads2_20_571_t","String","30","Recommended","Symptom - Persistent desire to reduce substance use (Hallucinogen), Present","","",""
"ksads2_20_572_t","String","30","Recommended","Symptom - Unsuccessful efforts to reduce substance use (Hallucinogen), Present","","",""
"ksads2_20_573_t","String","30","Recommended","Symptom - Substance Withdrawal (Hallucinogen), Present","","",""
"ksads2_20_574_t","String","30","Recommended","Symptom - Substance Tolerance (Hallucinogen), Present","","",""
"ksads2_20_575_t","String","30","Recommended","Symptom - Great deal of time obtaining, using or recovering from substance use (Hallucinogen), Present","","",""
