"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"eventname","String","60","Required","The event name for which the data was collected","","",""
"ledsch_seda_cs_mn_grd_r_ol_wbg","Float","","Recommended","County Poolsub (''pooled by subject'' - within subjects) County Grade Slope of Mean Ach, Reading Language Arts, OLS est, CS HLM using SEDA HETOP est white minus black opportunity gap","","","led_sch_seda_cs_mn_grd_r_ol_wbg"
"ledsch_seda_cs_mn_grd_m_ol_nec","Float","","Recommended","County Poolsub (''pooled by subject'' - within subjects) County Grade Slope of Mean Ach, Math, OLS est, CS HLM using SEDA HETOP est not disadvantaged economically","","","led_sch_seda_cs_mn_grd_m_ol_nec"
"ledsch_seda_cs_mn_grd_m_ol_neg","Float","","Recommended","County Poolsub (''pooled by subject'' - within subjects) County Grade Slope of Mean Ach, Math, OLS est, CS HLM using SEDA HETOP est not disadvantaged economically minus economically disadvantaged gap","","","led_sch_seda_cs_mn_grd_m_ol_neg"
"ledsch_seda_cs_mn_grd_m_ol_nam","Float","","Recommended","County Poolsub (''pooled by subject'' - within subjects) County Grade Slope of Mean Ach, Math, OLS est, CS HLM using SEDA HETOP est native-american","","","led_sch_seda_cs_mn_grd_m_ol_nam"
"ledsch_seda_cs_mn_grd_r_ol_all","Float","","Recommended","County Poolsub (''pooled by subject'' - within subjects) County Grade Slope of Mean Ach, Reading Language Arts, OLS est, CS HLM using SEDA HETOP est all","","","led_sch_seda_cs_mn_grd_r_ol_all"
"ledsch_seda_cs_mn_grd_r_ol_blk","Float","","Recommended","County Poolsub (''pooled by subject'' - within subjects) County Grade Slope of Mean Ach, Reading Language Arts, OLS est, CS HLM using SEDA HETOP est black","","","led_sch_seda_cs_mn_grd_r_ol_blk"
"ledsch_seda_cs_mn_grd_r_ol_asn","Float","","Recommended","County Poolsub (''pooled by subject'' - within subjects) County Grade Slope of Mean Ach, Reading Language Arts, OLS est, CS HLM using SEDA HETOP est asian","","","led_sch_seda_cs_mn_grd_r_ol_asn"
"ledsch_seda_cs_mn_grd_r_ol_his","Float","","Recommended","County Poolsub (''pooled by subject'' - within subjects) County Grade Slope of Mean Ach, Reading Language Arts, OLS est, CS HLM using SEDA HETOP est hispanic","","","led_sch_seda_cs_mn_grd_r_ol_his"
"ledsch_seda_cs_mn_grd_r_ol_wht","Float","","Recommended","County Poolsub (''pooled by subject'' - within subjects) County Grade Slope of Mean Ach, Reading Language Arts, OLS est, CS HLM using SEDA HETOP est white","","","led_sch_seda_cs_mn_grd_r_ol_wht"
"ledsch_seda_cs_mn_grd_r_ol_fem","Float","","Recommended","County Poolsub (''pooled by subject'' - within subjects) County Grade Slope of Mean Ach, Reading Language Arts, OLS est, CS HLM using SEDA HETOP est female","","","led_sch_seda_cs_mn_grd_r_ol_fem"
"ledsch_seda_cs_mn_grd_r_ol_mal","Float","","Recommended","County Poolsub (''pooled by subject'' - within subjects) County Grade Slope of Mean Ach, Reading Language Arts, OLS est, CS HLM using SEDA HETOP est male","","","led_sch_seda_cs_mn_grd_r_ol_mal"
"ledsch_seda_cs_mn_grd_r_ol_mfg","Float","","Recommended","County Poolsub (''pooled by subject'' - within subjects) County Grade Slope of Mean Ach, Reading Language Arts, OLS est, CS HLM using SEDA HETOP est male minus female opportunity gap","","","led_sch_seda_cs_mn_grd_r_ol_mfg"
"ledsch_seda_cs_mn_grd_r_ol_wag","Float","","Recommended","County Poolsub (''pooled by subject'' - within subjects) County Grade Slope of Mean Ach, Reading Language Arts, OLS est, CS HLM using SEDA HETOP est white minus asian opportunity gap","","","led_sch_seda_cs_mn_grd_r_ol_wag"
"ledsch_seda_cs_mn_grd_m_ol_ecd","Float","","Recommended","County Poolsub (''pooled by subject'' - within subjects) County Grade Slope of Mean Ach, Math, OLS est, CS HLM using SEDA HETOP est economically disadvantaged","","","led_sch_seda_cs_mn_grd_m_ol_ecd"
"ledsch_seda_cs_mn_grd_r_ol_whg","Float","","Recommended","County Poolsub (''pooled by subject'' - within subjects) County Grade Slope of Mean Ach, Reading Language Arts, OLS est, CS HLM using SEDA HETOP est white minus hispanic opportunity gap","","","led_sch_seda_cs_mn_grd_r_ol_whg"
"ledsch_seda_cs_mn_grd_r_ol_ecd","Float","","Recommended","County Poolsub (''pooled by subject'' - within subjects) County Grade Slope of Mean Ach, Reading Language Arts, OLS est, CS HLM using SEDA HETOP est economically disadvantaged","","","led_sch_seda_cs_mn_grd_r_ol_ecd"
"ledsch_seda_cs_mn_grd_r_ol_nec","Float","","Recommended","County Poolsub (''pooled by subject'' - within subjects) County Grade Slope of Mean Ach, Reading Language Arts, OLS est, CS HLM using SEDA HETOP est not disadvantaged economically","","","led_sch_seda_cs_mn_grd_r_ol_nec"
"ledsch_seda_cs_mn_grd_r_ol_neg","Float","","Recommended","County Poolsub (''pooled by subject'' - within subjects) County Grade Slope of Mean Ach, Reading Language Arts, OLS est, CS HLM using SEDA HETOP est not disadvantaged economically minus economically disadvantaged gap","","","led_sch_seda_cs_mn_grd_r_ol_neg"
"ledsch_seda_cs_mn_grd_r_ol_nam","Float","","Recommended","County Poolsub (''pooled by subject'' - within subjects) County Grade Slope of Mean Ach, Reading Language Arts, OLS est, CS HLM using SEDA HETOP est native-american","","","led_sch_seda_cs_mn_grd_r_ol_nam"
"ledsch_seda_cs_mn_coh_m_ol_all","Float","","Recommended","County Poolsub (''pooled by subject'' - within subjects) County Cohort Slope of Mean Ach, Math, OLS est, CS HLM using SEDA HETOP est all","","","led_sch_seda_cs_mn_coh_m_ol_all"
"ledsch_seda_cs_mn_coh_m_ol_blk","Float","","Recommended","County Poolsub (''pooled by subject'' - within subjects) County Cohort Slope of Mean Ach, Math, OLS est, CS HLM using SEDA HETOP est black","","","led_sch_seda_cs_mn_coh_m_ol_blk"
"ledsch_seda_cs_mn_coh_m_ol_asn","Float","","Recommended","County Poolsub (''pooled by subject'' - within subjects) County Cohort Slope of Mean Ach, Math, OLS est, CS HLM using SEDA HETOP est asian","","","led_sch_seda_cs_mn_coh_m_ol_asn"
"ledsch_seda_cs_mn_coh_m_ol_his","Float","","Recommended","County Poolsub (''pooled by subject'' - within subjects) County Cohort Slope of Mean Ach, Math, OLS est, CS HLM using SEDA HETOP est hispanic","","","led_sch_seda_cs_mn_coh_m_ol_his"
"ledsch_seda_cs_mn_coh_m_ol_wht","Float","","Recommended","County Poolsub (''pooled by subject'' - within subjects) County Cohort Slope of Mean Ach, Math, OLS est, CS HLM using SEDA HETOP est white","","","led_sch_seda_cs_mn_coh_m_ol_wht"
