"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"mex_american1_p","Integer","","Recommended","Tell me how much you believe that . . .One's belief in God gives inner strength and meaning to life./ La creencia en Dios da fuerza interna y significado a la vida.","1::5","1 = Not at All /Nada; 2 = A Little /Poquito; 3 = Somewhat /Algo; 4 = Very Much /Bastante; 5 = Completely/ Completamente/ The next statements are about what people may think or believe. Remember, there are no right or wrong answers","macvs_1_p"
"mex_american2_p","Integer","","Recommended","Tell me how much you believe that . . .Parents should teach their children that the family always comes first. / Los padres deberían enseñarle a sus hijos que la familia siempre es primero.","1::5","1 = Not at All /Nada; 2 = A Little /Poquito; 3 = Somewhat /Algo; 4 = Very Much /Bastante; 5 = Completely/ Completamente/ The next statements are about what people may think or believe. Remember, there are no right or wrong answers","macvs_2_p"
"mex_american3_p","Integer","","Recommended","Tell me how much you believe that . . .Children should be taught that it is their duty to care for their parents when their parents get old. / Se les debería enseñar a los niños que es su obligación cuidar a sus padres cuando ellos envejezcan.","1::5","1 = Not at All /Nada; 2 = A Little /Poquito; 3 = Somewhat /Algo; 4 = Very Much /Bastante; 5 = Completely/ Completamente/ The next statements are about what people may think or believe. Remember, there are no right or wrong answers","macvs_3_p"
"mex_american4_p","Integer","","Recommended","Tell me how much you believe that . . .Children should always do things to make their parents happy. / Los niños siempre deberían hacer las cosas que hagan a sus padres felices.","1::5","1 = Not at All /Nada; 2 = A Little /Poquito; 3 = Somewhat /Algo; 4 = Very Much /Bastante; 5 = Completely/ Completamente/ The next statements are about what people may think or believe. Remember, there are no right or wrong answers","macvs_4_p"
"mex_american5_p","Integer","","Recommended","Tell me how much you believe that . . .People should learn how to take care of themselves and not depend on others. / La gente debería aprender cómo cuidarse sola y no depender de otros.","1::5","1 = Not at All /Nada; 2 = A Little /Poquito; 3 = Somewhat /Algo; 4 = Very Much /Bastante; 5 = Completely/ Completamente/ The next statements are about what people may think or believe. Remember, there are no right or wrong answers","macvs_5_p"
"mex_american6_p","Integer","","Recommended","Tell me how much you believe that . . .God is first; family is second. / Dios está primero, la familia está segundo.","1::5","1 = Not at All /Nada; 2 = A Little /Poquito; 3 = Somewhat /Algo; 4 = Very Much /Bastante; 5 = Completely/ Completamente/ The next statements are about what people may think or believe. Remember, there are no right or wrong answers","macvs_6_p"
"mex_american7_p","Integer","","Recommended","Tell me how much you believe that . . .Family provides a sense of security because they will always be there for you. / La familia provee un sentido de seguridad, porque ellos siempre estarán alli para usted.","1::5","1 = Not at All /Nada; 2 = A Little /Poquito; 3 = Somewhat /Algo; 4 = Very Much /Bastante; 5 = Completely/ Completamente/ The next statements are about what people may think or believe. Remember, there are no right or wrong answers","macvs_7_p"
"mex_american8_p","Integer","","Recommended","Tell me how much you believe that . . .If a relative is having a hard time financially, one should help them out if possible. / Si un pariente está teniendo dificultades económicas, uno debería ayudarlo si puede.","1::5","1 = Not at All /Nada; 2 = A Little /Poquito; 3 = Somewhat /Algo; 4 = Very Much /Bastante; 5 = Completely/ Completamente/ The next statements are about what people may think or believe. Remember, there are no right or wrong answers","macvs_8_p"
"mex_american9_p","Integer","","Recommended","Tell me how much you believe that . . .When it comes to important decisions, the family should ask for advice from close relatives. / La familia debería pedir consejos a sus parientes más cercanos cuando se trata de decisiones importantes.","1::5","1 = Not at All /Nada; 2 = A Little /Poquito; 3 = Somewhat /Algo; 4 = Very Much /Bastante; 5 = Completely/ Completamente/ The next statements are about what people may think or believe. Remember, there are no right or wrong answers","macvs_9_p"
"mex_american10_p","Integer","","Recommended","Tell me how much you believe that . . .The most important thing parents can teach their children is to be independent from others. / Lo más importante que los padres pueden enseñarle a sus hijos es que sean independientes de otros.","1::5","1 = Not at All /Nada; 2 = A Little /Poquito; 3 = Somewhat /Algo; 4 = Very Much /Bastante; 5 = Completely/ Completamente/ The next statements are about what people may think or believe. Remember, there are no right or wrong answers","macvs_10_p"
"mex_american11_p","Integer","","Recommended","Tell me how much you believe that . . .Parents should teach their children how to pray. / Los padres deberían enseñarle a sus hijos a rezar.","1::5","1 = Not at All /Nada; 2 = A Little /Poquito; 3 = Somewhat /Algo; 4 = Very Much /Bastante; 5 = Completely/ Completamente/ The next statements are about what people may think or believe. Remember, there are no right or wrong answers","macvs_11_p"
"mex_american12_p","Integer","","Recommended","Tell me how much you believe that . . .It is always important to be united as a family. / Siempre es importante estar unidos como familia.","1::5","1 = Not at All /Nada; 2 = A Little /Poquito; 3 = Somewhat /Algo; 4 = Very Much /Bastante; 5 = Completely/ Completamente/ The next statements are about what people may think or believe. Remember, there are no right or wrong answers","macvs_12_p"
"mex_american13_p","Integer","","Recommended","Tell me how much you believe that . . .A person should share their home with relatives if they need a place to stay. / Uno debería compartir su casa con parientes si ellos necesitan donde quedarse.","1::5","1 = Not at All /Nada; 2 = A Little /Poquito; 3 = Somewhat /Algo; 4 = Very Much /Bastante; 5 = Completely/ Completamente/ The next statements are about what people may think or believe. Remember, there are no right or wrong answers","macvs_13_p"
"mex_american14_p","Integer","","Recommended","Tell me how much you believe that . . .As children get older their parents should allow them to make their own decisions. / Según los niños van creciendo, los padres deberían dejar que ellos tomen sus propias decisions.","1::5","1 = Not at All /Nada; 2 = A Little /Poquito; 3 = Somewhat /Algo; 4 = Very Much /Bastante; 5 = Completely/ Completamente/ The next statements are about what people may think or believe. Remember, there are no right or wrong answers","macvs_14_p"
"mex_american15_p","Integer","","Recommended","Tell me how much you believe that . . .If everything is taken away, one still has their faith in God. / Si a uno le quitan todo, todavía le queda la fe en Dios.","1::5","1 = Not at All /Nada; 2 = A Little /Poquito; 3 = Somewhat /Algo; 4 = Very Much /Bastante; 5 = Completely/ Completamente/ The next statements are about what people may think or believe. Remember, there are no right or wrong answers","macvs_15_p"
"mex_american16_p","Integer","","Recommended","Tell me how much you believe that . . .It is important to have close relationships with aunts/uncles, grandparents, and cousins. / Es importante mantener relaciones cercanas con tíos, abuelos y primos.","1::5","1 = Not at All /Nada; 2 = A Little /Poquito; 3 = Somewhat /Algo; 4 = Very Much /Bastante; 5 = Completely/ Completamente/ The next statements are about what people may think or believe. Remember, there are no right or wrong answers","macvs_16_p"
"mex_american17_p","Integer","","Recommended","Tell me how much you believe that . . .Older kids should take care of and be role models for their younger brothers and sisters. / Los hermanos grandes deberían cuidar y darles el buen ejemplo a los hermanos y hermanas menores.","1::5","1 = Not at All /Nada; 2 = A Little /Poquito; 3 = Somewhat /Algo; 4 = Very Much /Bastante; 5 = Completely/ Completamente/ The next statements are about what people may think or believe. Remember, there are no right or wrong answers","macvs_17_p"
