"ElementName","DataType","Size","Required","Condition","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"brought_medications","Integer","","Recommended","","Did your child take any medications in the past two weeks and if so did you bring them with you? ? /¿Su niño(a) tomó algún medicamento en las últimas dos semanas? Si la respuesta es sí, trajo todos los medicamentos de su niño(a) a esta visita?","0;1;2;3;4","0 = Yes; 1 = Yes; 2 = Refused - Record reason for refusal in Comments Section Se negó - anote el motivo por el cual se negó en la sección de Comentarios.; 3 = Took No Medications No usó ningún medicamento | Mark the form status as 'Unverified' if you are waiting on the parent to provide child's medications.//The ABCD Study will be describing all medications its participants are using, both prescription and over-the-counter. These include pills, liquid medications; skin patches, eye drops, creams, salves, inhalers and injections, as well as cold or allergy medications, vitamins, herbal remedies and other supplements","medinv_plus_brought_med_p"
"med1_rxnorm_p","String","200","Recommended","brought_medications == 0","Medication Name (please choose the formulation that most closely matches the medication taken by your child; no need to include dosage)  Nombre del Medicamento (por favor, elija la formulaciue mse aproxime a la medicaciomada por su ni); no hay necesidad de incluir la dosis)","","This variable may include all variants available in the Bioportal RxNorm database (https://bioportal.bioontology.org). Please refer to this database for additional information on trade/generic names and formulations.","medinv_plus_rxnorm_med1_p"
"medication1_dosage","String","150","Recommended"," notNull(med1_rxnorm_p) &&  isNull(med1_dk)","First medication dosage","","0 = No medication; 999 = Missing","medinv_plus_rx_med1_dose_p,rx_med1_dose_p,strength_prescription_medication1"
"med1_dk","Integer","","Recommended","notNull(med1_rxnorm_p) &&  isNull(medication1_dosage)","Medication 1. Strength dose. Don't know /No lo sé","999","999 = Don't know/ No lo sé","medinv_plus_rx_med1_dk_p"
"rx_med1_units_p","Integer","","Recommended"," notNull(med1_rxnorm_p) &&  isNull(med1_dk)","Medication 1. Strength unit / Unidad","1 ::17","1 = capsule (cap.; 12 = tablet (tab.); 11 = tablespoon (tbsp; 13 = teaspoon (tsp; 2 = drop (gtt); 3 = gram (g); 15 = milligram (mg); 16 = megagram (MGG); 4 = kilogram (kg); 5 = liter (L); 6 = microgram (msg); 7 = mililiter (mL); 8 = ounce (oz); 9 = pound (lb); 10 = quart (qt); 14 = OTHER; 17 = International Units (IU)","medinv_plus_rx_med1_units_p"
"rx_med1_xr","Integer","","Recommended","notNull(med1_rxnorm_p)","Medication 1. Is the medication extended-release (XR)? /¿Es un medicamento de liberación prolongada?","1 ; 0; 999","1 = Yes /Sí; 0 = No /No; 999 = I don’t know/ No lo sé","medinv_plus_rx_med1_xr_p"
"rx_med1_prn","Integer","","Recommended"," notNull(med1_rxnorm_p)","Medication 1. PRN (as needed) Medication? ? /¿Es un medicamento PRN, es decir un medicamento que se puede tomar según necesidad?","1 ; 0; 999","1 = Yes /Sí; 0 = No /No; 999 = I don’t know/ No lo sé","medinv_plus_rx_med1_prn_p"
"rx_med1_sched_p","String","30","Recommended"," notNull(med1_rxnorm_p)","Medication 1. On average during the last two weeks, how many of these pills (or other medication items) did your child take per day? En promedio durante las últimas dos semanas? /¿cuántas de estas píldoras (u otros medicamentos) tomó su hijo por día?","","RA: If participant took less than 1 pill per day, then input the decimal value representing daily use. For example, if someone took 1 pill in a week, enter 0.14 (i.e., 1 divided by 7 days).  If s/he took 1 pill in two weeks, enter 0.07 (i.e., 1 divided by 14 days). If s/he took less than 1 pill every two weeks, then enter 0.","medinv_plus_rx_med1_freq_p"
"rx_med1_24","Integer","","Recommended"," notNull(med1_rxnorm_p)","Medication 1. Did your child take this medication in the last 24 hours?? /¿Tomó su niño(a) este medicamento en las últimas 24 horas?","1 ; 0","1 = Yes /Sí; 0 = No /No","medinv_plus_rx_med1_24_p"
"rx_med1_ago","String","30","Recommended"," rx_med1_24   == 1","Medication 1. P. How long ago did your son/daughter take the medication? / Â¿Hace cuÃ¡nto tiempo que su niÃ±o(a) tomÃ³ o usÃ³ dicho medicamento? Y. How long ago did you take the medication?
","","(in hours; 30 mins=0.5, max hours = 24) / en horas; 30 minutos=0.5, horas máximas=24)","medinv_plus_rx_med1_ago_p"
"prescribe_med_2_yn","Integer","","Recommended"," notNull(med1_rxnorm_p)","Does your child take any other prescription medications?","1 ; 0","1 = Yes /Sí; 0 = No /No","medinv_plus_rx_med2_yn"
"med2_rxnorm_p","String","170","Recommended","prescribe_med_2_yn == 1","Medication Name (please choose the formulation that most closely matches the medication taken by your child; no need to include dosage)  Nombre del Medicamento (por favor, elija la formulaciue mse aproxime a la medicaciomada por su ni); no hay necesidad de incluir la dosis)","","This variable may include all variants available in the Bioportal RxNorm database (https://bioportal.bioontology.org). Please refer to this database for additional information on trade/generic names and formulations.","medinv_plus_rxnorm_med2_p"
"medication2_dosage","String","100","Recommended"," prescribe_med_2_yn   == 1 && isNull(med2_dk)","Second medication dosage","","0 = No medication; 999 = Missing","medinv_plus_rx_med2_dose_p,rx_med2_dose_p,strength_prescription_medication2"
"med2_dk","Integer","","Recommended","notNull(med2_rxnorm_p) &&  isNull(medication2_dosage)","Medication 2. Strength dose. Don't know /No lo sé","999","999 = Don't know/ No lo sé","medinv_plus_rx_med2_dk_p"
"units_rx_med2","Integer","","Recommended"," prescribe_med_2_yn   == 1 && isNull(med2_dk)","Medication 2. Strength unit / Unidad","1::17","1 = capsule (cap.; 12 = tablet (tab.); 11 = tablespoon (tbsp; 13 = teaspoon (tsp; 2 = drop (gtt); 3 = gram (g); 15 = milligram (mg); 16 = megagram (MGG); 4 = kilogram (kg); 5 = liter (L); 6 = microgram (msg); 7 = mililiter (mL); 8 = ounce (oz); 9 = pound (lb); 10 = quart (qt); 14 = OTHER","medinv_plus_rx_med2_units_p,units_prescription_medication2"
"rx_med2_xr","Integer","","Recommended"," prescribe_med_2_yn   == 1","Medication 2. Is the medication extended-release (XR)? /¿Es un medicamento de liberación prolongada?","1 ; 0; 999","1 = Yes /Sí; 0 = No /No; 999 = I don’t know/ No lo sé","medinv_plus_rx_med2_xr_p"
"prn_medicine_rx_med2","Integer","","Recommended"," prescribe_med_2_yn   == 1","Medication 2. PRN (as needed) Medication? ? /¿Es un medicamento PRN, es decir un medicamento que se puede tomar según necesidad?","1 ; 0; 999","1 = Yes /Sí; 0 = No /No; 999 = I don’t know/ No lo sé","medinv_plus_rx_med2_prn_p,prn_medicine_prescription_medication2"
