"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"eventname","String","60","Recommended","The event name for which the data was collected","","",""
"tfmri_sst_r1_sem_visitid","String","60","Recommended","Visit name","","","tfmri_sst_run1_sem_visitid"
"tfmri_sst_r1_sem_tr","Float","","Recommended","Pulse repetition time in seconds","","","tfmri_sst_run1_sem_tr"
"tfmri_sst_r1_sem_numtrs","Integer","","Recommended","Number of frames in acquisition","","","tfmri_sst_run1_sem_num.trs,tfmri_sst_run1_sem_numtrs"
"tfmri_sst_r1_sem_dof","Integer","","Recommended","Degrees of freedom","","","tfmri_sst_run1_sem_dof"
"tfmri_sst_r1_sem_nvols","Integer","","Recommended","Number of frames after removing dummy frames","","","tfmri_sst_run1_sem_nvols"
"tfmri_sst_r1_sem_sthnvols","Integer","","Recommended","Number of frames with FD < 0.2","","","tfmri_sst_run1_sem_subthresh.nvols,tfmri_sst_run1_sem_subthreshnvols"
"tfmri_sst_r1_sem_mm","Float","","Recommended","Average framewise displacement in mm","","","tfmri_sst_run1_sem_mean.motion,tfmri_sst_run1_sem_meanmotion"
"tfmri_sst_r1_sem_maxmotion","Float","","Recommended","Maximum framewise displacement in mm","","","tfmri_sst_run1_sem_max.motion,tfmri_sst_run1_sem_maxmotion"
"tfmri_sst_r1_sem_meantrans","Float","","Recommended","Average framewise translation in mm","","","tfmri_sst_run1_sem_mean.trans,tfmri_sst_run1_sem_meantrans"
"tfmri_sst_r1_sem_maxtrans","Float","","Recommended","Maximum framewise translation in mm","","","tfmri_sst_run1_sem_max.trans,tfmri_sst_run1_sem_maxtrans"
"tfmri_sst_r1_sem_meanrot","Float","","Recommended","Average framewise rotation in radians","","","tfmri_sst_run1_sem_mean.rot,tfmri_sst_run1_sem_meanrot"
"tfmri_sst_r1_sem_maxrot","Float","","Recommended","Maximum framewise rotation in radians","","","tfmri_sst_run1_sem_max.rot,tfmri_sst_run1_sem_maxrot"
"tfmri_sst_r1sem_1","Float","","Recommended","Standard error of the mean for SST run 1 correct go versus fixation contrast in ASEG ROI left-cerebral-white-matter","","","tfmri_sst_run1_correct.go.vs.fixation_sem_subcort.aseg_cerebral.white.matter.lh,tfmri_sst_run1_correctgovsfixation_sem_subcortaseg_cerebralwhitematterlh"
"tfmri_sst_r1sem_2","Float","","Recommended","Standard error of the mean for SST run 1 correct go versus fixation contrast in ASEG ROI left-lateral-ventricle","","","tfmri_sst_run1_correct.go.vs.fixation_sem_subcort.aseg_lateral.ventricle.lh,tfmri_sst_run1_correctgovsfixation_sem_subcortaseg_lateralventriclelh"
"tfmri_sst_r1sem_3","Float","","Recommended","Standard error of the mean for SST run 1 correct go versus fixation contrast in ASEG ROI left-inf-lat-vent","","","tfmri_sst_run1_correct.go.vs.fixation_sem_subcort.aseg_inf.lat.vent.lh,tfmri_sst_run1_correctgovsfixation_sem_subcortaseg_inflatventlh"
"tfmri_sst_r1sem_4","Float","","Recommended","Standard error of the mean for SST run 1 correct go versus fixation contrast in ASEG ROI left-cerebellum-white-matter","","","tfmri_sst_run1_correct.go.vs.fixation_sem_subcort.aseg_cerebellum.white.matter.lh,tfmri_sst_run1_correctgovsfixation_sem_subcortaseg_cerebellumwhitematterlh"
"tfmri_sst_r1sem_5","Float","","Recommended","Standard error of the mean for SST run 1 correct go versus fixation contrast in ASEG ROI left-cerebellum-cortex","","","tfmri_sst_run1_correct.go.vs.fixation_sem_subcort.aseg_cerebellum.cortex.lh,tfmri_sst_run1_correctgovsfixation_sem_subcortaseg_cerebellumcortexlh"
"tfmri_sst_r1sem_6","Float","","Recommended","Standard error of the mean for SST run 1 correct go versus fixation contrast in ASEG ROI left-thalamus-proper","","","tfmri_sst_run1_correct.go.vs.fixation_sem_subcort.aseg_thalamus.proper.lh,tfmri_sst_run1_correctgovsfixation_sem_subcortaseg_thalamusproperlh"
"tfmri_sst_r1sem_7","Float","","Recommended","Standard error of the mean for SST run 1 correct go versus fixation contrast in ASEG ROI left-caudate","","","tfmri_sst_run1_correct.go.vs.fixation_sem_subcort.aseg_caudate.lh,tfmri_sst_run1_correctgovsfixation_sem_subcortaseg_caudatelh"
"tfmri_sst_r1sem_8","Float","","Recommended","Standard error of the mean for SST run 1 correct go versus fixation contrast in ASEG ROI left-putamen","","","tfmri_sst_run1_correct.go.vs.fixation_sem_subcort.aseg_putamen.lh,tfmri_sst_run1_correctgovsfixation_sem_subcortaseg_putamenlh"
"tfmri_sst_r1sem_9","Float","","Recommended","Standard error of the mean for SST run 1 correct go versus fixation contrast in ASEG ROI left-pallidum","","","tfmri_sst_run1_correct.go.vs.fixation_sem_subcort.aseg_pallidum.lh,tfmri_sst_run1_correctgovsfixation_sem_subcortaseg_pallidumlh"
"tfmri_sst_r1sem_10","Float","","Recommended","Standard error of the mean for SST run 1 correct go versus fixation contrast in ASEG ROI 3rd-ventricle","","","tfmri_sst_run1_correct.go.vs.fixation_sem_subcort.aseg_3rd.ventricle,tfmri_sst_run1_correctgovsfixation_sem_subcortaseg_3rdventricle"
"tfmri_sst_r1sem_11","Float","","Recommended","Standard error of the mean for SST run 1 correct go versus fixation contrast in ASEG ROI 4th-ventricle","","","tfmri_sst_run1_correct.go.vs.fixation_sem_subcort.aseg_4th.ventricle,tfmri_sst_run1_correctgovsfixation_sem_subcortaseg_4thventricle"
"tfmri_sst_r1sem_12","Float","","Recommended","Standard error of the mean for SST run 1 correct go versus fixation contrast in ASEG ROI brain-stem","","","tfmri_sst_run1_correct.go.vs.fixation_sem_subcort.aseg_brain.stem,tfmri_sst_run1_correctgovsfixation_sem_subcortaseg_brainstem"
"tfmri_sst_r1sem_13","Float","","Recommended","Standard error of the mean for SST run 1 correct go versus fixation contrast in ASEG ROI left-hippocampus","","","tfmri_sst_run1_correct.go.vs.fixation_sem_subcort.aseg_hippocampus.lh,tfmri_sst_run1_correctgovsfixation_sem_subcortaseg_hippocampuslh"
"tfmri_sst_r1sem_14","Float","","Recommended","Standard error of the mean for SST run 1 correct go versus fixation contrast in ASEG ROI left-amygdala","","","tfmri_sst_run1_correct.go.vs.fixation_sem_subcort.aseg_amygdala.lh,tfmri_sst_run1_correctgovsfixation_sem_subcortaseg_amygdalalh"
"tfmri_sst_r1sem_15","Float","","Recommended","Standard error of the mean for SST run 1 correct go versus fixation contrast in ASEG ROI csf","","","tfmri_sst_run1_correct.go.vs.fixation_sem_subcort.aseg_csf,tfmri_sst_run1_correctgovsfixation_sem_subcortaseg_csf"
