"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"eventname","String","60","Recommended","The event name for which the data was collected","","",""
"tfmri_nback_all_sem_visitid","String","60","Recommended","Visit name","","","tfmri_nback_all_sem_visitid"
"tfmri_nback_all_sem_tr","Float","","Recommended","Pulse repetition time in seconds","","","tfmri_nback_all_sem_tr"
"tfmri_nback_all_sem_numtrs","Integer","","Recommended","Number of frames in acquisition","","","tfmri_nback_all_sem_num.trs,tfmri_nback_all_sem_numtrs"
"tfmri_nback_all_sem_dof","Integer","","Recommended","Degrees of freedom","","","tfmri_nback_all_sem_dof"
"tfmri_nback_all_sem_nvols","Integer","","Recommended","Number of frames after removing dummy frames","","","tfmri_nback_all_sem_nvols"
"tfmri_nback_all_sem_subthnvols","Integer","","Recommended","Number of frames with FD < 0.2","","","tfmri_nback_all_sem_subthresh.nvols,tfmri_nback_all_sem_subthreshnvols"
"tfmri_nback_all_sem_mm","Float","","Recommended","Average framewise displacement in mm","","","tfmri_nback_all_sem_mean.motion,tfmri_nback_all_sem_meanmotion"
"tfmri_nback_all_sem_maxmotion","Float","","Recommended","Maximum framewise displacement in mm","","","tfmri_nback_all_sem_max.motion"
"tfmri_nback_all_sem_meantrans","Float","","Recommended","Average framewise translation in mm","","","tfmri_nback_all_sem_mean.trans"
"tfmri_nback_all_sem_maxtrans","Float","","Recommended","Maximum framewise translation in mm","","","tfmri_nback_all_sem_max.trans"
"tfmri_nback_all_sem_meanrot","Float","","Recommended","Average framewise rotation in radians","","","tfmri_nback_all_sem_mean.rot"
"tfmri_nback_all_sem_maxrot","Float","","Recommended","Maximum framewise rotation in radians","","","tfmri_nback_all_sem_max.rot"
"tfmrinbackallsem_1","Float","","Recommended","Standard error of the mean for nBack 0 back condition in ASEG ROI left-cerebral-white-matter","","","tfmri_nback_all_0.back_sem_subcort.aseg_cerebral.white.matter.lh,tfmri_nback_all_0back_sem_subcortaseg_cerebralwhitematterlh"
"tfmrinbackallsem_2","Float","","Recommended","Standard error of the mean for nBack 0 back condition in ASEG ROI left-lateral-ventricle","","","tfmri_nback_all_0.back_sem_subcort.aseg_lateral.ventricle.lh,tfmri_nback_all_0back_sem_subcortaseg_lateralventriclelh"
"tfmrinbackallsem_3","Float","","Recommended","Standard error of the mean for nBack 0 back condition in ASEG ROI left-inf-lat-vent","","","tfmri_nback_all_0.back_sem_subcort.aseg_inf.lat.vent.lh,tfmri_nback_all_0back_sem_subcortaseg_inflatventlh"
"tfmrinbackallsem_4","Float","","Recommended","Standard error of the mean for nBack 0 back condition in ASEG ROI left-cerebellum-white-matter","","","tfmri_nback_all_0.back_sem_subcort.aseg_cerebellum.white.matter.lh,tfmri_nback_all_0back_sem_subcortaseg_cerebellumwhitematterlh"
"tfmrinbackallsem_5","Float","","Recommended","Standard error of the mean for nBack 0 back condition in ASEG ROI left-cerebellum-cortex","","","tfmri_nback_all_0.back_sem_subcort.aseg_cerebellum.cortex.lh,tfmri_nback_all_0back_sem_subcortaseg_cerebellumcortexlh"
"tfmrinbackallsem_6","Float","","Recommended","Standard error of the mean for nBack 0 back condition in ASEG ROI left-thalamus-proper","","","tfmri_nback_all_0.back_sem_subcort.aseg_thalamus.proper.lh,tfmri_nback_all_0back_sem_subcortaseg_thalamusproperlh"
"tfmrinbackallsem_7","Float","","Recommended","Standard error of the mean for nBack 0 back condition in ASEG ROI left-caudate","","","tfmri_nback_all_0.back_sem_subcort.aseg_caudate.lh,tfmri_nback_all_0back_sem_subcortaseg_caudatelh"
"tfmrinbackallsem_8","Float","","Recommended","Standard error of the mean for nBack 0 back condition in ASEG ROI left-putamen","","","tfmri_nback_all_0.back_sem_subcort.aseg_putamen.lh,tfmri_nback_all_0back_sem_subcortaseg_putamenlh"
"tfmrinbackallsem_9","Float","","Recommended","Standard error of the mean for nBack 0 back condition in ASEG ROI left-pallidum","","","tfmri_nback_all_0.back_sem_subcort.aseg_pallidum.lh,tfmri_nback_all_0back_sem_subcortaseg_pallidumlh"
"tfmrinbackallsem_10","Float","","Recommended","Standard error of the mean for nBack 0 back condition in ASEG ROI 3rd-ventricle","","","tfmri_nback_all_0.back_sem_subcort.aseg_3rd.ventricle,tfmri_nback_all_0back_sem_subcortaseg_3rdventricle"
"tfmrinbackallsem_11","Float","","Recommended","Standard error of the mean for nBack 0 back condition in ASEG ROI 4th-ventricle","","","tfmri_nback_all_0.back_sem_subcort.aseg_4th.ventricle,tfmri_nback_all_0back_sem_subcortaseg_4thventricle"
"tfmrinbackallsem_12","Float","","Recommended","Standard error of the mean for nBack 0 back condition in ASEG ROI brain-stem","","","tfmri_nback_all_0.back_sem_subcort.aseg_brain.stem,tfmri_nback_all_0back_sem_subcortaseg_brainstem"
"tfmrinbackallsem_13","Float","","Recommended","Standard error of the mean for nBack 0 back condition in ASEG ROI left-hippocampus","","","tfmri_nback_all_0.back_sem_subcort.aseg_hippocampus.lh,tfmri_nback_all_0back_sem_subcortaseg_hippocampuslh"
"tfmrinbackallsem_14","Float","","Recommended","Standard error of the mean for nBack 0 back condition in ASEG ROI left-amygdala","","","tfmri_nback_all_0.back_sem_subcort.aseg_amygdala.lh,tfmri_nback_all_0back_sem_subcortaseg_amygdalalh"
"tfmrinbackallsem_15","Float","","Recommended","Standard error of the mean for nBack 0 back condition in ASEG ROI csf","","","tfmri_nback_all_0.back_sem_subcort.aseg_csf,tfmri_nback_all_0back_sem_subcortaseg_csf"
"tfmrinbackallsem_16","Float","","Recommended","Standard error of the mean for nBack 0 back condition in ASEG ROI left-accumbens-area","","","tfmri_nback_all_0.back_sem_subcort.aseg_accumbens.area.lh,tfmri_nback_all_0back_sem_subcortaseg_accumbensarealh"
"tfmrinbackallsem_17","Float","","Recommended","Standard error of the mean for nBack 0 back condition in ASEG ROI left-ventraldc","","","tfmri_nback_all_0.back_sem_subcort.aseg_ventraldc.lh,tfmri_nback_all_0back_sem_subcortaseg_ventraldclh"
"tfmrinbackallsem_18","Float","","Recommended","Standard error of the mean for nBack 0 back condition in ASEG ROI right-cerebral-white-matter","","","tfmri_nback_all_0.back_sem_subcort.aseg_cerebral.white.matter.rh,tfmri_nback_all_0back_sem_subcortaseg_cerebralwhitematterrh"
"tfmrinbackallsem_19","Float","","Recommended","Standard error of the mean for nBack 0 back condition in ASEG ROI right-lateral-ventricle","","","tfmri_nback_all_0.back_sem_subcort.aseg_lateral.ventricle.rh,tfmri_nback_all_0back_sem_subcortaseg_lateralventriclerh"
